D,eta,g_proxy_canonical,g_grad_box,s_part,s_schur
8.0,0.96,1.3537138125111756,0.26406934448275443,0.39297173741326524,0.30096686131436623
8.8,0.96,1.4594919039431353,0.34715128146554297,0.398317488195615,0.49518381948672974
9.6,0.96,1.5153351354844578,0.40758247818785487,0.40305298832213865,0.5877057684511169
10.4,0.96,1.5067351196258967,0.3965838823119124,0.40559182384712966,0.571013803096406
11.2,0.96,1.492898713365285,0.38052982282206954,0.4067245543720537,0.5463025350257001
12.0,0.96,1.4712894646544405,0.3571034484499272,0.4071756116338726,0.508096746502707
12.8,0.96,1.4961388023216184,0.3787771784108344,0.42393517495552135,0.5367674706524103
13.6,0.96,1.4639635821214212,0.3467404552076009,0.42634728158820895,0.4771882406597964
14.4,0.96,1.452797007647384,0.3369815296870631,0.42450650312868254,0.45855293685139853
15.2,0.96,1.4745892046524836,0.3571743892238377,0.4226758185557972,0.4997892385304232
16.0,0.96,1.4553682199312605,0.3395799804577249,0.42081773847547643,0.4668047836661087
16.8,0.96,1.4458748321629922,0.3314132723193795,0.4185126422367757,0.4516197345932804
17.6,0.96,1.438279476101113,0.32473657353727653,0.42745169286002216,0.42872758961253354
18.4,0.96,1.4027572566578366,0.30004618428696017,0.43211885655718146,0.35572129065108377
4.0,1.15,1.4955503173360942,0.41379446636033035,0.3346720042373057,0.6093246101707221
4.8,1.15,1.469289589341973,0.38462737315940854,0.3268078138735686,0.5722651145573533
5.6,1.15,1.5608845626915788,0.5105375261441749,0.3177495708395254,0.7238356831008884
6.4,1.15,1.5090294752684053,0.42703229542866283,0.3427093086966672,0.6250882133167384
7.2,1.15,1.3600855407428727,0.2653371209131063,0.3821263783871553,0.3252924104376425
8.0,1.15,1.35371381341761,0.26406934560508016,0.3929717399154901,0.30096686038729076
8.8,1.15,1.4594919038084306,0.3471512812581329,0.3983174884633465,0.4951838190040762
9.6,1.15,1.5153351355777418,0.40758247824446686,0.40305298845790527,0.5877057684953171
10.4,1.15,1.5067351193220084,0.39658388169324743,0.40559182457875564,0.5710138019589669
11.2,1.15,1.492898716650999,0.3805298266579114,0.40672455380545885,0.5463025411996012
12.0,1.15,1.4712894288929446,0.3571034080106395,0.4071756234793203,0.5080966724832213
12.8,1.15,1.496137830655442,0.3787758067226528,0.4239363296614568,0.5367647393258433
13.6,1.15,1.4639641694373855,0.34674119968416295,0.42634538370074077,0.47719111153042226
14.4,1.15,1.4527990636773642,0.33698251211600067,0.4245171791975129,0.4585463948152354
15.2,1.15,1.4746030740021392,0.3571756085658471,0.4227490392672166,0.49974626288300855
16.0,1.15,1.4553615226683982,0.33958373941154757,0.42072170813356613,0.46688426756038776
16.8,1.15,1.4456434756567804,0.33103923965364307,0.4210860899845931,0.44869675255522345
17.6,1.15,1.438279476101113,0.32473657353727653,0.42745169286002216,0.42872758961253354
18.4,1.15,1.4027572566578366,0.30004618428696017,0.43211885655718146,0.35572129065108377
4.0,1.34,1.4956098006719516,0.4140585075974558,0.3342899463057417,0.6097115218219867
4.8,1.34,1.469283577824342,0.38461402480564166,0.3268206715671422,0.5722450875537056
5.6,1.34,1.560883936058846,0.510534437295052,0.3177532891294948,0.7238322572287319
6.4,1.34,1.5090294440692595,0.42703204886778307,0.34270972055320176,0.6250878523855186
7.2,1.34,1.3600855465742947,0.265337129027923,0.38212641008161985,0.3252923883473977
8.0,1.34,1.3537138143241414,0.2640693467246274,0.3929717424069448,0.30096685947221735
8.8,1.34,1.4594919036651073,0.34715128103501985,0.39831748875774486,0.49518381848188525
9.6,1.34,1.515335135459457,0.40758247802017805,0.4030529886726599,0.5877057681175989
10.4,1.34,1.5067351191042977,0.3965838812500249,0.40559182510290576,0.5710138011440854
11.2,1.34,1.4928987165735494,0.38052983026366066,0.4067245425422661,0.5463025508615705
12.0,1.34,1.4712894542852628,0.35710344599374927,0.40717557987102715,0.5080967568591549
12.8,1.34,1.4961380390123191,0.37877604610932825,0.42393627329233846,0.5367651541788094
13.6,1.34,1.463967337737444,0.3467443331123295,0.42634306582551335,0.4771990707943234
14.4,1.34,1.4528026269573386,0.3369861500481319,0.4245101276086423,0.4585597558530721
15.2,1.34,1.4746042124492729,0.35718104810118645,0.4227227141427251,0.4997726734002897
