edge,edge_label,point_id,rho,z_rel,missing_component_count,exact_boundary_defect,flux_reconstruction_exact,flux_reconstruction_resid_abs,certified_boundary_defect_floor,certified_flux_floor,flux_floor_minus_boundary_floor,exact_poisson_weight,certified_poisson_weight_floor,exact_product,certified_product_floor,flux_certified_product_with_p_floor,point_flux_certificate_valid
bottom,bot,3,0.21,-1.205,1,16.41125614880673,16.41125614880676,3.197442310920451e-14,16.41,16.411033333333332,0.0010333333333321093,0.00023004010148615204,0.00022999999999999998,0.0037752470299867364,0.0037742999999999995,0.003774537666666666,True
bottom,bot,4,0.27,-1.205,1,21.00699729375426,21.006997293754257,3.552713678800501e-15,21.0,21.0069,0.0069000000000016826,0.00022234615576069907,0.00022229999999999998,0.004670825092341669,0.004668299999999999,0.00466983387,True
bottom,bot,5,0.32999999999999996,-1.205,1,25.53310611168556,25.533106111685527,3.197442310920451e-14,25.53,25.532833333333333,0.002833333333331467,0.00021230395116237613,0.00021229999999999998,0.0054207793129590585,0.005420019,0.005420620516666666,True
bottom,bot,6,0.39,-1.205,1,29.974402564293012,29.974402564293058,4.618527782440651e-14,29.97,29.9741,0.004100000000001103,0.00019957597915330343,0.0001995,0.005982170741304067,0.005979015,0.00597983295,True
bottom,bot,7,0.44999999999999996,-1.205,1,34.31588979337519,34.31588979337516,2.842170943040401e-14,34.31,34.31549999999999,0.0054999999999907345,0.00018368222640462856,0.0001836,0.0063032190383030245,0.006299316,0.006300325799999998,True
bottom,bot,8,0.51,-1.205,1,38.54279268915589,38.5427926891559,1.4210854715202004e-14,38.54,38.5424,0.002400000000001512,0.00016391791856111885,0.0001639,0.0063178543531391415,0.006316706,0.00631709936,True
bottom,bot,9,0.57,-1.205,1,42.64059810259304,42.64059810259304,0.0,42.64,42.64043333333333,0.0004333333333264022,0.0001391809456819092,0.0001391,0.005934758768361122,0.005931224,0.0059312842766666655,True
bottom,bot,10,0.63,-1.205,1,46.595096401967176,46.595096401967204,2.842170943040401e-14,46.59,46.5948,0.004799999999995919,0.00010755038797575562,0.0001075,0.005011320695799304,0.005008425,0.005008940999999999,True
corner_rb,rb,1,0.69,-1.205,2,63.2852356533649,63.28523565336485,4.973799150320701e-14,63.28,63.28503333333333,0.005033333333329892,6.499656736428783e-05,6.499e-05,0.004113323082308762,0.0041125672,0.004112894316333333,True
corner_lb,lb,1,0.03,-1.205,1,2.360027752163762,2.3600277521637647,2.6645352591003757e-15,2.36,2.3600000000000003,4.440892098500626e-16,0.0002410558731796996,0.00024099999999999998,0.0005688985505261594,0.0005687599999999999,0.00056876,True
