alpha,beta,lambda,j_parent_statement,u_overlap_max,u_overlap_p95,u_overlap_p50,xi_overlap_max,xi_overlap_p95
1.005,1.005,0.185,8.7504361768286e-09,0.004596162684291173,0.004596161724882366,0.0044174938229282895,0.13429255469075743,0.13429252665835986
1.0,1.005,-0.135,9.33355585502458e-09,0.0024376171867707464,0.0024376166777369942,0.002342927429991921,0.13375128596821653,0.13375125803769514
1.0,1.005,0.135,9.33355585502458e-09,0.0024376171867707464,0.0024376166777369942,0.002342927429991921,0.13375128596821653,0.13375125803769514
1.0,1.0,0.05499999999999999,1.0962671358387594e-08,0.00040305314207216735,0.00040305305783131743,0.00038736267399300294,0.13324070812303054,0.1332406802748157
1.0,1.0,-0.05500000000000002,1.0962671358387594e-08,0.00040305314207216773,0.00040305305783131786,0.0003873626739930033,0.13324070812303054,0.1332406802748157
1.005,1.0,-0.125,1.3083716889215473e-08,0.0020903111034969923,0.002090310666781359,0.0020088782247267858,0.1337799106238075,0.13377988267400698
1.005,1.0,0.125,1.3083716889215473e-08,0.0020903111034969923,0.002090310666781359,0.0020088782247267858,0.1337799106238075,0.13377988267400698
1.005,1.005,-0.195,1.3266260062112476e-08,0.005106474392116052,0.005106473326184134,0.004907967936211782,0.13429255469075743,0.13429252665835986
1.005,1.005,0.195,1.3266260062112476e-08,0.005106474392116052,0.005106473326184134,0.004907967936211782,0.13429255469075743,0.13429252665835986
1.005,1.0,-0.13,1.3740887133355581e-08,0.002260880489542347,0.0022608800171907183,0.0021728026878644916,0.1337799106238075,0.13377988267400698
1.005,1.0,0.13,1.3740887133355581e-08,0.002260880489542347,0.0022608800171907183,0.0021728026878644916,0.1337799106238075,0.13377988267400698
1.0,1.005,-0.15000000000000002,1.5461627218495355e-08,0.003009403934284873,0.0030094033058481414,0.002892502999990026,0.13375128596821653,0.13375125803769514
1.0,1.005,0.15000000000000002,1.5461627218495355e-08,0.003009403934284873,0.0030094033058481414,0.002892502999990026,0.13375128596821653,0.13375125803769514
1.0,1.0,-0.06,1.552804979287501e-08,0.00047966654924290995,0.0004796664489893365,0.0004609935954958052,0.13324070812303054,0.1332406802748157
1.0,1.0,0.06,1.552804979287501e-08,0.00047966654924290995,0.0004796664489893365,0.0004609935954958052,0.13324070812303054,0.1332406802748157
1.005,1.0,0.12,1.6163617363033122e-08,0.001926430712982828,0.0019264303105057006,0.0018513821719082057,0.1337799106238075,0.13377988267400698
1.005,1.0,-0.12000000000000001,1.6163617363033122e-08,0.0019264307129828286,0.001926430310505701,0.0018513821719082061,0.1337799106238075,0.13377988267400698
1.0,1.005,-0.13,1.6428321497825638e-08,0.00226039673286286,0.002260396260837048,0.00217259114221473,0.13375128596821653,0.13375125803769514
1.0,1.005,0.13,1.6428321497825638e-08,0.00226039673286286,0.002260396260837048,0.00217259114221473,0.13375128596821653,0.13375125803769514
1.005,1.0,-0.135,1.860163942702881e-08,0.002438138871118892,0.0024381383617337778,0.002343155561321323,0.1337799106238075,0.13377988267400698
1.005,1.0,0.135,1.860163942702881e-08,0.002438138871118892,0.0024381383617337778,0.002343155561321323,0.1337799106238075,0.13377988267400698
1.005,1.005,-0.18000000000000002,1.9177236255496516e-08,0.0043510787719805415,0.00435107786373086,0.00418193717641714,0.13429255469075743,0.13429252665835986
1.005,1.005,0.18,1.9177236255496983e-08,0.004351078771980541,0.0043510778637308595,0.004181937176417139,0.13429255469075743,0.13429252665835986
1.0,1.0,-0.065,2.139023934933987e-08,0.0005629419918198041,0.0005629418741610964,0.0005410272058249382,0.13324070812303054,0.1332406802748157
1.0,1.0,0.065,2.139023934933987e-08,0.0005629419918198041,0.0005629418741610964,0.0005410272058249382,0.13324070812303054,0.1332406802748157
1.005,1.0,0.11499999999999999,2.253289259590705e-08,0.0017692393179998538,0.0017692389483637422,0.001700314529408751,0.1337799106238075,0.13377988267400698
1.005,1.0,-0.115,2.253289259590705e-08,0.0017692393179998545,0.0017692389483637426,0.0017003145294087515,0.1337799106238075,0.13377988267400698
1.0,1.01,-0.2,2.6306790353101352e-08,0.00537042273378582,0.005370421613289997,0.005162257276998804,0.13426056834464548,0.1342605403322499
1.0,1.01,0.2,2.6306790353101352e-08,0.00537042273378582,0.005370421613289997,0.005162257276998804,0.13426056834464548,0.1342605403322499
1.0,1.005,-0.125,2.7268470803120775e-08,0.0020898638432533833,0.0020898634068389865,0.002008682638881962,0.13375128596821653,0.13375125803769514
1.0,1.005,0.125,2.7268470803120775e-08,0.0020898638432533833,0.0020898634068389865,0.002008682638881962,0.13375128596821653,0.13375125803769514
1.0,1.01,-0.195,2.7908961728383172e-08,0.0051052581113051445,0.005105257046133803,0.004907370823946987,0.13426056834464548,0.1342605403322499
1.0,1.01,0.195,2.7908961728383172e-08,0.0051052581113051445,0.005105257046133803,0.004907370823946987,0.13426056834464548,0.1342605403322499
1.005,1.0,-0.14,2.8151366161871013e-08,0.0026220862482266277,0.0026220857004105374,0.0025199368450972803,0.1337799106238075,0.13377988267400698
1.005,1.0,0.14,2.8151366161871013e-08,0.0026220862482266277,0.0026220857004105374,0.0025199368450972803,0.1337799106238075,0.13377988267400698
1.0,1.005,0.15499999999999997,2.8383330197642177e-08,0.0032133746453864007,0.0032133739743556247,0.003088550425544904,0.13375128596821653,0.13375125803769514
1.0,1.005,-0.15500000000000003,2.8383330197642747e-08,0.0032133746453864034,0.003213373974355627,0.003088550425544906,0.13375128596821653,0.13375125803769514
1.0,1.0,-0.07,2.877456125446167e-08,0.0006528794698028497,0.000652879333346597,0.0006274635049804017,0.13324070812303054,0.1332406802748157
1.0,1.0,0.07,2.877456125446167e-08,0.0006528794698028497,0.000652879333346597,0.0006274635049804017,0.13324070812303054,0.1332406802748157
1.005,1.005,-0.2,2.9627592507659037e-08,0.005371702187630298,0.005371701066334396,0.005162885402984123,0.13429255469075743,0.13429252665835986
1.005,1.005,0.2,2.9627592507659037e-08,0.005371702187630298,0.005371701066334396,0.005162885402984123,0.13429255469075743,0.13429252665835986
1.005,1.0,0.10999999999999999,3.176259900217306e-08,0.0016187369185480705,0.0016187365803554843,0.0015556752972284227,0.1337799106238075,0.13377988267400698
1.005,1.0,-0.11000000000000001,3.176259900217306e-08,0.0016187369185480713,0.001618736580355485,0.0015556752972284234,0.1337799106238075,0.13377988267400698
0.995,1.005,-0.06,3.230622212175369e-08,0.00047955209099803317,0.00047955199081603294,0.0004609373576665012,0.13320891416612032,0.13320888633778694
0.995,1.005,0.06,3.230622212175369e-08,0.00047955209099803317,0.00047955199081603294,0.0004609373576665012,0.13320891416612032,0.13320888633778694
0.995,1.005,-0.065,3.256928360913505e-08,0.0005628076623518584,0.0005628075447771498,0.0005409612044836022,0.13320891416612032,0.13320888633778694
0.995,1.005,0.065,3.256928360913505e-08,0.0005628076623518584,0.0005628075447771498,0.0005409612044836022,0.13320891416612032,0.13320888633778694
0.995,1.005,0.05499999999999999,3.289055293447231e-08,0.0004029569653525139,0.0004029568811718054,0.00038731541859476833,0.13320891416612032,0.13320888633778694
0.995,1.005,-0.05500000000000002,3.289055293447265e-08,0.00040295696535251434,0.0004029568811718058,0.0003873154185947687,0.13320891416612032,0.13320888633778694
0.995,1.005,-0.07,3.3904653437248866e-08,0.0006527236794139897,0.0006527235430551561,0.0006273869590460713,0.13320891416612032,0.13320888633778694
0.995,1.005,0.07,3.3904653437248866e-08,0.0006527236794139897,0.0006527235430551561,0.0006273869590460713,0.13320891416612032,0.13320888633778694
0.995,1.005,0.04999999999999999,3.411546821222394e-08,0.00033302228541530064,0.0003330222158444672,0.0003200953872684035,0.13320891416612032,0.13320888633778694
0.995,1.005,-0.05000000000000002,3.411546821222394e-08,0.000333022285415301,0.0003330222158444676,0.00032009538726840387,0.13320891416612032,0.13320888633778694
0.995,1.005,0.044999999999999984,3.579223954790421e-08,0.00026974805118639344,0.00026974799483401836,0.00025927726368740674,0.13320891416612032,0.13320888633778694
0.995,1.005,-0.04500000000000001,3.579223954790421e-08,0.0002697480511863938,0.00026974799483401874,0.00025927726368740706,0.13320891416612032,0.13320888633778694
0.995,1.005,-0.07500000000000001,3.655538715892505e-08,0.000749300142184427,0.0007492999856500517,0.0007202146213539084,0.13320891416612032,0.13320888633778694
0.995,1.005,0.07500000000000001,3.655538715892505e-08,0.000749300142184427,0.0007492999856500517,0.0007202146213539084,0.13320891416612032,0.13320888633778694
1.005,1.005,0.175,3.714781431629634e-08,0.004112709487404446,0.004112708628912271,0.003952834136659718,0.13429255469075743,0.13429252665835986
1.005,1.005,-0.17500000000000002,3.714781431629634e-08,0.0041127094874044475,0.004112708628912272,0.003952834136659719,0.13429255469075743,0.13429252665835986
0.995,1.005,0.03999999999999998,3.775019170764028e-08,0.0002131342626657923,0.00021313421814045887,0.0002048610478517781,0.13320891416612032,0.13320888633778694
0.995,1.005,-0.04000000000000001,3.775019170764028e-08,0.00021313426266579262,0.0002131342181404592,0.00020486104785177842,0.13320891416612032,0.13320888633778694
1.0,1.0,-0.07500000000000001,3.792450893500893e-08,0.000749478983192047,0.0007494788265458385,0.0007203024929621958,0.13324070812303054,0.1332406802748157
1.0,1.0,0.07500000000000001,3.792450893500893e-08,0.000749478983192047,0.0007494788265458385,0.0007203024929621958,0.13324070812303054,0.1332406802748157
1.0,1.01,-0.19,3.868176891560186e-08,0.004846806517241702,0.004846805505994221,0.00465893719249142,0.13426056834464548,0.1342605403322499
1.0,1.01,0.19,3.868176891560186e-08,0.004846806517241702,0.004846805505994221,0.00465893719249142,0.13426056834464548,0.1342605403322499
0.995,1.005,-0.035,3.983667889332295e-08,0.00016318091985349743,0.00016318088576378902,0.0001568467397615178,0.13320891416612032,0.13320888633778694
0.995,1.005,0.035,3.983667889332295e-08,0.00016318091985349743,0.00016318088576378902,0.0001568467397615178,0.13320891416612032,0.13320888633778694
