D,family,R,exact,max_overlap_identity_residual_abs,right_signed,left_signed,mid_signed,outer_signed,union_abs_share,mid_abs_share,outer_abs_share,union_exact,union_jet,rel_jet_err_vs_union,rel_jet_err_vs_exact,a0,ar,az,z_peak,I_z_peak
18.0,core_ball,1.5,0.0001396883008133095,3.469446951953614e-18,0.00017890740457441516,0.00017890740457411955,1.5440989535649226e-05,-0.00021812650833522522,0.3970958553152777,0.002205037721327282,0.6029041446847223,,,,,,,,,
18.0,core_ball,2.0,0.0001396883008133095,3.469446951953614e-18,0.00011974751398866412,0.00011974751398830232,1.5531600998002224e-05,-9.980672716365691e-05,0.5758338006769106,0.0030144318429243594,0.4241661993230896,,,,,,,,,
18.0,quad_jet_ball,0.75,0.0001396883008133095,3.469446951953614e-18,4.2436158109031074e-05,4.2436158109031074e-05,,5.481598459524734e-05,,,,8.487231621806215e-05,8.304388251296778e-05,0.021543346365104202,0.4055058152367806,-0.32525931950893666,1.2155981919976435,1.1997430785317864,,
18.0,quad_jet_ball,1.0,0.0001396883008133095,3.469446951953614e-18,9.345926080423011e-05,9.345926080423011e-05,,-4.723022079515074e-05,,,,0.00018691852160846023,0.00017402734222891176,0.06896683789609533,0.24582618025754127,-0.11112984534746653,0.3017589573452907,0.3061505497643872,,
18.0,quad_jet_ball,1.25,0.0001396883008133095,3.469446951953614e-18,0.0001465523553465484,0.0001465523553465484,,-0.0001534164098797873,,,,0.0002931047106930968,0.00025381489651569685,0.13404702396113793,0.8170089766852786,-0.026070683528174245,0.09375089552062577,0.09444845007915062,,
18.0,quad_jet_ball,1.5,0.0001396883008133095,3.469446951953614e-18,0.00017890740457441516,0.00017890740457441516,,-0.00021812650833552083,,,,0.0003578148091488303,0.00027668740305558366,0.22673015207568545,0.980748576971887,0.012986561408984026,0.030031866045534587,0.030775541576435157,,
18.0,z_profile_peak,1.0,0.0001396883008133095,3.469446951953614e-18,,,,,,,,,,,,,,,8.474999999999998,6.70025885739802e-05
18.0,z_profile_peak,2.0,0.0001396883008133095,3.469446951953614e-18,,,,,,,,,,,,,,,-8.475000000000001,6.700258857397643e-05
18.0,z_profile_peak,3.0,0.0001396883008133095,3.469446951953614e-18,,,,,,,,,,,,,,,8.504999999999999,6.686915364561385e-05
18.0,z_profile_peak,4.0,0.0001396883008133095,3.469446951953614e-18,,,,,,,,,,,,,,,-8.504999999999999,6.686915364560945e-05
18.0,z_profile_peak,5.0,0.0001396883008133095,3.469446951953614e-18,,,,,,,,,,,,,,,8.445,6.671373616960227e-05
18.0,z_profile_peak,6.0,0.0001396883008133095,3.469446951953614e-18,,,,,,,,,,,,,,,-8.445,6.67137361695986e-05
18.0,z_profile_peak,7.0,0.0001396883008133095,3.469446951953614e-18,,,,,,,,,,,,,,,8.535,6.629690838469314e-05
18.0,z_profile_peak,8.0,0.0001396883008133095,3.469446951953614e-18,,,,,,,,,,,,,,,-8.535,6.629690838468841e-05
18.0,z_profile_peak,9.0,0.0001396883008133095,3.469446951953614e-18,,,,,,,,,,,,,,,8.415,6.602049262057074e-05
18.0,z_profile_peak,10.0,0.0001396883008133095,3.469446951953614e-18,,,,,,,,,,,,,,,-8.415,6.602049262056745e-05
18.0,z_profile_peak,11.0,0.0001396883008133095,3.469446951953614e-18,,,,,,,,,,,,,,,8.564999999999998,6.527063644296551e-05
18.0,z_profile_peak,12.0,0.0001396883008133095,3.469446951953614e-18,,,,,,,,,,,,,,,-8.565000000000001,6.527063644296046e-05
