D,eta,parent_blockdet_k11,parent_blockdet_k_bg,parent_blockdet_k22,parent_blockdet_c_parent,parent_blockdet_det_ratio,parent_blockdet_schur_norm,parent_blockdet_action,parent_blockdet_action_residual,parent_blockdet_coeff_share,parent_blockdet_tree_share,eymh_parented_prefactor_diag,parent_proxy_x,parent_proxy_g_schur,parent_proxy_y,parent_proxy_mix_norm_sq,parent_proxy_rank1_residual_abs,parent_proxy_lambda1,parent_proxy_lambda2,parent_proxy_lambda1_residual_abs,parent_proxy_lambda2_formula,parent_proxy_lambda2_residual_abs,parent_proxy_g,parent_proxy_active,omega1,delta_micro,tau_env,Szz_0,Sxx_delta,parent_proxy_Omega1,parent_proxy_Omega2,parent_proxy_r_on_shell,parent_proxy_q_on_shell,parent_proxy_q_single_pole,parent_proxy_delta_q_abs,parent_proxy_gap_separator,parent_proxy_eps_delta_factor
20.0,0.2,1.0,1.3261537967964965,1.3261537967964965,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0622911350603241,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,False,1.8126809346147252,0.2592778908604871,0.5516690670178777,1.103338134035755,1.0812173137231778,1.8126809346147252,1.8126809346147252,0.14303559214936803,0.9799510053806765,0.9799510053806763,2.220446049250313e-16,0.0,1.0
4.0,0.39,1.3997530765888655,1.052928468881864,1.9332909404243457,0.5932348662313136,2.5700985601368327,1.8361085273697313,0.9439442484195713,3.3306690738754696e-16,0.356266641555867,0.6437333584441333,0.0433256378659887,0.3997530765888655,1.8361085273697313,0.8361085273697313,0.33423695617823584,1.1102230246251565e-16,0.9999999999999999,2.235861603958597,1.1102230246251565e-16,2.235861603958597,0.0,1.4952797744765347,True,1.7512011374518028,0.5002558656877873,0.5710366322940573,1.1420732645881146,1.0559068677898105,1.7512011374518028,2.6185356418719827,0.2856644248277023,0.9245526539583432,0.9245526539583432,0.0,0.040234673322144476,0.4667185072364298
4.8,0.39,1.386464393680802,1.3330127461264274,2.362656094939313,0.6308093947512533,2.457394769603804,1.7724182321623734,0.8991017520221964,0.0,0.3634259462717759,0.6365740537282243,0.0392191959549454,0.3864643936808021,1.7724182321623734,0.7724182321623734,0.2985121437606287,0.0,1.0,2.1588826258431757,0.0,2.1588826258431757,0.0,1.46931365808774,True,,,,,,,,,,,,,
5.6,0.39,1.3740116859662583,1.0489632309804584,2.1633364068573693,0.645591659104497,2.833702284225877,2.062356756618928,1.0415840843126123,0.0,0.3050494949178624,0.6949505050821375,0.044896760436053,0.37401168596625833,2.062356756618928,1.0623567566189278,0.397333841640691,1.6653345369377348e-16,1.0,2.436368442585186,0.0,2.436368442585186,0.0,1.560887069132545,True,,,,,,,,,,,,,
6.4,0.39,1.4087568675125235,1.236842257453033,2.3109327295705353,0.6626023368565779,2.6321403020672403,1.868413466345598,0.967797318298893,0.0,0.3541109845812791,0.6458890154187209,0.0493701324354692,0.4087568675125235,1.868413466345598,0.868413466345598,0.35496996820911886,5.551115123125783e-17,1.0,2.2771703338581215,0.0,2.2771703338581215,0.0,1.509029600060291,True,,,,,,,,,,,,,
7.2,0.39,1.4653970822022533,1.5397550802947837,2.1316916444890017,0.5248671735066082,2.028747789805028,1.3844355324879931,0.707418750409239,-1.1102230246251563e-16,0.540169809456593,0.459830190543407,0.0543924297365417,0.4653970822022533,1.3844355324879931,0.3844355324879931,0.17891517511478167,1.1102230246251565e-16,0.9999999999999999,1.8498326146902464,1.1102230246251565e-16,1.8498326146902464,0.0,1.360085517418021,True,,,,,,,,,,,,,
8.0,0.39,1.4813765101636158,1.5891268740470006,2.147171927348574,0.5182950706618581,2.001583453407031,1.3511645686794096,0.6939385940132025,0.0,0.566291792025898,0.433708207974102,0.0579949944510229,0.4813765101636158,1.3511645686794096,0.3511645686794096,0.16904237456400564,5.551115123125783e-17,0.9999999999999999,1.8325410788430254,1.1102230246251565e-16,1.8325410788430254,0.0,1.3537138097999242,True,1.802159760664197,0.4170096953791304,0.5548897616221571,1.1097795232443142,1.0533781061906398,1.802159760664197,2.4396085554768496,0.23139441046305403,0.9491778178707143,0.9491778178707142,1.1102230246251565e-16,0.02243354177135859,0.5585875924357162
8.8,0.39,1.4893167943415897,1.1526414316992488,1.8912538587370007,0.601178397032839,2.443670734642903,1.6407998244075557,0.8935013082737288,1.1102230246251563e-16,0.4457939611567249,0.5542060388432754,0.0457081664626894,0.4893167943415897,1.6407998244075557,0.6407998244075557,0.3135541158937584,2.7755575615628914e-16,1.0000000000000004,2.130116618749145,4.440892098500626e-16,2.1301166187491454,4.440892098500626e-16,1.45949190431093,True,,,,,,,,,,,,,
9.6,0.39,1.4963861801266944,1.1066533286499558,1.991814854982912,0.6628589207754019,2.6932772397689604,1.7998543928953747,0.9907587568295578,-2.220446049250313e-16,0.4068124407248429,0.5931875592751569,0.0411393810710699,0.49638618012669444,1.7998543928953747,0.7998543928953747,0.3970366667468913,0.0,1.0,2.296240573022069,0.0,2.296240573022069,0.0,1.515335135546612,True,,,,,,,,,,,,,
10.4,0.39,1.500190095454452,1.191089660939199,2.108300906037449,0.6773329906608643,2.6554274133998055,1.7700606219476456,0.976605626068692,2.220446049250313e-16,0.4153076938684333,0.5846923061315669,0.0443592616336688,0.500190095454452,1.7700606219476456,0.7700606219476456,0.3851766959977076,5.551115123125783e-17,1.0,2.2702507174020976,0.0,2.2702507174020976,0.0,1.5067351185268423,True,,,,,,,,,,,,,
