case,mode,phi_scale,mix_scale,D,chi_eff,chi_lr_baseline,ratio_to_baseline
open_micro_phi_x0p5,open_system_micro,0.5,1.0,11.864406779661017,3.7935224615672716e-05,0.00021643490825627655,0.17527313371627798
open_micro_phi_x0p5,open_system_micro,0.5,1.0,12.135593220338983,3.803345410821751e-05,0.00022643355148129244,0.16796739643665293
open_micro_phi_x0p5,open_system_micro,0.5,1.0,12.40677966101695,3.265004548651999e-05,0.00023558888312836442,0.1385890753967796
open_micro_phi_x0p5,open_system_micro,0.5,1.0,12.677966101694915,2.4888611496473025e-05,0.00024487483213121367,0.1016380951846318
open_micro_phi_x0p5,open_system_micro,0.5,1.0,12.94915254237288,1.4273365376702107e-05,0.0002542833982262428,0.05613172340886647
open_micro_phi_x0p5,open_system_micro,0.5,1.0,13.220338983050848,1.9377775454730757e-05,0.00026380542322591415,0.07345480323251838
open_micro_phi_x0p5,open_system_micro,0.5,1.0,13.491525423728813,2.594335416986095e-05,0.0002734306360434836,0.094880934138394
open_micro_phi_x0p5,open_system_micro,0.5,1.0,13.76271186440678,3.0507998859699892e-05,0.00018418687760165037,0.16563611510740184
open_micro_phi_x0p5,open_system_micro,0.5,1.0,14.033898305084746,3.290521763989302e-05,0.00019144744371395978,0.1718759833067109
open_micro_phi_x0p5,open_system_micro,0.5,1.0,14.305084745762711,3.0254989660256633e-05,0.00019881801613775982,0.15217428605309657
open_micro_phi_x0p5,open_system_micro,0.5,1.0,14.576271186440678,2.6786064587710926e-05,0.00020629482805265207,0.1298436070383422
open_micro_phi_x0p5,open_system_micro,0.5,1.0,14.847457627118644,2.24766549209857e-05,0.00021387347931540876,0.10509323078734027
open_micro_phi_x0p5,open_system_micro,0.5,1.0,15.11864406779661,2.060068377221064e-05,0.00022154890273389926,0.09298481517172742
open_micro_phi_x0p5,open_system_micro,0.5,1.0,15.389830508474576,2.27515668969244e-05,0.00022931535286951714,0.0992151925818516
open_micro_phi_x0p5,open_system_micro,0.5,1.0,15.661016949152541,2.4269418222594063e-05,0.0002371664164434909,0.10233075401877854
open_micro_phi_x0p5,open_system_micro,0.5,1.0,15.932203389830509,2.5302258043836074e-05,0.00016476734538185893,0.1535635473473003
open_micro_phi_x0p5,open_system_micro,0.5,1.0,16.203389830508474,2.488254174209274e-05,0.00017081582758589044,0.14566882995418665
open_micro_phi_x0p5,open_system_micro,0.5,1.0,16.474576271186443,2.3821443072042537e-05,0.00017695064199635914,0.13462196465233892
open_micro_phi_x0p5,open_system_micro,0.5,1.0,16.74576271186441,2.2439873405278568e-05,0.00018316917718353738,0.12250900369986151
open_micro_phi_x0p5,open_system_micro,0.5,1.0,17.016949152542374,2.0593190286530142e-05,0.00018946844560445685,0.10868928713080511
open_micro_phi_x0p5,open_system_micro,0.5,1.0,17.28813559322034,1.7009371027465546e-05,0.00019584505996956276,0.08685116198544429
open_micro_phi_x0p5,open_system_micro,0.5,1.0,17.559322033898304,1.2617524401505396e-05,0.0002022952212735166,0.0623718361811704
open_micro_phi_x0p5,open_system_micro,0.5,1.0,17.83050847457627,7.140360635104474e-06,0.0002088147182516318,0.034194719102606526
open_micro_phi_x0p5,open_system_micro,0.5,1.0,18.101694915254235,5.412336245173696e-06,0.00021539893765938362,0.02512703314132577
open_micro_phi_x0p5,open_system_micro,0.5,1.0,18.372881355932204,1.0637079602888478e-05,0.00015406311339344081,0.06904364950566648
open_micro_phi_x0p5,open_system_micro,0.5,1.0,18.64406779661017,1.4648878401727118e-05,0.00015924763064387745,0.09198804618001592
open_micro_phi_x0p5,open_system_micro,0.5,1.0,18.915254237288135,1.771164274606525e-05,0.00016507717111369344,0.10729310798442705
open_micro_phi_x0p5,open_system_micro,0.5,1.0,19.186440677966104,1.6997015865580632e-05,0.00017039804290683611,0.09974889133482376
open_micro_phi_x0p5,open_system_micro,0.5,1.0,19.45762711864407,1.4391387748859874e-05,0.00017578126224563766,0.08187100015671336
open_micro_phi_x0p5,open_system_micro,0.5,1.0,19.728813559322035,1.1228668053646573e-05,0.00018122424225918405,0.06196007727038808
open_micro_phi_x0p5,open_system_micro,0.5,1.0,20.0,7.474812339628903e-06,0.00018672413360390017,0.04003131354988799
open_micro_phi_x2,open_system_micro,2.0,1.0,4.0,9.797615920705262e-05,0.00052658181469949,0.1860606585188775
open_micro_phi_x2,open_system_micro,2.0,1.0,4.271186440677966,9.561366043882313e-05,0.000554539279260162,0.17241999622891635
open_micro_phi_x2,open_system_micro,2.0,1.0,4.5423728813559325,9.153878702025671e-05,0.0002987362172957779,0.3064201182196279
open_micro_phi_x2,open_system_micro,2.0,1.0,4.813559322033898,8.858991595787727e-05,0.00031680709250514786,0.2796336258047561
open_micro_phi_x2,open_system_micro,2.0,1.0,5.084745762711864,8.410317758106524e-05,0.0003352973412873796,0.25083162681263654
open_micro_phi_x2,open_system_micro,2.0,1.0,5.3559322033898304,7.530037492087222e-05,0.00035626016425235034,0.21136344300210502
open_micro_phi_x2,open_system_micro,2.0,1.0,5.627118644067797,5.7568064820210555e-05,0.0003755509545519471,0.1532896245434722
open_micro_phi_x2,open_system_micro,2.0,1.0,5.898305084745763,2.3738605521163737e-05,0.0003951816269869163,0.060070114347572326
open_micro_phi_x2,open_system_micro,2.0,1.0,6.169491525423728,2.8999171906531048e-05,0.00041511018665719003,0.06985897440883425
open_micro_phi_x2,open_system_micro,2.0,1.0,6.4406779661016955,5.139608335939655e-05,0.00043528679503544823,0.11807406966069585
open_micro_phi_x2,open_system_micro,2.0,1.0,6.711864406779661,6.253589142597935e-05,0.00045565487426463025,0.1372439865301659
open_micro_phi_x2,open_system_micro,2.0,1.0,6.983050847457627,6.639201014803317e-05,0.00026609082899812207,0.24950882523088283
open_micro_phi_x2,open_system_micro,2.0,1.0,7.254237288135593,6.399958056042768e-05,0.00028003780408858956,0.22853907446075208
open_micro_phi_x2,open_system_micro,2.0,1.0,7.525423728813559,5.837581296040165e-05,0.00029426167538217443,0.1983806178109523
open_micro_phi_x2,open_system_micro,2.0,1.0,7.796610169491526,4.94693549987342e-05,0.00030874954848086807,0.1602248658893168
open_micro_phi_x2,open_system_micro,2.0,1.0,8.067796610169491,3.838636194461045e-05,0.000323484609859588,0.11866518769246075
open_micro_phi_x2,open_system_micro,2.0,1.0,8.338983050847457,3.540913366278724e-05,0.0003384459717582209,0.10462270677602516
open_micro_phi_x2,open_system_micro,2.0,1.0,8.610169491525424,3.176423989347295e-05,0.00035360875405870815,0.08982877128714768
open_micro_phi_x2,open_system_micro,2.0,1.0,8.881355932203391,2.7443631603023488e-05,0.0003689443806368159,0.07438419730273287
open_micro_phi_x2,open_system_micro,2.0,1.0,9.152542372881356,3.0448101127919905e-05,0.00022780640990313205,0.13365778926443317
open_micro_phi_x2,open_system_micro,2.0,1.0,9.423728813559322,3.709759369823165e-05,0.0002386824312014784,0.15542657878709368
open_micro_phi_x2,open_system_micro,2.0,1.0,9.694915254237287,4.15053624175797e-05,0.0002497582928068284,0.166182119324788
open_micro_phi_x2,open_system_micro,2.0,1.0,9.966101694915254,4.439551974390697e-05,0.00026102647220006304,0.1700805261999639
open_micro_phi_x2,open_system_micro,2.0,1.0,10.237288135593221,3.846816902997829e-05,0.0002724774999322682,0.14117924980793137
open_micro_phi_x2,open_system_micro,2.0,1.0,10.508474576271187,2.9318351070968445e-05,0.0002840998307725082,0.10319735492713122
open_micro_phi_x2,open_system_micro,2.0,1.0,10.779661016949152,1.588791413779704e-05,0.00029587981685466727,0.053697187955206144
open_micro_phi_x2,open_system_micro,2.0,1.0,11.050847457627118,4.750896718650907e-06,0.0003078017769070365,0.015434922976698058
open_micro_phi_x2,open_system_micro,2.0,1.0,11.322033898305085,2.1104546160912604e-05,0.00019885524546821575,0.10613019591824584
open_micro_phi_x2,open_system_micro,2.0,1.0,11.593220338983052,3.155616770481803e-05,0.00020757062986382943,0.15202616923945125
open_micro_phi_x2,open_system_micro,2.0,1.0,11.864406779661017,3.793500582794752e-05,0.00021643490825627655,0.1752721228454949
open_micro_phi_x2,open_system_micro,2.0,1.0,12.135593220338983,3.803306359873044e-05,0.00022643355148129244,0.16796567182700692
open_micro_phi_x2,open_system_micro,2.0,1.0,12.40677966101695,3.2649039797859946e-05,0.00023558888312836442,0.138584806567764
open_micro_phi_x2,open_system_micro,2.0,1.0,12.677966101694915,2.4887333817071337e-05,0.00024487483213121367,0.10163287750100719
open_micro_phi_x2,open_system_micro,2.0,1.0,12.94915254237288,1.4272168607899254e-05,0.0002542833982262428,0.056127016971831256
open_micro_phi_x2,open_system_micro,2.0,1.0,13.220338983050848,1.9375244397862974e-05,0.00026380542322591415,0.0734452088245004
open_micro_phi_x2,open_system_micro,2.0,1.0,13.491525423728813,2.59392925018491e-05,0.0002734306360434836,0.09486607966535243
open_micro_phi_x2,open_system_micro,2.0,1.0,13.76271186440678,3.0501861993919062e-05,0.00018418687760165037,0.1656027964157516
open_micro_phi_x2,open_system_micro,2.0,1.0,14.033898305084746,3.289758245947889e-05,0.00019144744371395978,0.17183610196765503
open_micro_phi_x2,open_system_micro,2.0,1.0,14.305084745762711,3.0249939748002426e-05,0.00019881801613775982,0.15214888638181776
open_micro_phi_x2,open_system_micro,2.0,1.0,14.576271186440678,2.6782883944332666e-05,0.00020629482805265207,0.12982818908817698
open_micro_phi_x2,open_system_micro,2.0,1.0,14.847457627118644,2.2475694044184616e-05,0.00021387347931540876,0.10508873805264422
open_micro_phi_x2,open_system_micro,2.0,1.0,15.11864406779661,2.060011233571766e-05,0.00022154890273389926,0.09298223589245351
open_micro_phi_x2,open_system_micro,2.0,1.0,15.389830508474576,2.2749493393978233e-05,0.00022931535286951714,0.09920615043565327
open_micro_phi_x2,open_system_micro,2.0,1.0,15.661016949152541,2.4265667916848445e-05,0.0002371664164434909,0.1023149410474403
open_micro_phi_x2,open_system_micro,2.0,1.0,15.932203389830509,2.5296744360157855e-05,0.00016476734538185893,0.15353008389818396
open_micro_phi_x2,open_system_micro,2.0,1.0,16.203389830508474,2.4877276841517327e-05,0.00017081582758589044,0.14563800786556746
open_micro_phi_x2,open_system_micro,2.0,1.0,16.474576271186443,2.3817106809259207e-05,0.00017695064199635914,0.13459745915897417
open_micro_phi_x2,open_system_micro,2.0,1.0,16.74576271186441,2.2436451948799176e-05,0.00018316917718353738,0.12249032448465727
open_micro_phi_x2,open_system_micro,2.0,1.0,17.016949152542374,2.0590664650101122e-05,0.00018946844560445685,0.10867595701443158
open_micro_phi_x2,open_system_micro,2.0,1.0,17.28813559322034,1.700764457112145e-05,0.00019584505996956276,0.08684234656602874
open_micro_phi_x2,open_system_micro,2.0,1.0,17.559322033898304,1.2616731572301343e-05,0.0002022952212735166,0.062367917011952954
open_micro_phi_x2,open_system_micro,2.0,1.0,17.83050847457627,7.140188064715966e-06,0.0002088147182516318,0.03419389267432622
open_micro_phi_x2,open_system_micro,2.0,1.0,18.101694915254235,5.412261918448905e-06,0.00021539893765938362,0.025126688075906237
open_micro_phi_x2,open_system_micro,2.0,1.0,18.372881355932204,1.0636544002491159e-05,0.00015406311339344081,0.06904017300577288
open_micro_phi_x2,open_system_micro,2.0,1.0,18.64406779661017,1.4647604398340457e-05,0.00015924763064387745,0.09198004603972178
open_micro_phi_x2,open_system_micro,2.0,1.0,18.915254237288135,1.7709453865753838e-05,0.00016507717111369344,0.10727984824477531
open_micro_phi_x2,open_system_micro,2.0,1.0,19.186440677966104,1.6995027346270033e-05,0.00017039804290683611,0.09973722148652811
open_micro_phi_x2,open_system_micro,2.0,1.0,19.45762711864407,1.4390081580282395e-05,0.00017578126224563766,0.08186356950932358
open_micro_phi_x2,open_system_micro,2.0,1.0,19.728813559322035,1.1227852933065448e-05,0.00018122424225918405,0.0619555794141909
open_micro_phi_x2,open_system_micro,2.0,1.0,20.0,7.4744903263472785e-06,0.00018672413360390017,0.04002958900965095
open_micro_mix_x0p5,open_system_micro,1.0,0.5,4.0,5.896712965751298e-05,0.00052658181469949,0.11198094581212299
open_micro_mix_x0p5,open_system_micro,1.0,0.5,4.271186440677966,6.023583310121104e-05,0.000554539279260162,0.10862320371890448
open_micro_mix_x0p5,open_system_micro,1.0,0.5,4.5423728813559325,6.036504469038597e-05,0.0002987362172957779,0.20206804932064432
open_micro_mix_x0p5,open_system_micro,1.0,0.5,4.813559322033898,5.978348961331463e-05,0.00031680709250514786,0.188706285394615
open_micro_mix_x0p5,open_system_micro,1.0,0.5,5.084745762711864,5.6922676258834306e-05,0.0003352973412873796,0.16976775312407416
open_micro_mix_x0p5,open_system_micro,1.0,0.5,5.3559322033898304,4.7389621580495594e-05,0.00035626016425235034,0.13301970395693197
open_micro_mix_x0p5,open_system_micro,1.0,0.5,5.627118644067797,3.3355530085976214e-05,0.0003755509545519471,0.088817588350351
open_micro_mix_x0p5,open_system_micro,1.0,0.5,5.898305084745763,1.2499015089388933e-05,0.0003951816269869163,0.03162853289685644
open_micro_mix_x0p5,open_system_micro,1.0,0.5,6.169491525423728,1.5532927168222284e-05,0.00041511018665719003,0.0374188050968015
open_micro_mix_x0p5,open_system_micro,1.0,0.5,6.4406779661016955,3.0159946702721726e-05,0.00043528679503544823,0.06928752961657292
open_micro_mix_x0p5,open_system_micro,1.0,0.5,6.711864406779661,3.885747250313899e-05,0.00045565487426463025,0.08527829876910692
open_micro_mix_x0p5,open_system_micro,1.0,0.5,6.983050847457627,4.43977527573239e-05,0.00026609082899812207,0.16685187131209708
open_micro_mix_x0p5,open_system_micro,1.0,0.5,7.254237288135593,4.099040373286922e-05,0.00028003780408858956,0.14637453634617834
open_micro_mix_x0p5,open_system_micro,1.0,0.5,7.525423728813559,3.61768443811894e-05,0.00029426167538217443,0.12294106711043655
open_micro_mix_x0p5,open_system_micro,1.0,0.5,7.796610169491526,2.9039635367887796e-05,0.00030874954848086807,0.09405563671516515
open_micro_mix_x0p5,open_system_micro,1.0,0.5,8.067796610169491,2.1276191559216315e-05,0.000323484609859588,0.06577188190947161
open_micro_mix_x0p5,open_system_micro,1.0,0.5,8.338983050847457,1.9415728633708805e-05,0.0003384459717582209,0.05736729124842123
open_micro_mix_x0p5,open_system_micro,1.0,0.5,8.610169491525424,1.729088199548509e-05,0.00035360875405870815,0.04889834258066574
open_micro_mix_x0p5,open_system_micro,1.0,0.5,8.881355932203391,1.4652996218327974e-05,0.0003689443806368159,0.039716003244272734
open_micro_mix_x0p5,open_system_micro,1.0,0.5,9.152542372881356,1.6444691943247742e-05,0.00022780640990313205,0.07218713446316266
open_micro_mix_x0p5,open_system_micro,1.0,0.5,9.423728813559322,2.0758421514248314e-05,0.0002386824312014784,0.08697088181042349
open_micro_mix_x0p5,open_system_micro,1.0,0.5,9.694915254237287,2.386757012285588e-05,0.0002497582928068284,0.0955626732335005
open_micro_mix_x0p5,open_system_micro,1.0,0.5,9.966101694915254,2.6100828998627402e-05,0.00026102647220006304,0.0999930343410629
open_micro_mix_x0p5,open_system_micro,1.0,0.5,10.237288135593221,2.2169134140209995e-05,0.0002724774999322682,0.08136133862693523
open_micro_mix_x0p5,open_system_micro,1.0,0.5,10.508474576271187,1.6092354574108973e-05,0.0002840998307725082,0.05664330925629752
open_micro_mix_x0p5,open_system_micro,1.0,0.5,10.779661016949152,8.291814700682204e-06,0.00029587981685466727,0.02802426603080888
open_micro_mix_x0p5,open_system_micro,1.0,0.5,11.050847457627118,2.4077704123896473e-06,0.0003078017769070365,0.00782247080112488
