h_cap,signed_mass,signed_mass_over_required_global,signed_mass_over_required_local,min_phiL,min_phiR,min_phiL_boundary,min_phiR_boundary,min_rhs0,max_rhs0,kappa_needed,all_phiL_positive,all_phiR_positive,boundary_phiL_positive,boundary_phiR_positive,rhs0_nonnegative,admissible_global,point_count,boundary_count
0.72,0.09996885111275566,0.6879147453086216,0.7086101652665845,0.047711966807485136,0.0077871024723240095,0.047711966807485136,0.0077871024723240095,0.09427373258377522,0.15890624981365395,0.0,1,1,1,1,1,0,204,54
0.75,0.09514453854906423,0.6547172471719493,0.6744139442937214,0.04937235914466649,0.0077871024723240095,0.04937235914466649,0.0077871024723240095,0.09879148696922863,0.15890624981365395,0.0,1,1,1,1,1,0,192,52
0.78,0.09015218707116575,0.6203634243843286,0.6390266114750977,0.05097143154455685,0.0077871024723240095,0.05097143154455685,0.0077871024723240095,0.10319215094901546,0.15890624981365395,0.0,1,1,1,1,1,0,180,50
0.81,0.08499798856399812,0.5848958851072279,0.6024920568080508,0.05250610893391405,0.0077871024723240095,0.05250610893391405,0.0077871024723240095,0.10746711223669446,0.15890624981365395,0.0,1,1,1,1,1,0,168,48
0.84,0.0796884474856624,0.5483593884089785,0.5648563859052658,0.05397339459446325,0.0077871024723240095,0.05397339459446325,0.0077871024723240095,0.1116079243599822,0.15890624981365395,0.0,1,1,1,1,1,0,156,46
0.87,0.07423037285397915,0.5108007891219377,0.5261678631930055,0.055370376053643956,0.0077871024723240095,0.055370376053643956,0.0077871024723240095,0.11560632372351397,0.15890624981365395,0.0,1,1,1,1,1,0,144,44
0.9,0.06863086963920975,0.47226897861330014,0.48647685090005505,0.05669423084723178,0.0077871024723240095,0.05669423084723178,0.0077871024723240095,0.1194542458774008,0.15890624981365395,0.0,1,1,1,1,1,0,132,42
0.93,0.06289732957677382,0.432814821564734,0.4458357439354187,0.0579422321442384,0.0077871024723240095,0.0579422321442384,0.0077871024723240095,0.12314384107378597,0.15890624981365395,0.0,1,1,1,1,1,0,120,40
0.96,0.057037421414438405,0.3924910888604524,0.40429890075737723,0.05911175422493146,0.0077871024723240095,0.05911175422493146,0.0077871024723240095,0.12666748917862775,0.15890624981365395,0.0,1,1,1,1,1,0,108,38
0.99,0.05105908060913579,0.35135238668802005,0.3619225703413431,0.06020027780316867,0.0077871024723240095,0.06020027780316867,0.0077871024723240095,0.13001781399190918,0.15890624981365395,0.0,1,1,1,1,1,0,96,36
1.02,0.0449704984892781,0.30945508196108695,0.3187648153589912,0.061205395184525675,0.0077871024723240095,0.061205395184525675,0.0077871024723240095,0.13318769701679078,0.15890624981365395,0.0,1,1,1,1,1,0,84,34
1.05,0.03878011089916954,0.26685722417828583,0.27488543168633706,0.06212481525194591,0.0077871024723240095,0.06212481525194591,0.0077871024723240095,0.13617029070708053,0.15890624981365395,0.0,1,1,1,1,1,0,72,32
1.08,0.03249658634286335,0.22361846383766307,0.23034586436372495,0.06295636827085774,0.0077871024723240095,0.06295636827085774,0.0077871024723240095,0.13895903121281225,0.15890624981365395,0.0,1,1,1,1,1,0,60,30
1.11,0.0261288136455652,0.17979996753120586,0.18520912013603483,0.06369801050590977,0.0077871024723240095,0.06369801050590977,0.0077871024723240095,0.14154765063565158,0.15890624981365395,0.0,1,1,1,1,1,0,48,28
1.14,0.01968588915143992,0.13546432984922654,0.13953967670677356,0.06434782864167726,0.0077871024723240095,0.06434782864167726,0.0077871024723240095,0.14393018879917405,0.15890624981365395,0.0,1,1,1,1,1,0,36,26
1.17,0.013177103477431293,0.09067548222954294,0.09340338884504847,0.06490404399989635,0.0077871024723240095,0.06490404399989635,0.0077871024723240095,0.1461010045336315,0.15890624981365395,0.0,1,1,1,1,1,0,24,24
1.2,0.006611927843448021,0.04549859889151176,0.04686739148969382,0.06536501654599605,0.0077871024723240095,0.06536501654599605,0.0077871024723240095,0.1480547864705005,0.15890624981365395,0.0,1,1,1,1,1,0,12,12
