edge,edge_label,point_id,direction,rho_q,z_rel_q,rho_out,z_rel_out,coefficient,phi_exact,phi_barrier,phi_floor,barrier_minus_floor,component_exact,component_barrier,component_certified,component_barrier_minus_certified
outer_rho,out,21,rho_plus,0.69,-0.5749999999999993,0.75,-0.5749999999999993,200.0,0.03807504494536642,0.03807502590784395,0.03807,5.025907843951571e-06,7.615008989073284,7.61500518156879,7.614,0.0010051815687903698
outer_rho,out,22,rho_plus,0.69,-0.5450000000000017,0.75,-0.5450000000000017,200.0,0.036141729042452254,0.036141710971587734,0.036140000000000005,1.7109715877289267e-06,7.228345808490451,7.2283421943175465,7.2280000000000015,0.0003421943175450082
outer_rho,out,23,rho_plus,0.69,-0.5150000000000006,0.75,-0.5150000000000006,200.0,0.03417075133899246,0.03417073425361679,0.034170000000000006,7.342536167825875e-07,6.834150267798492,6.834146850723358,6.834000000000001,0.00014685072335662852
outer_rho,out,24,rho_plus,0.69,-0.48499999999999943,0.75,-0.48499999999999943,200.0,0.032165538960038105,0.03216552287726863,0.03216,5.522877268626658e-06,6.433107792007621,6.433104575453726,6.432,0.0011045754537253316
outer_rho,out,25,rho_plus,0.69,-0.45500000000000185,0.75,-0.45500000000000185,200.0,0.030129540811036002,0.0301295257462656,0.03012,9.52574626559774e-06,6.025908162207201,6.02590514925312,6.024,0.0019051492531199088
outer_rho,out,26,rho_plus,0.69,-0.4250000000000007,0.75,-0.4250000000000007,200.0,0.02806622135095106,0.028066207317840385,0.02806,6.207317840383614e-06,5.613244270190211,5.613241463568077,5.612,0.0012414635680766395
outer_rho,out,27,rho_plus,0.69,-0.3949999999999996,0.75,-0.3949999999999996,200.0,0.025979054427325454,0.02597904143779824,0.025970000000000003,9.041437798236462e-06,5.195810885465091,5.195808287559648,5.194000000000001,0.0018082875596467929
outer_rho,out,28,rho_plus,0.69,-0.365000000000002,0.75,-0.365000000000002,200.0,0.023871517198186674,0.023871505262428077,0.023870000000000002,1.5052624280746663e-06,4.774303439637335,4.774301052485615,4.774000000000001,0.0003010524856144059
outer_rho,out,29,rho_plus,0.69,-0.33500000000000085,0.75,-0.33500000000000085,200.0,0.021747084166362233,0.021747073292820152,0.021740000000000002,7.0732928201498735e-06,4.349416833272446,4.34941465856403,4.348000000000001,0.0014146585640295584
outer_rho,out,30,rho_plus,0.69,-0.3049999999999997,0.75,-0.3049999999999997,200.0,0.019609221351729315,0.01960921154711864,0.019600000000000003,9.211547118637142e-06,3.921844270345863,3.921842309423728,3.9200000000000004,0.0018423094237274285
