q_ss,q_bb,q_sb,p95_block11_rel_residual_identifiable,p95_block22_rel_residual,p95_trace_rel_residual,p95_det_rel_residual_identifiable,p95_anisotropy_abs_residual_identifiable,max_block11_rel_residual_identifiable,max_block22_rel_residual,max_trace_rel_residual,max_det_rel_residual_identifiable,max_anisotropy_abs_residual_identifiable,objective
0.0,0.0,-0.125,0.22400186760687119,0.016477507065880914,0.016600240802979727,0.23560567655543352,0.19773346105249395,0.25248036630632753,0.01809187555273084,0.018145769209430895,0.2575954952970976,0.22105019579804797,0.6904187530836593
0.0,0.0625,-0.125,0.22408109114058802,0.016634863159947198,0.016757521802785114,0.23580588513491138,0.19776588068345968,0.25257993784940047,0.01826224527126885,0.018316054460265185,0.2577409877540211,0.2210935041569746,0.6910452419216914
0.0,0.125,-0.125,0.22416032003007907,0.01679224365358878,0.016914827186456358,0.23600612839709856,0.19779830031442544,0.2526795173083596,0.01843264349984719,0.01848636820534333,0.2578864970431094,0.22113681251590123,0.6916718195816483
-0.0625,0.125,-0.125,1.0,0.3791306502303485,0.3811664390283175,1.0,164.2064107626894,1.0,0.4155789897396168,0.4243442565304886,1.0,164.71161554360455,166.96670785194806
-0.0625,0.0625,-0.125,1.0,0.3792157409271944,0.3812514709184063,1.0,164.20628254797862,1.0,0.4155828239005216,0.4243480331858577,1.0,164.71151341042747,166.9667497598242
-0.0625,0.0,-0.125,1.0,0.3793008175104309,0.3813364887028761,1.0,164.20615433326788,1.0,0.4155866580362719,0.4243518098164496,1.0,164.71141127725042,166.9667916394812
-0.0625,-0.0625,-0.125,1.0,0.3793858799824183,0.3814214923840858,1.0,164.2060261185571,1.0,0.41559049214686805,0.4243555864222647,1.0,164.71130914407334,166.96683349092362
-0.0625,-0.125,-0.125,1.0,0.37947092834551666,0.38150648196439424,1.0,164.20589790384633,1.0,0.41559432623230996,0.4243593630033027,1.0,164.71120701089626,166.96687531415625
-0.0625,0.125,-0.0625,1.0,0.3838487061785337,0.3858786722462855,1.0,164.26833267668408,1.0,0.4166788919064546,0.4254276621378821,1.0,164.79411605195043,167.0380600551089
-0.0625,0.0625,-0.0625,1.0,0.3839330428403303,0.3859629505451743,1.0,164.26820446197334,1.0,0.41668271885132535,0.42543143168544484,1.0,164.79401391877337,167.03810045535886
-0.0625,0.0,-0.0625,1.0,0.3840173655144461,0.3860472148643019,1.0,164.26807624726257,1.0,0.416686545771089,0.42543520120827694,1.0,164.7939117855963,167.0381408276413
-0.0625,-0.0625,-0.0625,1.0,0.38410167420322056,0.3861314652060063,1.0,164.26794803255183,1.0,0.4166903726657458,0.4254389707063787,1.0,164.79380965241924,167.03818117196104
-0.0625,-0.125,-0.0625,1.0,0.3841859689089926,0.38621570157262525,1.0,164.26781981784103,1.0,0.41669419953529574,0.42544274017975026,1.0,164.79370751924216,167.03822148832265
-0.0625,0.125,0.0,1.0,0.3885262027193206,0.39055037478783255,1.0,164.3302545906788,1.0,0.41777672401633803,0.42650902873546237,1.0,164.8766165602963,167.10933116818595
-0.0625,0.0625,0.0,1.0,0.3886097920656782,0.39063390621132255,1.0,164.33012637596804,1.0,0.41778054375875573,0.42651279118859575,1.0,164.87651442711925,167.10937007424505
-0.0625,0.0,0.0,1.0,0.38869336754915995,0.3907174237797862,1.0,164.32999816125727,1.0,0.4177843634761135,0.4265165536170452,1.0,164.87641229394217,167.10940895258622
-0.0625,-0.0625,0.0,1.0,0.3887769291720844,0.3908009274955406,1.0,164.32986994654652,1.0,0.4177881831684116,0.42652031602081086,1.0,164.87631016076512,167.10944780321415
-0.0625,-0.125,0.0,1.0,0.3888604769367695,0.3908844173609025,1.0,164.32974173183575,1.0,0.4177920028356502,0.4265240783998927,1.0,164.87620802758804,167.10948662613342
-0.0625,0.125,0.0625,1.0,0.3931634989301964,0.3951819055177541,1.0,164.3921765046735,1.0,0.41887248996519166,0.4275883601607219,1.0,164.95911706864217,167.18052190912144
-0.0625,0.0625,0.0625,1.0,0.3932463476207719,0.39526469672172704,1.0,164.39204828996276,1.0,0.41887630251871144,0.427592115532778,1.0,164.95901493546512,167.18055933430526
-0.0625,0.0,0.0625,1.0,0.39332918257216265,0.3953474741942953,1.0,164.39192007525196,1.0,0.41888011504721856,0.42759587088019657,1.0,164.95891280228804,167.18059673201842
-0.0625,-0.0625,0.0625,1.0,0.39341200378666646,0.39543023793775506,1.0,164.39179186054122,1.0,0.418883927550713,0.42759962620297765,1.0,164.958810669111,167.18063410226563
-0.0625,-0.125,0.0625,1.0,0.3934948112665807,0.3955129879544027,1.0,164.39166364583045,1.0,0.41888774002919527,0.42760338150112165,1.0,164.9587085359339,167.18067144505144
-0.0625,0.125,0.125,1.0,0.3977609506893637,0.3997736201033772,1.0,164.45409841866822,1.0,0.41996619364160737,0.4286656602439305,1.0,165.04161757698807,167.25163298946097
