width_peak,refamp_peak,center_D,sigma_D,D,eta,delta_mu,acceptance_mismatch,extra_width_beta,extra_refamp_beta,width_component,refamp_component
0.0,0.0,5.63,0.15,6.4406779661016955,0.77,30.24419989198092,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,0.96,30.244278368431985,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,1.15,30.244356839473568,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,1.34,30.24443531047038,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,1.53,30.244513783146957,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,1.72,30.24459225774099,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,1.91,30.24467073420528,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,2.1,30.244749201998246,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,2.29,30.24482766228089,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,2.4800000000000004,30.244906124360625,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,2.6700000000000004,30.24498458830397,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,2.8600000000000003,30.245063054100264,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,3.0500000000000003,30.245141521719688,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,3.24,30.24521999119211,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,3.43,30.245298462536567,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,3.62,30.24537693571719,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,3.81,30.245455410707457,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,4.0,30.245533887575135,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,0.2,-0.21506726694990164,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,0.39,-0.2150477368956345,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,0.5800000000000001,-0.21502820635199527,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,0.77,-0.21500867639369758,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,0.96,-0.21498914651317236,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,1.15,-0.21496961784761837,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,1.34,-0.21495008932934923,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,1.53,-0.2149305606284031,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,1.72,-0.21491103168192893,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,1.91,-0.2148915024321738,0.0,0.0,0.0,0.0,0.0
