center_D,sigma_D,beta_peak,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch,slice_max_beta_eff
6.74,0.08,0.2,6.4406779661016955,5.682658074646525,5.682694614408675,0.0,0.00018246646401696065
6.74,0.08,0.2,6.711864406779661,19.4592982252511,19.459307731455976,0.0,0.1880057805267923
6.74,0.08,0.35,5.898305084745763,30.544136573925506,30.545371906723688,0.0,3.212736739062531e-25
6.74,0.08,0.35,6.4406779661016955,5.678618123926498,5.678654652831469,0.0,0.00031931631202968105
6.74,0.08,0.35,6.711864406779661,18.07799266791794,18.077999284164,0.0,0.32901011592188645
6.74,0.08,0.5,5.898305084745763,30.544136573925506,30.545371906723688,0.0,4.589623912946473e-25
6.74,0.08,0.5,6.4406779661016955,5.674578450490266,5.674614968538904,0.0,0.00045616616004240157
6.74,0.08,0.5,6.711864406779661,16.2785909435301,16.278593795078834,0.0,0.47001445131698066
6.74,0.08,0.65,5.898305084745763,30.544136573925506,30.545371906723688,0.0,5.966511086830415e-25
6.74,0.08,0.65,6.4406779661016955,5.670539054318894,5.670575561512045,0.0,0.000593016008055122
6.74,0.08,0.65,6.711864406779661,13.93457985039499,13.93458190223882,0.0,0.6110187867120749
6.74,0.1,0.2,5.898305084745763,30.544136573925506,30.545371906723688,0.0,8.26468939845659e-17
6.74,0.1,0.2,6.4406779661016955,5.621138742806934,5.621175117240156,0.0,0.0022673990184331892
6.74,0.1,0.2,6.711864406779661,19.42293036114287,19.422939791259147,0.0,0.1922384995393603
6.74,0.1,0.35,5.898305084745763,30.544136573925506,30.545371906723688,0.0,1.4463206447299032e-16
6.74,0.1,0.35,6.4406779661016955,5.571008878576798,5.571045118289646,0.0,0.00396794828225808
6.74,0.1,0.35,6.711864406779661,17.994837491086418,17.994843933355725,0.0,0.3364173741938805
6.74,0.1,0.5,5.898305084745763,30.544136573925506,30.545371906723688,0.0,2.0661723496141476e-16
6.74,0.1,0.5,6.4406779661016955,5.520921752873974,5.520957857981202,0.0,0.005668497546082973
6.74,0.1,0.5,6.711864406779661,16.123378698328242,16.123381225142815,0.0,0.48059624884840074
6.74,0.1,0.65,5.898305084745763,30.544136573925506,30.545371906723688,0.0,2.686024054498392e-16
6.74,0.1,0.65,6.4406779661016955,5.470877329261441,5.470913299877836,0.0,0.007369046809907865
6.74,0.1,0.65,6.711864406779661,13.670953395014205,13.670955998461011,0.0,0.624775123502921
