D,eta,base_partial_ratio,base_width_ratio,base_mu,base_chi2,cur_partial_ratio,cur_width_ratio,cur_mu,cur_chi2,cur_width_alpha,cur_refamp_beta,cur_pointamp_beta,cur_partial_beta,delta_mu,delta_log_mu,delta_log_partial,delta_log_width,delta_log_amp_point,delta_log_amp_ref,path_closure_residual,width_component,partial_component,amp_point_component,amp_ref_component,mu_width_anchor,mu_partial_anchor,mu_refamp_anchor,mu_pointamp_anchor,mu_width_refamp_anchor,mu_width_pointamp_anchor,delta_mu_width_anchor,delta_mu_partial_anchor,delta_mu_refamp_anchor,delta_mu_pointamp_anchor,delta_mu_width_refamp_anchor,delta_mu_width_pointamp_anchor,acceptance_mismatch
4.0,1.15,1171.7191086915038,451.7521564544984,2.593721118870901,8.906063185239974,947.0420322269046,514.6497916604718,1.8401679114089555,1.2109236889632637,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7535532074619455,-0.3432367463839116,-0.21288379624753542,0.13035295013637613,-1.1247114351028397e-11,0.1064418981125206,-5.551115123125783e-17,0.13035295013637613,0.21288379624753542,2.2494228702056794e-11,0.2128837962250412,2.096375232958723,2.2767309492364824,2.276730949185269,1.8401679114503489,2.593721118812557,2.0963752330058796,-0.497345885912178,-0.3169901696344186,-0.3169901696856319,-0.7535532074205522,-5.834399630089138e-11,-0.4973458858650215,1.0
4.0,1.2449999999999999,1174.628851134585,449.6003072892997,2.612606869013456,9.190096367366355,949.3938317120477,512.2348915363174,1.8534345227139526,1.285017914930188,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7591723462995033,-0.3433081065630802,-0.21288379624753473,0.1304243103155454,-1.1246781284121006e-11,0.1064418981125206,-5.551115123125783e-17,0.1304243103155454,0.21288379624753473,2.2493562568242012e-11,0.2128837962250412,2.1116396415208656,2.2931449429608093,2.2931449429092283,1.853434522755643,2.6126068689546886,2.1116396415683636,-0.5009672274925903,-0.31946192605264656,-0.3194619261042275,-0.7591723462578128,-5.876721331787849e-11,-0.5009672274450923,1.0
4.0,1.34,1177.5164558758195,447.4607936281768,2.631552244673958,9.479505821009155,951.7277383984895,509.8224545054751,1.8667827005023936,1.361788059301921,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7647695441715645,-0.3433574110618231,-0.21288379624753487,0.13047361481428837,-1.1246781284121006e-11,0.1064418981125206,1.6653345369377348e-16,0.13047361481428837,0.21288379624753487,2.2493562568242012e-11,0.2128837962250412,2.126952242411074,2.309659854072147,2.3096598540201936,1.8667827005443842,2.631552244614764,2.1269522424589167,-0.504600002262884,-0.32189239060181096,-0.3218923906537645,-0.7647695441295739,-5.91939830485444e-11,-0.5046000022150414,1.0
4.0,1.435,1180.3819363968603,445.333611351702,2.650556585688867,9.77432358756123,954.0437631827765,507.4124801617352,1.8802134367658436,1.4412809053153934,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7703431489230235,-0.34338434968745873,-0.2128837962475357,0.13050055343992306,-1.1247225373330861e-11,0.1064418981125206,5.551115123125783e-17,0.13050055343992306,0.2128837962475357,2.2494450746661722e-11,0.2128837962250412,2.142312502052132,2.326276909903003,2.3262769098506757,1.8802134368081382,2.650556585629245,2.1423125021003226,-0.5082440836367352,-0.3242796757858639,-0.3242796758381914,-0.7703431488807289,-5.962208504683986e-11,-0.5082440835885444,1.0
4.0,1.53,1183.225308181454,443.2187546195937,2.669619224928769,10.07458110192955,956.341918579649,505.00496759318105,1.8937277451695353,1.5235442896887106,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7758914797592336,-0.3433886113749838,-0.21288379624753584,0.13050481512744797,-1.1247225373330861e-11,0.1064418981125206,0.0,0.13050481512744797,0.21288379624753584,2.2494450746661722e-11,0.2128837962250412,2.1577198812366576,2.3429973646014304,2.342997364548726,1.8937277452121342,2.669619224868717,2.1577198812851948,-0.5118993436921113,-0.32662186032733853,-0.32662186038004304,-0.7758914797166347,-6.005196340197472e-11,-0.5118993436435741,1.0
4.0,1.625,1186.0465886846853,441.1162159085475,2.6887394883949978,10.380309180928755,958.6222186971804,502.5999153860142,1.9073266615274402,1.6086271343536125,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7814128268675575,-0.34336988413777303,-0.21288379624753515,0.13048608789023777,-1.1247114351028397e-11,0.1064418981125206,-1.1102230246251565e-16,0.13048608789023777,0.21288379624753515,2.2494228702056794e-11,0.2128837962250412,2.1731738352051937,2.359822499718808,2.3598224996657255,1.9073266615703444,2.688739488334517,2.1731738352540777,-0.5155656531898041,-0.3289169886761898,-0.3289169887292722,-0.7814128268246534,-6.048095357868988e-11,-0.5155656531409201,1.0
4.0,1.72,1188.8457973023242,439.0259860496755,2.70791669531791,10.691538011820764,960.8846792120004,500.1973216283466,1.92101124429041,1.6965794792315079,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7869054510275,-0.34332785501693736,-0.21288379624753623,0.13044405876940118,-1.1247669462540716e-11,0.1064418981125206,5.551115123125783e-17,0.13044405876940118,0.21288379624753623,2.2495338925081432e-11,0.2128837962250412,2.188673813725634,2.3767536248137944,2.3767536247603287,1.9210112443336236,2.7079166952569946,2.188673813774869,-0.5192428815922758,-0.33116307050411553,-0.3311630705575812,-0.7869054509842863,-6.091527282592324e-11,-0.519242881543041,1.0
4.0,1.815,1191.622955340224,436.94805426551,2.7271501582568862,11.00829714100799,963.1293173445687,497.797183913962,1.9347825750477399,1.7874525160918227,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7923675832091464,-0.3432622100294002,-0.21288379624753637,0.13037841378186385,-1.1247669462540716e-11,0.1064418981125206,0.0,0.13037841378186385,0.21288379624753637,2.2495338925081432e-11,0.2128837962250412,2.2042192611740674,2.3937920780728668,2.3937920780190174,1.9347825750912635,2.727150158195538,2.204219261223652,-0.5229308970828188,-0.33335808018401947,-0.33335808023786884,-0.7923675831656227,-6.134825980552705e-11,-0.522930897033234,1.0
4.0,1.91,1194.3780859838512,434.88240820661133,2.7464391832019235,11.330615462884143,965.3561518345392,495.3994993460479,1.9486417590426668,1.8812986235339484,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.7977974241592567,-0.3431726341145876,-0.21288379624753598,0.13028883786705184,-1.1247336395633325e-11,0.1064418981125206,2.220446049250313e-16,0.13028883786705184,0.21288379624753598,2.249467279126665e-11,0.2128837962250412,2.21980961661687,2.4109392269481296,2.410939226893896,1.9486417590865008,2.7464391831401427,2.219809616666804,-0.5266295665850533,-0.3354999562537939,-0.3354999563080274,-0.7977974241154226,-6.178080269592101e-11,-0.5266295665351195,1.0
4.0,2.005,1197.1112142679071,432.8290339877481,2.7657830696768673,11.658521208849791,967.5652029162108,493.0137634165919,1.962552112563696,1.9779054959367333,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.8032309571131713,-0.3430780782238084,-0.212883796247535,0.13019428197627336,-1.124689230642347e-11,0.1064418981125206,-5.551115123125783e-17,0.13019428197627336,0.212883796247535,2.249378461284694e-11,0.2128837962250412,2.235444313894153,2.428149684852428,2.4281496847978095,1.9625521126078413,2.7657830696146544,2.235444313944437,-0.5303387557827142,-0.3376333848244393,-0.3376333848790578,-0.8032309570690259,-6.221290149710512e-11,-0.5303387557324304,1.0
