family,peak,center_D,sigma_D,D,eta,target_mu,cur_mu,mu_new,delta_mu,delta_log_mu,beta
pointamp3,0.25,6.1,0.03,5.627118644067797,3.81,48.26789340891404,58.53980931316438,58.53980931316438,10.271915904250342,0.1929404169906066,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,4.0,48.270211199275586,58.54281997307435,58.54281997307435,10.272608773798765,0.19294382679725972,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.898305084745763,0.2,77.61407091464986,76.24192697514606,76.24192697513752,-1.3721439395123411,-0.017837202824887502,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,0.39,77.61550825191728,76.24551039944117,76.24551039943276,-1.3699978524845164,-0.017808722082695638,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,0.5800000000000001,77.61694556962716,76.24909417853935,76.24909417853097,-1.3678513910961954,-0.017780238301236678,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,0.77,77.61838286793989,76.25267762769651,76.25267762768813,-1.3657052402517564,-0.01775176046298584,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,0.96,77.61982014684129,76.25626135111477,76.25626135110637,-1.3635587957349173,-0.01772328064365803,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,1.15,77.62125740623104,76.25984437177493,76.25984437176655,-1.3614130344644906,-0.01769481165399821,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,1.34,77.62269464620833,76.26342746510474,76.26342746509634,-1.3592671811119885,-0.01766634332605186,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,1.53,77.62413186672336,76.26701091314902,76.26701091314062,-1.3571209535827364,-0.01763787196100667,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,1.72,77.62556906777397,76.27059471597293,76.27059471596453,-1.3549743518094317,-0.017609397558455288,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,1.91,77.62700624935587,76.27417887362975,76.27417887362121,-1.3528273757346625,-0.017580920118121183,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,2.1,77.62844341150674,76.2777618752119,76.27776187520351,-1.3506815363032274,-0.017552459448927586,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,2.29,77.62988055418047,76.28134387142222,76.28134387141382,-1.3485366827666496,-0.017524013572351768,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,2.4800000000000004,77.63131767739702,76.28492622207371,76.28492622206528,-1.3463914553317409,-0.017495564661163227,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,2.6700000000000004,77.63275478113702,76.28850892721387,76.28850892720548,-1.3442458539315396,-0.017467112714962815,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,2.8600000000000003,77.6341918654228,76.29209198690909,76.2920919869007,-1.3420998785221059,-0.01743865773364341,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,3.0500000000000003,77.63562893022234,76.2956754012072,76.29567540119882,-1.3399535290235178,-0.017410199716639166,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,3.24,77.63706597556575,76.29925917017263,76.29925917016422,-1.3378068054015273,-0.01738173866396873,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,3.43,77.6385030014192,76.30284329384436,76.30284329383596,-1.3356597075832326,-0.017353274575158596,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,3.62,77.6399400078103,76.30642777229964,76.30642777229124,-1.333512235519052,-0.01732480745002714,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,3.81,77.64137699472595,76.31001260558652,76.31001260557797,-1.3313643891479785,-0.01729633728825251,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,5.898305084745763,4.0,77.6428139621469,76.31359779375681,76.3135977937484,-1.3292161683985029,-0.017267864089376472,3.825448211605055e-11
pointamp3,0.25,6.1,0.03,6.169491525423729,0.2,75.88654558073978,101.7163354270087,101.2742441716222,25.387698590882422,0.2885927223196389,0.017092556585619437
