label,eta,mu_candidate,mu_full,chi2_candidate,chi2_full,abs_delta_mu_mumu,acceptance_mismatch
candidate_d4p0_beta1p5,2.1950000000000003,1.2147830692656514,2.144623578583578,0.21440819644157788,3.465401711141339,0.9298405093179267,0.0
candidate_d4p0_beta1p5,2.29,1.225701752041828,2.159544392612591,0.18987424525805222,3.605673027182685,0.9338426405707627,0.0
candidate_d4p0_beta1p5,2.385,1.2366777504746858,2.1745050790863396,0.16671348243755613,3.749113234565858,0.9378273286116539,0.0
candidate_d4p0_beta1p5,2.4800000000000004,1.2477108011701052,2.1895050794607793,0.14495000050156995,3.8957391905898224,0.9417942782906741,0.0
candidate_d4p0_beta1p5,2.575,1.2588006336383442,2.2045438307331704,0.12460788163083177,4.045567347317527,0.9457431970948262,1.0
candidate_d4p0_beta1p5,2.6700000000000004,1.2699469703246034,2.2196207655287057,0.10571119079843486,4.198613745536636,0.9496737952041023,1.0
candidate_d4p0_beta1p5,2.765,1.2811495266415018,2.234735312188143,0.08828396885961913,4.35489400883648,0.9535857855466412,1.0
candidate_d4p0_beta1p5,2.8600000000000003,1.2924080110035836,2.2498868948564748,0.07235022560128106,4.51442333780488,0.9574788838528911,1.0
candidate_d4p0_beta1p5,2.955,1.3037221248637072,2.265074933572471,0.057933932754747314,4.677216504346346,0.9613528087087639,1.0
candidate_d4p0_beta1p5,3.0500000000000003,1.315091562751408,2.280298844359258,0.045059016974988014,4.843287846126531,0.9652072816078499,1.0
candidate_d4p0_beta1p5,3.145,1.3265160123131685,2.2955580393157105,0.03374935278973993,5.0126512611437475,0.9690420270025419,1.0
candidate_d4p0_beta1p5,3.24,1.3379951543545907,2.3108519267087737,0.024028755521943876,5.185320202431784,0.972856772354183,1.0
candidate_d4p0_beta1p5,3.3350000000000004,1.3495286628844982,2.3261799110666166,0.015920974188916352,5.361307672896037,0.9766512481821183,1.0
candidate_d4p0_beta1p5,3.43,1.3611162051608467,2.3415413932725633,0.009449684381833464,5.540626220285248,0.9804251881117165,1.0
candidate_d4p0_beta1p5,3.5250000000000004,1.372757441738591,2.356935770659859,0.004638481128914103,5.723287932302366,0.984178328921268,1.0
candidate_d4p0_beta1p5,3.62,1.384452026519305,2.3723624371071432,0.0015108717459774534,5.909304431855894,0.9879104105878382,1.0
candidate_d4p0_beta1p5,3.715,1.3961996068026874,2.3878207831346545,9.026867783862014e-05,6.098686872454763,0.9916211763319671,1.0
candidate_d4p0_beta1p5,3.81,1.4079998233398636,2.4033101960011223,0.000399982334181426,6.291445933748815,0.9953103726612587,1.0
candidate_d4p0_beta1p5,3.905,1.4198523103884555,2.4188300598013246,0.0024632139234973846,6.487591817217316,0.9989777494128691,1.0
candidate_d4p0_beta1p5,4.0,1.4317566957694496,2.4343797555642395,0.006303048288708664,6.687134242007098,1.0026230597947898,1.0
