D,level,dr,dz,mode_n,lambda_n,window_E_lo,window_E_hi,Nps_lambda_n,g_raw_n,g_hat_to_g3,grid_index
4.271186440677966,fine,0.06,0.03,15,4.3998747032744605,0.7334878092578565,4.3998747032744605,159.39657994115575,107.92119706656936,12.065255289941248,1
4.271186440677966,fine,0.06,0.03,16,4.704837121593499,0.7334878092578565,4.704837121593499,170.55363001535773,116.8314297815769,13.061391686881324,1
4.271186440677966,fine,0.06,0.03,17,5.18045631048962,0.7334878092578565,5.18045631048962,187.95415804112233,130.72782291797344,14.614965362464178,1
4.271186440677966,fine,0.06,0.03,18,5.189190314124612,0.7334878092578565,5.189190314124612,188.2736915641085,130.983008476084,14.643494316817888,1
4.271186440677966,fine,0.06,0.03,19,5.7458239939847715,0.7334878092578565,5.7458239939847715,208.63813474179244,147.24644071112212,16.461695626106167,1
4.271186440677966,fine,0.06,0.03,20,6.034980414466385,0.7334878092578565,6.034980414466385,219.21692238511224,155.69486203375993,17.406202940936385,1
4.271186440677966,fine,0.06,0.03,21,6.378123906915132,0.7334878092578565,6.378123906915132,231.77082705634967,165.72064943803005,18.52705489405716,1
4.271186440677966,fine,0.06,0.03,22,6.964246395825952,0.7334878092578565,6.964246395825952,253.214118313152,182.84567029955568,20.441579140970653,1
4.271186440677966,fine,0.06,0.03,23,7.084309268215018,0.7334878092578565,7.084309268215018,257.60661849950606,186.35360461918611,20.833755323751323,1
4.271186440677966,fine,0.06,0.03,24,7.865511573282935,0.7334878092578565,7.865511573282935,286.1869048304157,209.1783656963804,23.385492858300683,1
4.271186440677966,fine,0.06,0.03,25,7.967509252980297,0.7334878092578565,7.967509252980297,289.9184899421437,212.15848064793332,23.718660471903764,1
4.271186440677966,fine,0.06,0.03,26,8.2368988430225,0.7334878092578565,8.2368988430225,299.7741080938377,220.0293650392205,24.59860094810064,1
4.271186440677966,fine,0.06,0.03,27,8.335219342143477,0.7334878092578565,8.335219342143477,303.3711635541786,222.9020420485794,24.9197573328105,1
4.271186440677966,fine,0.06,0.03,28,8.51733738450281,0.7334878092578565,8.51733738450281,310.0339521338948,228.22307192487594,25.514631978458862,1
4.271186440677966,fine,0.06,0.03,29,8.719060058467804,0.7334878092578565,8.719060058467804,317.4139761609041,234.11689969168404,26.173543652665188,1
4.271186440677966,fine,0.06,0.03,30,8.784627545808469,0.7334878092578565,8.784627545808469,319.8127626852623,236.03261630346816,26.38771483138274,1
4.271186440677966,fine,0.06,0.03,31,9.044243477108468,0.7334878092578565,9.044243477108468,329.31081153187284,243.6179390365349,27.2357303993957,1
4.271186440677966,fine,0.06,0.03,32,9.114940816479294,0.7334878092578565,9.114940816479294,331.89727369275454,245.6835369865975,27.46665784711954,1
4.271186440677966,fine,0.06,0.03,33,9.524836423437328,0.7334878092578565,9.524836423437328,346.89330447331423,257.65965282076075,28.805550472930186,1
4.271186440677966,fine,0.06,0.03,34,9.649054918997852,0.7334878092578565,9.649054918997852,351.43783813339604,261.2890039685291,29.211300680719816,1
4.271186440677966,fine,0.06,0.03,35,10.008398704594608,0.7334878092578565,10.008398704594608,364.5844305294533,271.78812307968866,30.385069651402233,1
4.271186440677966,fine,0.06,0.03,36,10.196390149778155,0.7334878092578565,10.196390149778155,371.4620975514934,277.2807589731502,30.99912931781263,1
4.271186440677966,fine,0.06,0.03,37,10.566244545438623,0.7334878092578565,10.566244545438623,384.99322061673166,288.0869716014737,32.20723039176279,1
4.271186440677966,fine,0.06,0.03,38,10.652646647354336,0.7334878092578565,10.652646647354336,388.1542415153179,290.6114231039844,32.489456244262186,1
4.271186440677966,fine,0.06,0.03,39,11.19764419843384,0.7334878092578565,11.19764419843384,408.0929769215616,306.5348770036298,34.26964902954352,1
4.271186440677966,fine,0.06,0.03,40,11.421457382402068,0.7334878092578565,11.421457382402068,416.2811822570392,313.07413375807175,35.00071766381885,1
4.5423728813559325,fine,0.06,0.03,1,0.7311353826524483,0.7311353826524483,0.7311353826524483,25.610955268606304,1.0,0.11295119109714562,2
4.5423728813559325,fine,0.06,0.03,2,0.8260262834151346,0.7311353826524483,0.8260262834151346,29.140185095222513,4.555538336994213,0.5145534812522063,2
4.5423728813559325,fine,0.06,0.03,3,1.000327246836748,0.7311353826524483,1.000327246836748,35.622873677280865,8.853381626935946,1.0,2
4.5423728813559325,fine,0.06,0.03,4,1.2609461123144263,0.7311353826524483,1.2609461123144263,45.31594083155943,16.646430891153603,1.8802341966721188,2
4.5423728813559325,fine,0.06,0.03,5,1.5797478547950785,0.7311353826524483,1.5797478547950785,57.17297463877108,26.179269890036192,2.9569797161332283,2
4.5423728813559325,fine,0.06,0.03,6,1.975975238641492,0.7311353826524483,1.975975238641492,71.90966161247881,38.027297531809666,4.295228550423448,2
4.5423728813559325,fine,0.06,0.03,7,2.44520717393829,0.7311353826524483,2.44520717393829,89.36157036600497,52.05831397956305,5.880048570500834,2
4.5423728813559325,fine,0.06,0.03,8,2.983479756263528,0.7311353826524483,2.983479756263528,109.38127338413638,68.15379019902156,7.698051780764454,2
4.5423728813559325,fine,0.06,0.03,9,3.415326745795639,0.7311353826524483,3.415326745795639,125.4427425423094,81.06691856315398,9.156605010283547,2
4.5423728813559325,fine,0.06,0.03,10,3.510670226846964,0.7311353826524483,3.510670226846964,128.98880496131082,83.91788809482289,9.47862541466722,2
4.5423728813559325,fine,0.06,0.03,11,3.5955318684148896,0.7311353826524483,3.5955318684148896,132.1450215653259,86.4554286990654,9.765243648373783,2
4.5423728813559325,fine,0.06,0.03,12,3.684958093902437,0.7311353826524483,3.684958093902437,135.47100645677145,89.12945991111965,10.067278658806256,2
4.5423728813559325,fine,0.06,0.03,13,3.9456663645115806,0.7311353826524483,3.9456663645115806,145.16739881140208,96.925182575794,10.947814819244236,2
