combo_id,mode,omega,m,phase,center_D,width_D,eta_couple,D60_p95_base,D60_p95_cf,D21_p95_base,D21_p95_cf,D60_mean_abs_improvement,D21_mean_abs_improvement,D60_improved_fraction,D21_improved_fraction,D21_acceptance_flip_fraction,beats_mainline_both,joint_objective
583,partial_notch,1.2,14.0,0.4353981633974483,5.9,0.05,0.0,31.28593012120719,28.624658334347604,2.102217055050133,2.148718990064657,-0.014801446736701775,-0.3306123526332007,0.8,0.0,0.0,0.0,28.996673814463797
1179,pointamp_notch,1.1,12.0,0.5853981633974483,5.9,0.07,0.0,31.28593012120719,27.275096585345516,2.102217055050133,2.318435836643657,0.6075153183391793,-0.24021243326829497,0.8,0.0,0.0,0.0,29.00484683809371
315,partial_notch,1.1,12.0,0.5853981633974483,5.9,0.07,0.0,31.28593012120719,27.27509658534553,2.102217055050133,2.3184358366436593,0.60751531833918,-0.24021243326829547,0.8,0.0,0.0,0.0,29.00484683809374
621,partial_notch,1.2,14.0,0.7853981633974483,5.9,0.07,0.0,31.28593012120719,23.891681588150554,2.102217055050133,2.7418870605134074,1.8625281420985726,-0.5930494642854676,0.8,0.0,0.0,0.0,29.00904163185675
1485,pointamp_notch,1.2,14.0,0.7853981633974483,5.9,0.07,0.0,31.28593012120719,23.891681588150554,2.102217055050133,2.7418870605134202,1.8625281420985746,-0.5930494642854698,0.8,0.0,0.0,0.0,29.009041631856853
187,partial_notch,1.0,14.0,0.7853981633974483,5.9,0.05,0.0,31.28593012120719,25.176985262305358,2.102217055050133,2.5820313932755092,1.4525369608470564,-0.4964494792918271,1.0,0.0,0.0,0.0,29.01549996810837
1051,pointamp_notch,1.0,14.0,0.7853981633974483,5.9,0.05,0.0,31.28593012120719,25.17698526230537,2.102217055050133,2.5820313932755092,1.4525369608470515,-0.4964494792918289,1.0,0.0,0.0,0.0,29.01549996810838
513,partial_notch,1.2,12.0,0.4353981633974483,5.9,0.07,0.0,31.28593012120719,28.709494124920912,2.102217055050133,2.14076980758619,0.15356658114868907,-0.23236188422618445,0.8,0.0,0.0,0.0,29.01791614520937
1377,pointamp_notch,1.2,12.0,0.4353981633974483,5.9,0.07,0.0,31.28593012120719,28.709494124920916,2.102217055050133,2.140769807586203,0.15356658114868502,-0.232361884226183,0.8,0.0,0.0,0.0,29.017916145209476
1449,pointamp_notch,1.2,14.0,0.4353981633974483,5.9,0.07,0.0,31.28593012120719,28.646265131005052,2.102217055050133,2.1502851199988706,0.5433804001811158,-0.33113440553819157,0.8,0.0,0.0,0.0,29.030809650594954
