alpha_center,taper,taper_center_D,taper_sigma_D,D,slice_max_abs_delta_mu,slice_p95_abs_delta_mu,slice_acceptance_mismatch
0.85,0.0,5.9,0.4,6.4406779661016955,1.466293799577798,1.4662423007899705,0.0
0.85,0.0,5.9,0.4,6.711864406779661,20.70546698258233,20.705441777349552,0.0
0.85,0.0,5.9,0.4,7.254237288135593,0.13773016636678337,0.13773015814021736,0.0
0.85,0.0,6.0,0.4,4.813559322033898,1.2414966576908846,1.2388245722106155,0.0
0.85,0.0,6.0,0.4,5.627118644067797,8.085569797502906,8.085216256272634,0.0
0.85,0.0,6.0,0.4,5.898305084745763,40.55828648041575,40.55804964327018,0.0
0.85,0.0,6.0,0.4,6.169491525423728,29.16231490740764,29.16179202825434,0.0
0.85,0.0,6.0,0.4,6.4406779661016955,1.466293799577798,1.4662423007899705,0.0
0.85,0.0,6.0,0.4,6.711864406779661,20.70546698258233,20.705441777349552,0.0
0.85,0.0,6.0,0.4,7.254237288135593,0.13773016636678337,0.13773015814021736,0.0
0.85,0.01,5.9,0.4,4.813559322033898,1.2374130058711987,1.2347476440531504,0.0
0.85,0.01,5.9,0.4,5.627118644067797,7.6003166147739165,7.6000171391416655,0.0
0.85,0.01,5.9,0.4,5.898305084745763,40.55403386309794,40.55379690931364,0.0
0.85,0.01,5.9,0.4,6.169491525423728,29.899784728956988,29.89927721470093,0.0
0.85,0.01,5.9,0.4,6.4406779661016955,0.5547523930588127,0.5547054021689248,0.0
0.85,0.01,5.9,0.4,6.711864406779661,20.703953884998416,20.703928637045053,0.0
0.85,0.01,5.9,0.4,7.254237288135593,0.13768787561778373,0.13768786739994435,0.0
0.85,0.01,6.0,0.4,4.813559322033898,1.2393046221021091,1.236636145745407,0.0
0.85,0.01,6.0,0.4,5.627118644067797,7.543354421222375,7.543061293341454,0.0
0.85,0.01,6.0,0.4,5.898305084745763,40.310643735594546,40.31040010063453,0.0
0.85,0.01,6.0,0.4,6.169491525423728,29.69528177125808,29.69477000371792,0.0
0.85,0.01,6.0,0.4,6.4406779661016955,0.45761239013741317,0.4575658802650864,0.0
0.85,0.01,6.0,0.4,6.711864406779661,20.70333090305834,20.70330563750923,0.0
0.85,0.01,6.0,0.4,7.254237288135593,0.13764166545041645,0.13764165724211272,0.0
0.85,0.02,5.9,0.4,4.813559322033898,1.2333304736160908,1.230671833819451,0.0
0.85,0.02,5.9,0.4,5.627118644067797,7.110308675388538,7.1100638132859135,0.0
0.85,0.02,5.9,0.4,5.898305084745763,40.54978088580381,40.54954381536756,0.0
0.85,0.02,5.9,0.4,6.169491525423728,30.627842687520882,30.627350268684108,0.0
