D,eta,winner_baseline,winner_direct,winner_mismatch,R3_baseline,R3_direct,delta_R3,abs_delta_R3,mu_mumu_baseline,mu_mumu_direct,delta_mu_mumu,abs_delta_mu_mumu,chi2_mumu_baseline,chi2_mumu_direct,delta_chi2_mumu,abs_delta_chi2_mumu,underflow_fallback_baseline,underflow_fallback_direct
13.600000000000001,0.29500000000000004,2,2,0,0.942122281408972,0.942122281408972,0.0,0.0,0.0002389561157429121,0.00023895363804800107,-2.477694911029839e-09,2.477694911029839e-09,12.245818624849655,12.245818668201913,4.33522586718027e-08,4.33522586718027e-08,0,0
14.4,0.29500000000000004,2,2,0,0.9423418454318492,0.9423418454318491,-1.1102230246251565e-16,1.1102230246251565e-16,5.900109245426205e-05,5.904925646762712e-05,4.8164013365067416e-08,4.8164013365067416e-08,12.248967502639104,12.248966659804406,-8.428346980338119e-07,8.428346980338119e-07,0,0
15.200000000000001,0.29500000000000004,2,2,0,0.9434855149126593,0.9434855149126593,0.0,0.0,1.6334184456907176e-05,1.628505787105921e-05,-4.912658584796666e-08,4.912658584796666e-08,12.249714153439536,12.249715013144773,8.597052367775859e-07,8.597052367775859e-07,0,0
16.0,0.29500000000000004,2,2,0,0.9395675602862833,0.939567560286283,-3.3306690738754696e-16,3.3306690738754696e-16,2.40877689561022e-06,2.328851189511091e-06,-7.992570609912926e-08,7.992570609912926e-08,12.24995784644059,12.24995924513808,1.3986974884971914e-06,1.3986974884971914e-06,0,0
16.8,0.29500000000000004,2,2,0,0.937116788077611,0.937116788077611,0.0,0.0,4.57729546911638e-07,4.5772954390594154e-07,-3.005696466271444e-15,3.005696466271444e-15,12.249991989734236,12.249991989734289,5.3290705182007514e-14,5.3290705182007514e-14,0,0
17.6,0.29500000000000004,2,2,0,0.9280847821906235,0.9280847821906235,0.0,0.0,7.407618517495128e-08,7.407618468852753e-08,-4.864237577351549e-16,4.864237577351549e-16,12.24999870366679,12.2499987036668,8.881784197001252e-15,8.881784197001252e-15,0,0
18.4,0.29500000000000004,2,2,0,0.92266427015343,0.92266427015343,0.0,0.0,7.407618517495128e-08,7.407618468852753e-08,-4.864237577351549e-16,4.864237577351549e-16,12.24999870366679,12.2499987036668,8.881784197001252e-15,8.881784197001252e-15,0,0
19.200000000000003,0.29500000000000004,2,2,0,0.9249701331244229,0.9249701331244228,-1.1102230246251565e-16,1.1102230246251565e-16,7.407618517495128e-08,7.407618468852753e-08,-4.864237577351549e-16,4.864237577351549e-16,12.24999870366679,12.2499987036668,8.881784197001252e-15,8.881784197001252e-15,0,0
20.0,0.29500000000000004,2,2,0,0.9273399658726671,0.9273399658726671,0.0,0.0,7.407618517495128e-08,7.407618468852753e-08,-4.864237577351549e-16,4.864237577351549e-16,12.24999870366679,12.2499987036668,8.881784197001252e-15,8.881784197001252e-15,0,0
4.0,0.39,2,2,0,0.9013895519570598,0.9013895519570598,0.0,0.0,1.4121146224319543,1.4121146188213949,-3.6105594070079405e-09,3.6105594070079405e-09,0.0009172754791800766,0.0009172749324231084,-5.467569682594819e-10,5.467569682594819e-10,0,0
