D,level,rho_max,z_max,dr,dz,Nr,Nz,E1,E2,DeltaE,M_LR,chi_LR,omega1,Gamma_ref,M_sym,norm1,norm2,overlap12,build_s,solve_s,grid_index
15.11864406779661,fine,3.0,13.559322033898304,0.06,0.03,50,904,2.2855589621340964,2.5930628129127076,0.3075038507786112,0.1537519253893056,0.00022154890273389926,1.8126110895981236,693.9863998061678,7.737166576367249e-07,0.9999999999999999,1.0000000000000002,-1.813870234568249e-16,0.004705190658569336,0.16851091384887695,41
15.389830508474576,fine,3.0,13.694915254237287,0.06,0.03,50,913,2.2535122815993844,2.5550916347816646,0.30157935318228013,0.15078967659114006,0.00022931535286951714,1.803749506333788,657.5646798360726,-7.514711624840301e-08,0.9999999999999999,0.9999999999999999,3.5735303605122226e-16,0.00475311279296875,0.19374680519104004,42
15.661016949152541,fine,3.0,13.83050847457627,0.06,0.03,50,922,2.2223788753980642,2.518217242836351,0.29583836743828673,0.14791918371914337,0.0002371664164434909,1.79509856982787,623.6936322490993,3.176440028857421e-07,1.0,0.9999999999999997,6.288372600415926e-16,0.004841804504394531,0.2083911895751953,43
15.932203389830509,fine,3.0,13.966101694915254,0.06,0.03,50,931,2.4823953880132734,2.7973373834288466,0.3149419954155732,0.1574709977077866,0.00016476734538185893,1.8661177315521316,955.7172711791735,-2.0131872858587796e-06,1.0,1.0000000000000002,8.158621347953421e-18,0.004959821701049805,0.16136431694030762,44
16.203389830508474,fine,3.0,14.101694915254237,0.06,0.03,50,940,2.447584177387711,2.7565354146656604,0.30895123727794926,0.15447561863897463,0.00017081582758589044,1.856767130629932,904.3401938927495,2.9378380492227382e-06,0.9999999999999998,0.9999999999999998,8.456776945386935e-17,0.010986089706420898,0.17223596572875977,45
16.474576271186443,fine,3.0,14.237288135593221,0.06,0.03,50,949,2.4137439786486934,2.716890331382847,0.3031463527341538,0.1515731763670769,0.00017695064199635914,1.8476319922129227,856.5844952978221,-3.6781756801089666e-06,0.9999999999999999,1.0,3.1008182133085427e-16,0.004752159118652344,0.23545479774475098,46
16.74576271186441,fine,3.0,14.372881355932204,0.06,0.03,50,958,2.3808373181195557,2.678357132650305,0.2975198145307494,0.1487599072653747,0.00018316917718353738,1.8387053374914524,812.1448682182797,4.188000011655818e-06,1.0,0.9999999999999999,-1.6024508109335756e-16,0.00712895393371582,0.15704798698425293,47
17.016949152542374,fine,3.0,14.508474576271187,0.06,0.03,50,967,2.348828773729204,2.6408928026490615,0.2920640289198575,0.14603201445992875,0.00018946844560445685,1.8299805391667978,770.7458304946038,4.431733973289835e-06,1.0000000000000004,1.0,-9.324138683375338e-18,0.004700899124145508,0.30310869216918945,48
17.28813559322034,fine,3.0,14.64406779661017,0.06,0.03,50,976,2.3176848644835504,2.6044562669269733,0.2867714024434229,0.14338570122171146,0.00019584505996956276,1.8214513071953229,732.138463150389,-4.385780943027671e-06,1.0,1.0,8.199278929421627e-17,0.006827592849731445,0.1646721363067627,49
17.559322033898304,fine,3.0,14.779661016949152,0.06,0.03,50,985,2.287373938023066,2.569008345807379,0.2816344077843129,0.14081720389215646,0.0002022952212735166,1.8131116727943335,696.0975301624264,4.03890430464804e-06,0.9999999999999999,1.0,1.7755674046934095e-16,0.005335092544555664,0.15864181518554688,50
17.83050847457627,fine,3.0,14.915254237288135,0.06,0.03,50,994,2.257866057806509,2.534511703921904,0.2766456461153952,0.1383228230576976,0.0002088147182516318,1.8049559711545622,662.4189339518297,3.3920763347814646e-06,1.0,0.9999999999999999,3.5421562601459233e-16,0.004825115203857422,0.16517877578735352,51
