taper_peak,center_D,sigma_D,D,eta,delta_mu,acceptance_mismatch,refamp_beta_new
-1.0,5.7,0.12,6.711864406779661,1.72,-0.2149106550837736,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,1.91,-0.2148911258333115,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,2.1,-0.21487159856048876,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,2.29,-0.2148520730258774,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,2.4800000000000004,-0.21483254719030143,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,2.6700000000000004,-0.2148130211527608,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,2.8600000000000003,-0.21479349485131038,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,3.0500000000000003,-0.2147739683180312,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,3.24,-0.21475444151986167,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,3.43,-0.2147349144493056,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,3.62,-0.21471538712178173,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,3.81,-0.21469585958978854,0.0,1.9446167980160632e-07
-1.0,5.7,0.12,6.711864406779661,4.0,-0.21467633176576584,0.0,1.9446167980160632e-07
-1.0,5.7,0.16,5.627118644067797,0.2,14.016604319117441,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,0.39,14.017467662806446,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,0.5800000000000001,14.018331310875261,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,0.77,14.019194665100152,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,0.96,14.020058253343542,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,1.15,14.020921222163146,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,1.34,14.021784248918266,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,1.53,14.022647580020497,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,1.72,14.023511215560575,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,1.91,14.024375155595315,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,2.1,14.025238080185787,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,2.29,14.026100120980779,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,2.4800000000000004,14.026962465937423,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,2.6700000000000004,14.027825115135037,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,2.8600000000000003,14.028688068644314,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,3.0500000000000003,14.029551326537643,0.0,0.3138499976189648
