taper_peak,center_D,sigma_D,D,eta,delta_mu,acceptance_mismatch,refamp_beta_new
-1.0,5.7,0.12,5.627118644067797,0.5800000000000001,14.01070009119639,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,0.77,14.011563052722863,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,0.96,14.012426248241525,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,1.15,14.013288824421785,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,1.34,14.0141514585343,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,1.53,14.01501439695842,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,1.72,14.015877639784875,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,1.91,14.016741187070508,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,2.1,14.017603719049042,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,2.29,14.018465367352107,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,2.4800000000000004,14.019327319781382,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,2.6700000000000004,14.020189576416122,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,2.8600000000000003,14.021052137327047,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,3.0500000000000003,14.021915002586553,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,3.24,14.02277817226264,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,3.43,14.023641646432509,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,3.62,14.024505425169252,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,3.81,14.025369508543264,0.0,0.15815834894790604
-1.0,5.7,0.12,5.627118644067797,4.0,14.026233896627524,0.0,0.15815834894790604
-1.0,5.7,0.12,5.898305084745763,0.2,-9.206454345434054,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,0.39,-9.204806971672255,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,0.5800000000000001,-9.203159281521366,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,0.77,-9.201511850678628,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,0.96,-9.199864171283053,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,1.15,-9.198217064450034,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,1.34,-9.196569878505997,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,1.53,-9.194922376337445,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,1.72,-9.193274557887449,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,1.91,-9.191626423107309,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,2.1,-9.18997924199084,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,2.29,-9.188332887824956,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,2.4800000000000004,-9.186686217668964,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,2.6700000000000004,-9.185039231464614,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,2.8600000000000003,-9.183391929177304,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,3.0500000000000003,-9.181744310736391,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,3.24,-9.180096376116396,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,3.43,-9.17844812525233,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,3.62,-9.176799558105657,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,3.81,-9.175150674623339,0.0,1.0
-1.0,5.7,0.12,5.898305084745763,4.0,-9.173501474743603,0.0,1.0
-1.0,5.7,0.12,6.169491525423729,0.2,-0.6577505408311168,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,0.39,-0.6557253835674999,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,0.5800000000000001,-0.6537000335060839,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,0.77,-0.651674948650836,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,0.96,-0.6496497249612503,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,1.15,-0.6476250158565904,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,1.34,-0.6456003027021495,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,1.53,-0.6435753967940343,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,1.72,-0.6415502981740389,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,1.91,-0.639525006803126,0.0,0.02041253269413721
-1.0,5.7,0.12,6.169491525423729,2.1,-0.6375005331099572,0.0,0.02041253269413721
