pair,lhs_family,rhs_family,layer,D,eta,amp_eff_lhs,amp_eff_rhs,amp_ref_eff_lhs,amp_ref_eff_rhs,partial_ratio_lhs,partial_ratio_rhs,width_ratio_lhs,width_ratio_rhs,mu_lhs,mu_rhs,mu_identity_residual_lhs,mu_identity_residual_rhs,delta_log_amp_point,delta_log_amp_ref,delta_log_partial,delta_log_width,delta_log_mu,delta_mu,path_closure_residual,acceptance_mismatch
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,2,4.0,4.0,0.0015696959170221102,0.0015489889375644647,4.867803365543615e-05,4.874513847058988e-05,1039.8363710792742,1009.7968589721797,441.36848340504196,447.0916943850872,2.3559370688573176,2.258590064753978,0.0,0.0,0.013279497429230807,-0.0013775947611184805,0.029314184380698938,-0.012883616594323534,0.04219780097502241,0.09734700410333952,-6.245004513516506e-17,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,3,4.0,4.0,0.00030422900545294424,0.00031349941367336674,2.7585842675220124e-06,2.7397481066954424e-06,12162.6644478296,13093.392740531675,441.36848340504196,447.0916943850872,27.55671259986177,29.28569889570377,0.0,0.0,-0.03001676458722531,0.006851617265967379,-0.07373676370638564,-0.012883616594323534,-0.060853147112062106,-1.7289862958420024,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,1,4.271186440677966,0.2,0.0001222442017105142,0.0001222442017105142,1.0744892978027086e-05,1.0744892978027086e-05,129.4351851608469,129.4351851608469,315.38620384930584,315.38620384930584,0.41040217860224515,0.41040217860224515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,2,4.271186440677966,0.2,0.0018461834705556888,0.0018461834705556888,4.87451384692423e-05,4.87451384692423e-05,1434.4555650906857,1434.4555650906857,315.38620384930584,315.38620384930584,4.548250835271414,4.548250835271414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,3,4.271186440677966,0.2,0.00015626243945872592,0.00015626243945872592,2.739748106960667e-06,2.739748106960667e-06,3253.028954034104,3253.028954034104,315.38620384930584,315.38620384930584,10.314430099765646,10.314430099765646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,1,4.271186440677966,0.2,0.00012337330072524587,0.0001222442017105142,1.0730101060728822e-05,1.0744892978027086e-05,132.20100091129999,129.4351851608469,312.49659320257405,315.38620384930584,0.42304781487842164,0.41040217860224515,0.0,0.0,0.009194026949197496,-0.0013775947607594953,0.02114324341991395,-0.009204364448270197,0.030347607868184138,0.012645636276176486,-1.0408340855860843e-17,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,2,4.271186440677966,0.2,0.0018632355998447804,0.0018461834705556888,4.867803365410789e-05,4.87451384692423e-05,1465.1075070773188,1434.4555650906857,312.49659320257405,315.38620384930584,4.688395134367342,4.548250835271414,0.0,0.0,0.009194026926328739,-0.0013775947607594953,0.021143243374176432,-0.009204364448270197,0.030347607822446707,0.14014429909592785,7.632783294297951e-17,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,3,4.271186440677966,0.2,0.00015322493499286328,0.00015626243945872592,2.758584267784155e-06,2.739748106960667e-06,3085.2217285875145,3253.028954034104,312.49659320257405,315.38620384930584,9.872817162481955,10.314430099765646,0.0,0.0,-0.019629892871077362,0.006851617264189258,-0.05296302027053317,-0.009204364448270197,-0.04375865582226287,-0.44161293728369166,1.0408340855860843e-16,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,1,4.271186440677966,0.2,0.00012337330072524587,0.0001222442017105142,1.0730101060728822e-05,1.0744892978027086e-05,132.20100091129999,129.4351851608469,312.49659320257405,315.38620384930584,0.42304781487842164,0.41040217860224515,0.0,0.0,0.009194026949197496,-0.0013775947607594953,0.02114324341991395,-0.009204364448270197,0.030347607868184138,0.012645636276176486,-1.0408340855860843e-17,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,2,4.271186440677966,0.2,0.0018632355998447804,0.0018461834705556888,4.867803365410789e-05,4.87451384692423e-05,1465.1075070773188,1434.4555650906857,312.49659320257405,315.38620384930584,4.688395134367342,4.548250835271414,0.0,0.0,0.009194026926328739,-0.0013775947607594953,0.021143243374176432,-0.009204364448270197,0.030347607822446707,0.14014429909592785,7.632783294297951e-17,0.0
