family,peak2,center2_D,sigma2_D,p95_abs_delta_mu,max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
pointamp2,0.25,6.1,0.08,30.54206241954474,30.547189358448037,30.547189358448037,17.961148633165067,4.945116062856606,2.6032105963583376,30.547189358448037,4.945116062856606,30.547189358448037
pointamp2,0.25,6.17,0.12,30.543607093048813,30.54873373070516,30.54873373070516,19.328594168656736,4.3905795034952675,2.603215296726919,30.54873373070516,4.3905795034952675,30.54873373070516
pointamp2,0.5,6.1,0.08,30.54388017095352,30.549006755353417,30.549006755353417,20.910055464694963,4.9442964638667135,2.6032105963583767,30.549006755353417,4.9442964638667135,30.549006755353417
pointamp2,0.75,6.1,0.08,30.54569786753071,30.550824097438074,30.550824097438074,23.732906754919256,4.943476876434161,2.6032105963583767,30.550824097438074,4.943476876434161,30.550824097438074
pointamp2,0.5,6.17,0.12,30.5469693851801,30.552095367112173,30.552095367112173,23.50209244331365,3.8405295469822747,2.603219997094552,30.552095367112173,3.8405295469822747,30.552095367112173
pointamp2,1.0,6.1,0.08,30.547515509278572,30.55264138470379,30.55264138470379,26.43509094111363,4.942657300558402,2.6032105963584478,30.55264138470379,4.942657300558402,30.55264138470379
pointamp2,0.75,6.17,0.12,30.550331489707784,30.555456815952162,30.555456815952162,27.41799691360054,3.2957351050481734,2.603224697461105,30.555456815952162,3.2957351050481734,30.555456815952162
pointamp2,0.25,6.17,0.16,30.550563646924118,30.555688927892596,30.555688927892596,19.328611088086575,3.272184525429843,2.6036172491699325,30.555688927892596,3.272184525429843,30.555688927892596
pointamp2,0.25,6.1,0.12,30.550869709203354,30.555994930482484,30.555994930482484,18.66033304517437,4.819796547463042,2.603210880989497,30.555994930482484,4.819796547463042,30.555994930482484
pointamp2,0.25,6.03,0.08,30.55149922242544,30.5566243209351,30.5566243209351,15.877613269208268,4.945922211571059,2.6032105963583376,30.5566243209351,4.945922211571059,30.5566243209351
pointamp2,0.25,6.17,0.2,30.557583739250813,30.56270765113989,30.56270765113989,19.32861891938653,2.171515806126166,2.606415345952467,30.56270765113989,2.606415345952467,30.56270765113989
pointamp2,0.25,6.1,0.16,30.55995458807548,30.56507803759453,30.56507803759453,18.93978103315,4.214337397553727,2.603294578459842,30.56507803759453,4.214337397553727,30.56507803759453
pointamp2,0.5,6.17,0.16,30.560880913594666,30.56600418245877,30.56600418245877,23.502124193590376,1.646630741294949,2.604023894261104,30.56600418245877,2.604023894261104,30.56600418245877
pointamp2,0.5,6.1,0.12,30.561492931782986,30.566616081289638,30.566616081289638,22.241865426251934,4.693931163338377,2.6032111656207775,30.566616081289638,4.693931163338377,30.566616081289638
pointamp2,0.5,6.03,0.08,30.562751729671067,30.567874633683054,30.567874633683054,16.86087483860733,4.945908749741676,2.6032105963583376,30.567874633683054,4.945908749741676,30.567874633683054
pointamp2,0.25,6.03,0.12,30.564133925418833,30.5692565598709,30.5692565598709,17.179319425632244,4.925605944527497,2.603210608622895,30.5692565598709,4.925605944527497,30.5692565598709
pointamp2,0.25,6.1,0.2,30.566479965759715,30.57160214268007,30.57160214268007,19.075815396578648,3.30450021189057,2.6043784514342896,30.57160214268007,3.30450021189057,30.57160214268007
pointamp2,0.75,6.17,0.16,30.571196413617148,30.576317670721643,30.576317670721643,27.418041599507006,0.06788642896755448,2.6044305316319445,30.576317670721643,2.6044305316319445,30.576317670721643
pointamp2,0.25,6.03,0.16,30.571333077078176,30.576454307530163,30.576454307530163,17.952824794053868,4.682963732454297,2.603224918911806,30.576454307530163,4.682963732454297,30.576454307530163
pointamp2,0.75,6.1,0.12,30.572114281372777,30.57723535947195,30.57723535947195,25.635551910055185,4.568338926966511,2.6032114502519264,30.57723535947195,4.568338926966511,30.57723535947195
pointamp2,0.75,6.03,0.08,30.574002135433066,30.579122845357297,30.579122845357297,17.830532758520164,4.945895287915185,2.6032105963583376,30.579122845357297,4.945895287915185,30.579122845357297
pointamp2,0.5,6.17,0.2,30.57491787634526,30.580038407678956,30.580038407678956,23.50213888946962,0.4708741524143605,2.609619616052367,30.580038407678956,2.609619616052367,30.580038407678956
pointamp2,0.25,6.03,0.2,30.57536389068731,30.580484335037973,30.580484335037973,18.392117059487987,4.089511130347233,2.603587100797707,30.580484335037973,4.089511130347233,30.580484335037973
pointamp2,0.25,5.95,0.08,30.575646452487145,30.580766841731737,30.580766841731737,14.986975970426883,4.945935625262393,2.6032105963583376,30.580766841731737,4.945935625262393,30.580766841731737
