pair,D,slice_p95_abs_log_gamma_ratio,slice_p95_abs_log_W_ratio,slice_p95_abs_delta_P,slice_p95_abs_delta_generation_ratio,slice_winner_mismatch_fraction
uniform_vs_runtime,4.5423728813559325,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,4.813559322033898,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,5.084745762711864,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,5.3559322033898304,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,5.627118644067797,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,5.898305084745763,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,6.169491525423728,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,6.4406779661016955,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,6.711864406779661,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,6.983050847457627,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,7.254237288135593,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,7.525423728813559,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,7.796610169491526,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,8.067796610169491,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,8.338983050847457,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,8.610169491525424,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,8.881355932203391,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,9.152542372881356,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,9.423728813559322,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,9.694915254237287,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,9.966101694915254,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,10.23728813559322,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,10.508474576271189,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,10.779661016949152,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,11.050847457627118,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,11.322033898305085,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,11.593220338983052,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,11.864406779661016,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,12.135593220338984,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,12.40677966101695,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,12.677966101694915,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,12.94915254237288,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,13.220338983050848,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,13.491525423728811,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,13.76271186440678,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,14.033898305084746,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,14.305084745762713,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,14.576271186440678,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,14.847457627118644,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,15.11864406779661,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,15.389830508474576,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,15.66101694915254,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,15.932203389830509,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,16.203389830508474,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,16.474576271186443,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,16.74576271186441,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,17.016949152542374,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,17.28813559322034,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,17.559322033898304,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,17.83050847457627,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,18.101694915254235,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,18.372881355932204,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,18.64406779661017,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,18.915254237288135,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,19.186440677966104,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,19.45762711864407,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,19.728813559322035,0.0,0.0,0.0,0.0,0.0
