case,case_label,target_D,eval_D,eta,abs_delta_mu_mumu,acceptance_mismatch
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.8600000000000003,0.019115658235763888,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.0500000000000003,0.033508137840930985,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.24,0.04789289724840273,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.43,0.06226994174229539,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.62,0.07663927657579528,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,3.81,0.09100090697092078,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,4.0,0.10535483811837842,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,0.2,0.027479669493075676,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,0.39,0.027642991663697103,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,0.5800000000000001,0.02780631301997971,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,0.77,0.027969633477653133,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,0.96,0.02813295302455998,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,1.15,0.028296271536191853,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,1.34,0.028459588966292415,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,1.53,0.028622905593763903,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,1.72,0.02878622117947316,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,1.91,0.028949535747038624,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,2.1,0.029112849372033622,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,2.29,0.02927616206183359,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,2.4800000000000004,0.029439473764917068,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,2.6700000000000004,0.029602784482051447,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,2.8600000000000003,0.029766094240166296,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,3.0500000000000003,0.029929403031992763,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,3.24,0.030092710862454908,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,3.43,0.03025601767087238,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,3.62,0.030419323528803943,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,3.81,0.030582628440704696,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,4.0,0.030745932380455088,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.2,0.0009473378506408281,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.39,0.0009483003910384369,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.5800000000000001,0.0009492629611531633,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.77,0.0009502254611128969,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.96,0.0009511879953505442,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.15,0.0009521504847209705,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.34,0.0009531130021818157,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.53,0.0009540755377304144,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.72,0.000955038027331323,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.91,0.0009560005461182186,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.1,0.0009569630495431802,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.29,0.0009579255637577333,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.4800000000000004,0.0009588880909636721,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.6700000000000004,0.000959850584468569,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.8600000000000003,0.0009608131034308798,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.0500000000000003,0.0009617755946687012,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.24,0.0009627381084675868,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.43,0.0009637006070510878,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.62,0.0009646631056332566,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.81,0.0009656256040577738,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,4.0,0.0009665881096205808,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.2,0.0026307943121199884,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.39,0.002630766914740512,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.5800000000000001,0.0026307395508502474,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.77,0.002630712300222271,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.96,0.00263068520583154,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.15,0.002630657998453856,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.34,0.0026306307561587694,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.53,0.0026306035411018946,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.72,0.002630576340008961,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.91,0.0026305491150875326,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.1,0.0026305218163740207,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.29,0.0026304946250093053,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.4800000000000004,0.0026304674110781967,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.6700000000000004,0.0026304402341796873,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.8600000000000003,0.0026304129728611514,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.0500000000000003,0.0026303857629019767,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.24,0.002630358560983481,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.43,0.0026303313122357785,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.62,0.002630304106439496,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.81,0.0026302768768613483,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,4.0,0.002630249683432062,0.0
