width_peak,refamp_peak,center_D,sigma_D,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
0.5,0.0,6.03,0.1,30.545371906720547,14.880557200255325,22.807774354894605,2.9398791556735127,30.545371906720547,22.807774354894605,30.545371906720547
1.0,0.0,6.03,0.1,30.545371906720547,14.880557200255339,22.808234423340394,2.9398791556764685,30.545371906720547,22.808234423340394,30.545371906720547
0.5,0.0,5.9,0.15,30.545371906720547,14.880557200255339,22.81050476515675,2.939879171725302,30.545371906720547,22.81050476515675,30.545371906720547
1.0,0.0,5.9,0.15,30.545371906720547,14.880557200255325,22.81369537504017,2.9398791877800434,30.545371906720547,22.81369537504017,30.545371906720547
0.5,0.0,6.03,0.15,30.545371906720547,14.880557200255325,22.857155320176645,2.9398803570443697,30.545371906720547,22.857155320176645,30.545371906720547
0.5,0.0,6.17,0.1,30.545371906720547,14.880557200255325,22.8615564920577,2.939879171193958,30.545371906720547,22.8615564920577,30.545371906720547
0.5,0.0,5.9,0.2,30.545371906720547,14.880557200255325,22.862056348465913,2.9398888971907056,30.545371906720547,22.862056348465913,30.545371906720547
1.0,0.0,6.03,0.15,30.545371906720547,14.880557200255325,22.907029043135424,2.9398815584181257,30.545371906720547,22.907029043135424,30.545371906720547
1.0,0.0,5.9,0.2,30.545371906720547,14.880557200255296,22.91683784524828,2.9398986387063566,30.545371906720547,22.91683784524828,30.545371906720547
0.5,0.0,6.03,0.2,30.545371906720547,14.880557200255325,23.064530173990818,2.939989510855103,30.545371906720547,23.064530173990818,30.545371906720547
1.0,0.0,6.03,0.2,30.545371906720547,14.880557200255325,23.322616748127018,2.9400998654620096,30.545371906720547,23.322616748127018,30.545371906720547
1.0,0.0,6.17,0.15,30.545371906720547,14.880557200255325,23.64186910784487,2.939987332446634,30.545371906720547,23.64186910784487,30.545371906720547
0.5,0.0,6.17,0.2,30.545371906720547,14.880557200255325,23.658109050080697,2.940818526082733,30.545371906720547,23.658109050080697,30.545371906720547
1.0,0.0,6.17,0.2,30.545371906720547,14.880557200255325,24.51842995816486,2.9417578546397287,30.545371906720547,24.51842995816486,30.545371906720547
0.5,0.0,6.17,0.15,30.545371906720575,14.880557200255325,23.223452203986454,2.9399332441279853,30.545371906720575,23.223452203986454,30.545371906720575
