combo_id,placement,peak,center_D,width_D,score,is_safe_no_regression,d60_drift_mean_improvement_vs_candidate,d60_drift_worst_improvement_vs_candidate,d60_reviewer_penalty,d60_complement_penalty,d21_reviewer_penalty,d21_complement_penalty,d21_all_penalty,acceptance_flip_max_vs_candidate,d100_drift_p95_candidate,d100_drift_p95_guard,d80_drift_p95_candidate,d80_drift_p95_guard,d21e41_all_p95_candidate,d21e41_all_p95_guard,d21e21_all_p95_candidate,d21e21_all_p95_guard
111,mu_log_blend,0.3,7.248,0.01,0.004779612865309987,0.0,0.004813074400617575,0.0005710274590313702,3.907985046680551e-14,8.881784197001252e-16,0.0,2.230768954780693e-06,0.0,0.0,1.041924642067773,1.0324242037720968,1.7152504518731853,1.7066406491322246,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
11,mu_linear_blend,0.3,7.248,0.01,0.0047503426623059265,0.0,0.004779668538952984,0.0005709162058806783,0.0,0.0,0.0,1.9550584431371476e-06,0.0,0.0,1.041924642067773,1.0325320863985148,1.7152504518731853,1.7066661673761043,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
136,mu_log_blend,0.5,7.254237,0.01,0.0036530713244770905,0.0,0.0036553714464000174,0.0011559944680996637,3.907985046680551e-14,8.881784197001252e-16,0.0,1.5334139580325257e-07,0.0,0.0,1.041924642067773,1.0370187564252982,1.7152504518731853,1.7078468405592773,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
36,mu_linear_blend,0.5,7.254237,0.01,0.003632996683988795,0.0,0.00363501252214686,0.0011558449210573585,0.0,0.0,0.0,1.343892105376554e-07,0.0,0.0,1.041924642067773,1.0370770494986887,1.7152504518731853,1.7078696840587462,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
97,mu_linear_blend,1.0,7.254237,0.015,0.0023234969145464815,0.0,0.01658669976709449,0.002311689842647624,0.0,0.0,0.0,0.0009508801901698671,0.0,0.0,1.041924642067773,1.0051225394965728,1.7152504518731853,1.6903291490431638,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
116,mu_log_blend,0.3,7.254237,0.01,0.002192360424295613,0.0,0.0021937404978610397,0.0006936325764845819,3.907985046680551e-14,8.881784197001252e-16,0.0,9.200483863658349e-08,0.0,0.0,1.041924642067773,1.0389804412703878,1.7152504518731853,1.710806955767378,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
16,mu_linear_blend,0.3,7.254237,0.01,0.0021797980103936297,0.0,0.0021810075132881355,0.0006935069526345927,0.0,0.0,0.0,8.063352630038878e-08,0.0,0.0,1.041924642067773,1.0390160865263223,1.7152504518731853,1.7108219911845222,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
77,mu_linear_blend,0.85,7.254237,0.015,0.0019749723773646206,0.0,0.01409869480203026,0.0019649363662503916,0.0,0.0,0.0,0.000808248161644376,0.0,0.0,1.041924642067773,1.0106428548822528,1.7152504518731853,1.6940673444676673,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
57,mu_linear_blend,0.7,7.254237,0.015,0.0016264478401828014,0.0,0.011610689836966073,0.0016181828898531592,0.0,0.0,0.0,0.0006656161331188848,0.0,0.0,1.041924642067773,1.0161631702679328,1.7152504518731853,1.6978055398921708,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
37,mu_linear_blend,0.5,7.254237,0.015,0.0011617484572747985,0.0,0.008293349883547137,0.001155844921323812,0.0,0.0,0.0,0.00047544009508482254,0.0,0.0,1.041924642067773,1.0235235907821734,1.7152504518731853,1.7027898004581745,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
