mode,D,eta,B1,B2,B3,W1,W2,W3,log_B_sum_ratio,log_B2_ratio,share_l1,w_share_l1,argmax_B_mismatch,argmax_W_mismatch,delta_mu2,acceptance_mismatch
release_eftsumanchor,4.8,0.6,0.9800384048470887,4.895952795500982,0.6322899432379916,0.05358153543230096,1.1392049855102915,0.05507496107144672,-0.06136118129397395,0.2363216504834203,0.3873611448987869,0.18883900176817384,0.0,0.0,7.238949717835419,0.0
release_fullsumanchor,4.8,0.6,1.0420580602912748,5.205782802107047,0.6723030735668614,0.05697232945552114,1.2112971610130168,0.05856026337425395,2.2204460492503128e-16,0.29768283177739446,0.3873611448987869,0.18883900176817395,0.0,0.0,7.238949717835419,0.0
tailm2_detlin,4.8,0.6,1.5499825915754062,7.743208393333822,1.0,0.08474203331134283,1.8017129604756323,0.08710396497753042,0.39704603779833203,0.6947288695757264,0.38736114489878704,0.1888390017681738,0.0,0.0,66.09371610629779,0.0
cell_direct_runtime,4.8,1.0,2.054658572808072,3.8654853631571107,1.0,0.18714812209756004,1.496453209667763,0.14478380096167184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,4.8,1.0,0.3456659902262572,0.885413638307164,1.0,0.03148491033983602,0.34277198241573426,0.14478380096167184,-1.13195096273757,-1.4737876084865515,0.6074156622508973,0.3995165619244003,1.0,0.0,-0.0762824703004785,0.0
release_sumanchor,4.8,1.0,0.3189388473982419,1.5933146433755518,0.20576930936628887,0.029050474441096763,0.6168231381278889,0.029792062731309445,-1.1839535573482964,-0.8862707255709019,0.38736114489878704,0.1889110444607658,0.0,0.0,7.252244711197465,0.0
release_eftsumanchor,4.8,1.0,0.9800384048470887,4.895952795500982,0.6322899432379916,0.08926658155177283,1.895380162356992,0.09154534129183617,-0.06136118129397395,0.2363216504834203,0.3873611448987869,0.18891104446076568,0.0,0.0,7.252244711197465,0.0
release_fullsumanchor,4.8,1.0,1.0420580602912748,5.205782802107047,0.6723030735668614,0.09491562816376257,2.0153252828989436,0.09733859438922467,2.2204460492503128e-16,0.29768283177739446,0.3873611448987869,0.1889110444607658,0.0,0.0,7.252244711197465,0.0
tailm2_detlin,4.8,1.0,1.5499825915754062,7.743208393333822,1.0,0.14117982186247302,2.997644012255906,0.14478380096167184,0.39704603779833203,0.6947288695757264,0.38736114489878704,0.1889110444607658,0.0,0.0,66.04104778492196,0.0
cell_direct_runtime,4.8,2.0,2.054658572808072,3.8654853631571107,1.0,0.37391946297632145,2.9799523079146217,0.2876324004985074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
