combo_id,peak,center_D,width_D,region,D,eta,gaussian,residual_frac,mu_full,mu_base,mu_runtime,mu_guard,chi2_base,chi2_runtime,chi2_guard,abs_delta_base,abs_delta_runtime,abs_delta_guard,abs_improvement_vs_base,abs_improvement_vs_runtime,guard_shift_vs_runtime,guard_shift_vs_base,improved_vs_base,improved_vs_runtime,acceptance_flip_vs_base
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,0.96,0.0,1.0,48.2331220992686,58.49466804969386,58.51206056165828,58.51206056165828,20373.756998154586,20386.17163499077,20386.17163499077,10.261545950425258,10.278938462389682,10.278938462389682,-0.017392511964423818,0.0,0.0,0.017392511964423818,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,1.15,0.0,1.0,48.23544044586339,58.4976773910256,58.51507079777254,58.51507079777254,20375.90477156022,20388.320701466055,20388.320701466055,10.262236945162208,10.279630351909148,10.279630351909148,-0.017393406746940343,0.0,0.0,0.017393406746940343,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,1.34,0.0,1.0,48.23775875549112,58.50068675731391,58.51808105885077,58.51808105885077,20378.05267598052,20390.469899034044,20390.469899034044,10.262928001822786,10.280322303359647,10.280322303359647,-0.017394301536860723,0.0,0.0,0.017394301536860723,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,1.53,0.0,1.0,48.240077028133015,58.50369639567997,58.52109159208763,58.52109159208763,20380.200887812454,20392.619404197896,20392.619404197896,10.263619367546951,10.281014563954614,10.281014563954614,-0.017395196407662183,0.0,0.0,0.017395196407662183,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,1.72,0.0,1.0,48.24239526376186,58.50670630618943,58.524102397548816,58.524102397548816,20382.349407133595,20394.769217035264,20394.769217035264,10.264311042427572,10.28170713378696,10.28170713378696,-0.017396091359387356,0.0,0.0,0.017396091359387356,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,1.91,0.0,1.0,48.244713462375024,58.50971648889707,58.52711347528914,58.52711347528914,20384.498234013765,20396.91933761601,20396.91933761601,10.265003026522045,10.282400012914117,10.282400012914117,-0.017396986392071767,0.0,0.0,0.017396986392071767,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,2.1,0.0,1.0,48.24703162394638,58.512725619946536,58.53012350105857,58.53012350105857,20386.64642337061,20399.068820288776,20399.068820288776,10.26569399600016,10.283091877112192,10.283091877112192,-0.01739788111203211,0.0,0.0,0.01739788111203211,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,2.29,0.0,1.0,48.249349748467594,58.5157338313672,58.533132606925776,58.533132606925776,20388.794069347397,20401.217759253537,20401.217759253534,10.266384082899606,10.283782858458181,10.283782858458181,-0.017398775558575608,0.0,0.0,0.017398775558575608,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,2.4800000000000004,0.0,1.0,48.25166783592071,58.51874231460356,58.536141984689486,58.536141984689486,20390.94202251302,20403.367005591223,20403.367005591226,10.267074478682844,10.284474148768773,10.284474148768773,-0.01739967008592913,0.0,0.0,0.01739967008592913,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,2.6700000000000004,0.0,1.0,48.25398588629282,58.52175106972318,58.5391516344173,58.5391516344173,20393.09028294638,20405.516559380827,20405.516559380827,10.267765183430363,10.285165748124484,10.285165748124484,-0.0174005646941211,0.0,0.0,0.0174005646941211,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,2.8600000000000003,0.0,1.0,48.25630389956368,58.52476009677827,58.542161556161446,58.542161556161446,20395.23885071544,20407.66642069034,20407.66642069034,10.26845619721459,10.285857656597763,10.285857656597763,-0.017401459383172835,0.0,0.0,0.017401459383172835,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,3.0500000000000003,0.0,1.0,48.25862187572324,58.52776939583219,58.5451717499853,58.5451717499853,20397.38772589613,20409.816589595735,20409.816589595735,10.269147520108945,10.286549874262057,10.286549874262057,-0.017402354153112753,0.0,0.0,0.017402354153112753,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,3.24,0.0,1.0,48.26093981475331,58.53077896693631,58.54818221594024,58.54818221594024,20399.536908555823,20411.96706616443,20411.967066164423,10.269839152183003,10.28724240118693,10.28724240118693,-0.017403249003926646,0.0,0.0,0.017403249003926646,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,3.43,0.0,1.0,48.26325771664072,58.53378881015599,58.55119295409162,58.55119295409162,20401.68639877191,20414.11785047382,20414.11785047382,10.270531093515267,10.287935237450895,10.287935237450895,-0.017404143935628724,0.0,0.0,0.017404143935628724,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,3.62,0.0,1.0,48.26557558136573,58.53679892554618,58.55420396449448,58.55420396449448,20403.836196614346,20416.26894259398,20416.26894259398,10.271223344180449,10.288628383128746,10.288628383128746,-0.017405038948297147,0.0,0.0,0.017405038948297147,0.0,0.0,0.0
