mode,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
pointamp3_mode,5.898305084745763,0.2,76.23681912373954,77.61407091464986,-1.3772517909103215,-0.017904200377406514,0.0
full_direct,5.898305084745763,0.39,77.61550825191728,77.61550825191728,0.0,0.0,0.0
base_mode,5.898305084745763,0.39,76.24551039944117,77.61550825191728,-1.3699978524761036,-0.017808722082585333,0.0
pointamp3_mode,5.898305084745763,0.39,76.24040230796201,77.61550825191728,-1.375105943955262,-0.017875719635216544,0.0
full_direct,5.898305084745763,0.5800000000000001,77.61694556962716,77.61694556962716,0.0,0.0,0.0
base_mode,5.898305084745763,0.5800000000000001,76.24909417853935,77.61694556962716,-1.367851391087811,-0.017780238301126718,0.0
pointamp3_mode,5.898305084745763,0.5800000000000001,76.24398584696381,77.61694556962716,-1.372959722663353,-0.01784723585375795,0.0
full_direct,5.898305084745763,0.77,77.61838286793989,77.61838286793989,0.0,0.0,0.0
base_mode,5.898305084745763,0.77,76.25267762769651,77.61838286793989,-1.365705240243372,-0.01775176046287588,0.0
pointamp3_mode,5.898305084745763,0.77,76.24756905604671,77.61838286793989,-1.3708138118931714,-0.01781875801550683,0.0
full_direct,5.898305084745763,0.96,77.61982014684129,77.61982014684129,0.0,0.0,0.0
base_mode,5.898305084745763,0.96,76.25626135111477,77.61982014684129,-1.3635587957265187,-0.017723280643547848,0.0
pointamp3_mode,5.898305084745763,0.96,76.25115253937231,77.61982014684129,-1.3686676074689785,-0.017790278196178826,0.0
full_direct,5.898305084745763,1.15,77.62125740623104,77.62125740623104,0.0,0.0,0.0
base_mode,5.898305084745763,1.15,76.25984437177493,77.62125740623104,-1.3614130344561062,-0.017694811653888257,0.0
pointamp3_mode,5.898305084745763,1.15,76.25473531998689,77.62125740623104,-1.3665220862441458,-0.017761809206519333,0.0
full_direct,5.898305084745763,1.34,77.62269464620833,77.62269464620833,0.0,0.0,0.0
base_mode,5.898305084745763,1.34,76.26342746510474,77.62269464620833,-1.35926718110359,-0.017666343325941795,0.0
pointamp3_mode,5.898305084745763,1.34,76.25831817326625,77.62269464620833,-1.3643764729420838,-0.017733340878572944,0.0
full_direct,5.898305084745763,1.53,77.62413186672336,77.62413186672336,0.0,0.0,0.0
base_mode,5.898305084745763,1.53,76.26701091314902,77.62413186672336,-1.3571209535743378,-0.017637871960896497,0.0
pointamp3_mode,5.898305084745763,1.53,76.26190138123633,77.62413186672336,-1.3622304854870322,-0.017704869513527587,0.0
full_direct,5.898305084745763,1.72,77.62556906777397,77.62556906777397,0.0,0.0,0.0
base_mode,5.898305084745763,1.72,76.27059471597293,77.62556906777397,-1.354974351801033,-0.01760939755834523,0.0
pointamp3_mode,5.898305084745763,1.72,76.26548494396226,77.62556906777397,-1.3600841238117027,-0.017676395110976316,0.0
full_direct,5.898305084745763,1.91,77.62700624935587,77.62700624935587,0.0,0.0,0.0
base_mode,5.898305084745763,1.91,76.27417887362975,77.62700624935587,-1.3528273757261218,-0.017580920118009206,0.0
pointamp3_mode,5.898305084745763,1.91,76.26906886149733,77.62700624935587,-1.3579373878585415,-0.017647917670640296,0.0
full_direct,5.898305084745763,2.1,77.62844341150674,77.62844341150674,0.0,0.0,0.0
base_mode,5.898305084745763,2.1,76.2777618752119,77.62844341150674,-1.350681536294843,-0.01755245944881776,0.0
pointamp3_mode,5.898305084745763,2.1,76.27265162303519,77.62844341150674,-1.3557917884715494,-0.01761945700144879,0.0
full_direct,5.898305084745763,2.29,77.62988055418047,77.62988055418047,0.0,0.0,0.0
base_mode,5.898305084745763,2.29,76.28134387142222,77.62988055418047,-1.348536682758251,-0.01752401357224172,0.0
pointamp3_mode,5.898305084745763,2.29,76.27623337926858,77.62988055418047,-1.3536471749118988,-0.017591011124872706,0.0
full_direct,5.898305084745763,2.4800000000000004,77.63131767739702,77.63131767739702,0.0,0.0,0.0
base_mode,5.898305084745763,2.4800000000000004,76.28492622207371,77.63131767739702,-1.3463914553233138,-0.017495564661052843,0.0
pointamp3_mode,5.898305084745763,2.4800000000000004,76.27981548991934,77.63131767739702,-1.3515021874776778,-0.017562562213684203,0.0
full_direct,5.898305084745763,2.6700000000000004,77.63275478113702,77.63275478113702,0.0,0.0,0.0
base_mode,5.898305084745763,2.6700000000000004,76.28850892721387,77.63275478113702,-1.3442458539231552,-0.017467112714852885,0.0
pointamp3_mode,5.898305084745763,2.6700000000000004,76.28339795503508,77.63275478113702,-1.349356826101939,-0.0175341102674841,0.0
full_direct,5.898305084745763,2.8600000000000003,77.6341918654228,77.6341918654228,0.0,0.0,0.0
base_mode,5.898305084745763,2.8600000000000003,76.29209198690909,77.6341918654228,-1.3420998785137215,-0.017438657733533598,0.0
pointamp3_mode,5.898305084745763,2.8600000000000003,76.28698077468215,77.6341918654228,-1.3472110907406574,-0.017505655286164337,0.0
full_direct,5.898305084745763,3.0500000000000003,77.63562893022234,77.63562893022234,0.0,0.0,0.0
base_mode,5.898305084745763,3.0500000000000003,76.2956754012072,77.63562893022234,-1.3399535290151334,-0.017410199716529358,0.0
pointamp3_mode,5.898305084745763,3.0500000000000003,76.29056394890833,77.63562893022234,-1.3450649813140103,-0.01747719726916003,0.0
full_direct,5.898305084745763,3.24,77.63706597556575,77.63706597556575,0.0,0.0,0.0
base_mode,5.898305084745763,3.24,76.29925917017263,77.63706597556575,-1.3378068053931145,-0.017381738663858472,0.0
pointamp3_mode,5.898305084745763,3.24,76.29414747777803,77.63706597556575,-1.3429184977877213,-0.01744873621648947,0.0
full_direct,5.898305084745763,3.43,77.6385030014192,77.6385030014192,0.0,0.0,0.0
base_mode,5.898305084745763,3.43,76.30284329384436,77.6385030014192,-1.335659707574834,-0.017353274575048455,0.0
pointamp3_mode,5.898305084745763,3.43,76.29773136133028,77.6385030014192,-1.3407716400889171,-0.01742027212767955,0.0
full_direct,5.898305084745763,3.62,77.6399400078103,77.6399400078103,0.0,0.0,0.0
base_mode,5.898305084745763,3.62,76.30642777229964,77.6399400078103,-1.3335122355106535,-0.017324807449917115,0.0
pointamp3_mode,5.898305084745763,3.62,76.30131559964234,77.6399400078103,-1.3386244081679592,-0.017391805002547944,0.0
full_direct,5.898305084745763,3.81,77.64137699472595,77.64137699472595,0.0,0.0,0.0
base_mode,5.898305084745763,3.81,76.31001260558652,77.64137699472595,-1.3313643891394236,-0.01729633728814034,0.0
pointamp3_mode,5.898305084745763,3.81,76.30490019276216,77.64137699472595,-1.3364768019637836,-0.017363334840771846,0.0
full_direct,5.898305084745763,4.0,77.6428139621469,77.6428139621469,0.0,0.0,0.0
base_mode,5.898305084745763,4.0,76.31359779375681,77.6428139621469,-1.32921616839009,-0.017267864089266227,0.0
