alpha_center,taper,taper_center_D,taper_sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.8,0.02,6.0,0.4,5.627118644067797,4.0,47.91920181459243,57.608745927483945,-9.689544112891518,-0.18415809814951345,0.0
0.825,0.0,5.9,0.4,5.627118644067797,4.0,48.18700189229307,57.608745927483945,-9.421744035190876,-0.17858508078967802,0.0
0.825,0.0,6.0,0.4,5.627118644067797,4.0,48.18700189229307,57.608745927483945,-9.421744035190876,-0.17858508078967802,0.0
0.825,0.01,5.9,0.4,5.627118644067797,4.0,48.65916256254232,57.608745927483945,-8.949583364941624,-0.16883426796352827,0.0
0.825,0.01,6.0,0.4,5.627118644067797,4.0,48.714587871316,57.608745927483945,-8.894158056167946,-0.16769586434833442,0.0
0.825,0.02,5.9,0.4,5.627118644067797,4.0,49.135949702374134,57.608745927483945,-8.47279622510981,-0.15908345513737868,0.0
0.825,0.02,6.0,0.4,5.627118644067797,4.0,49.24795024136411,57.608745927483945,-8.360795686119836,-0.15680664790699123,0.0
0.85,0.0,5.9,0.4,5.627118644067797,4.0,49.52317612998104,57.608745927483945,-8.085569797502906,-0.15123363054715547,0.0
0.85,0.0,6.0,0.4,5.627118644067797,4.0,49.52317612998104,57.608745927483945,-8.085569797502906,-0.15123363054715547,0.0
0.85,0.01,5.9,0.4,5.627118644067797,4.0,50.00842931271003,57.608745927483945,-7.6003166147739165,-0.1414828177210059,0.0
0.85,0.01,6.0,0.4,5.627118644067797,4.0,50.06539150626157,57.608745927483945,-7.543354421222375,-0.14034441410581222,0.0
0.85,0.02,5.9,0.4,5.627118644067797,4.0,50.49843725209541,57.608745927483945,-7.110308675388538,-0.13173200489485606,0.0
0.85,0.02,6.0,0.4,5.627118644067797,4.0,50.61354344673789,57.608745927483945,-6.995202480746052,-0.12945519766446895,0.0
0.8,0.0,5.9,0.4,5.898305084745763,0.2,47.285572475728515,90.79702562735869,-43.51145315163018,-0.6524213003482358,0.0
0.8,0.0,6.0,0.4,5.898305084745763,0.2,47.285572475728515,90.79702562735869,-43.51145315163018,-0.6524213003482358,0.0
0.8,0.01,5.9,0.4,5.898305084745763,0.2,47.289575112892756,90.79702562735869,-43.50745051446594,-0.6523366557609698,0.0
0.8,0.01,6.0,0.4,5.898305084745763,0.2,47.5186581215303,90.79702562735869,-43.27836750582839,-0.6475040911903684,0.0
0.8,0.02,5.9,0.4,5.898305084745763,0.2,47.29357808887293,90.79702562735869,-43.503447538485766,-0.6522520111737032,0.0
0.8,0.02,6.0,0.4,5.898305084745763,0.2,47.752892720711216,90.79702562735869,-43.04413290664748,-0.6425868820325007,0.0
0.825,0.0,5.9,0.4,5.898305084745763,0.2,48.73979422424748,90.79702562735869,-42.05723140311121,-0.6221307013817298,0.0
0.825,0.0,6.0,0.4,5.898305084745763,0.2,48.73979422424748,90.79702562735869,-42.05723140311121,-0.6221307013817298,0.0
0.825,0.01,5.9,0.4,5.898305084745763,0.2,48.743919958621106,90.79702562735869,-42.05310566873759,-0.6220460567944637,0.0
0.825,0.01,6.0,0.4,5.898305084745763,0.2,48.98004819217473,90.79702562735869,-41.816977435183965,-0.6172134922238625,0.0
0.825,0.02,5.9,0.4,5.898305084745763,0.2,48.748046042230584,90.79702562735869,-42.04897958512811,-0.6219614122071978,0.0
0.825,0.02,6.0,0.4,5.898305084745763,0.2,49.22148644842373,90.79702562735869,-41.57553917893496,-0.6122962830659952,0.0
0.85,0.0,5.9,0.4,5.898305084745763,0.2,50.23873914694294,90.79702562735869,-40.55828648041575,-0.5918401024152231,0.0
