D,eta,mu_full,chi2_full,mu_base,chi2_base,mu_runtime,chi2_runtime,mu_cf,chi2_cf,abs_delta_base,abs_delta_runtime,abs_delta_cf,abs_improvement_vs_base,abs_improvement_vs_runtime,improved_vs_base,improved_vs_runtime,worsened_vs_runtime,acceptance_flip_vs_base,case,is_reviewer_target
4.0,3.0500000000000003,2.981980195298183,15.641633364472984,2.1132101604027227,3.179179580635485,2.113210160402613,3.1791795806345027,2.113210160402613,3.1791795806345027,0.8687700348954603,0.86877003489557,0.86877003489557,-1.0969003483296547e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,3.145,3.0019255768267654,16.038534710573533,2.1273896297011547,3.306847958729895,2.1273896297010437,3.3068479587288855,2.1273896297010437,3.3068479587288855,0.8745359471256107,0.8745359471257217,0.8745359471257217,-1.1102230246251565e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,3.24,3.021916174961064,16.44132549125205,2.1416540681628957,3.437817230141083,2.141654068162784,3.4378172301400456,2.141654068162784,3.4378172301400456,0.8802621067981682,0.8802621067982801,0.8802621067982801,-1.1191048088221578e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,3.3350000000000004,3.0419512103566912,16.850023607448772,2.156004572734751,3.5721432124740886,2.156004572734639,3.5721432124730272,2.156004572734639,3.5721432124730272,0.8859466376219403,0.8859466376220522,0.8859466376220522,-1.1191048088221578e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,3.43,3.062029898920802,17.26464615566682,2.1704422636282006,3.709883009903411,2.1704422636280873,3.7098830099023217,2.1704422636280873,3.7098830099023217,0.8915876352926015,0.8915876352927148,0.8915876352927148,-1.1324274851176597e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,3.5250000000000004,3.0821514519362334,17.685209420319865,2.184968284824012,3.851095051122196,2.1849682848238983,3.85109505112108,2.1849682848238983,3.85109505112108,0.8971831671122215,0.8971831671123351,0.8971831671123351,-1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,3.62,3.102315076186561,18.11172886632535,2.1995838045907607,3.995839128523975,2.199583804590646,3.99583912852283,2.199583804590646,3.99583912852283,0.9027312715958002,0.9027312715959148,0.9027312715959148,-1.1457501614131615e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,3.715,3.1225199740821146,18.544219131949056,2.2142900160178627,4.144176438664819,2.214290016017747,4.144176438663644,2.214290016017747,4.144176438663644,0.9082299580642519,0.9082299580643673,0.9082299580643673,-1.1546319456101628e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,3.81,3.1427653437868956,18.9826940219041,2.2290881375635294,4.296169624053512,2.229088137563413,4.296169624052306,2.229088137563413,4.296169624052306,0.9136772062233662,0.9136772062234826,0.9136772062234826,-1.163513729807164e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,3.905,3.1630503793463283,19.427166500707703,2.243979413618225,4.451882816321018,2.243979413618108,4.451882816319785,2.243979413618108,4.451882816319785,0.9190709657281033,0.9190709657282201,0.9190709657282201,-1.1679546219056647e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
