beta_peak,center_D,sigma_D,D,eta,beta_eff,base_mu,cur_mu,delta_mu_current,base_width_ratio,cur_width_ratio,width_ratio_boost,mu_boost,delta_mu_boost,delta_log_width_current,delta_log_width_boost,acceptance_mismatch_boost
0.2,6.1,0.2,4.813559322033898,0.6,2.0746506818880323e-10,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.5998292087564,14.752073554974421,1.3068137304242686,-0.14911229499182835,-0.14911229496089304,0.0
0.3,5.9,0.1,4.813559322033898,0.6,7.015748231647378e-27,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.3,5.9,0.15,4.813559322033898,0.6,1.2177123062408362e-12,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.5998292060316,14.752073555428106,1.3068137308779537,-0.14911229499182835,-0.14911229499164713,0.0
0.3,5.9,0.2,4.813559322033898,0.6,1.1731659240423008e-07,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59983075592305,14.752073297367652,1.306813472817499,-0.14911229499182835,-0.149112277498482,0.0
0.3,6.0,0.1,4.813559322033898,0.6,8.139071074172024e-32,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.3,6.0,0.15,4.813559322033898,0.6,7.798112841070399e-15,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.5998292060157,14.752073555430755,1.3068137308806023,-0.14911229499182835,-0.14911229499182665,0.0
0.3,6.0,0.2,4.813559322033898,0.6,6.846752850514967e-09,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982929647025,14.752073540369866,1.3068137158197128,-0.14911229499182835,-0.14911229397089287,0.0
0.3,6.1,0.1,4.813559322033898,0.6,3.4736111850714586e-37,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.3,6.1,0.15,4.813559322033898,0.6,3.201950146247193e-17,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.3,6.1,0.2,4.813559322033898,0.6,3.111976022832048e-10,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982921012683,14.752073554746243,1.3068137301960903,-0.14911229499182835,-0.14911229494542547,0.0
0.4,5.9,0.1,4.813559322033898,0.6,9.354330975529838e-27,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.4,5.9,0.15,4.813559322033898,0.6,1.6236164083211151e-12,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920603703,14.752073555427204,1.3068137308770513,-0.14911229499182835,-0.1491122949915858,0.0
0.4,5.9,0.2,4.813559322033898,0.6,1.564221232056401e-07,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59983127255887,14.752073211346612,1.3068133867964598,-0.14911229499182835,-0.1491122716673668,0.0
0.4,6.0,0.1,4.813559322033898,0.6,1.0852094765562697e-31,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.4,6.0,0.15,4.813559322033898,0.6,1.0397483788093866e-14,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601563,14.752073555430767,1.3068137308806147,-0.14911229499182835,-0.14911229499182743,0.0
0.4,6.0,0.2,4.813559322033898,0.6,9.129003800686624e-09,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.5998293266218,14.752073535349563,1.3068137107994104,-0.14911229499182835,-0.1491122936305813,0.0
0.4,6.1,0.1,4.813559322033898,0.6,4.631481580095279e-37,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.4,6.1,0.15,4.813559322033898,0.6,4.2692668616629244e-17,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.4,6.1,0.2,4.813559322033898,0.6,4.1493013637760646e-10,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982921149734,14.75207355451805,1.3068137299678977,-0.14911229499182835,-0.14911229492995698,0.0
0.5,5.9,0.1,4.813559322033898,0.6,1.1692913719412297e-26,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.5,5.9,0.15,4.813559322033898,0.6,2.029520510401394e-12,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920604239,14.75207355542631,1.3068137308761578,-0.14911229499182835,-0.14911229499152534,0.0
0.5,5.9,0.2,4.813559322033898,0.6,1.9552765400705014e-07,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59983178919477,14.752073125325563,1.30681330077541,-0.14911229499182835,-0.14911226583625087,0.0
0.5,6.0,0.1,4.813559322033898,0.6,1.3565118456953372e-31,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.5,6.0,0.15,4.813559322033898,0.6,1.2996854735117333e-14,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.5998292060157,14.752073555430755,1.3068137308806023,-0.14911229499182835,-0.14911229499182665,0.0
0.5,6.0,0.2,4.813559322033898,0.6,1.1411254750858279e-08,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982935677337,14.752073530329259,1.3068137057791063,-0.14911229499182835,-0.14911229329026943,0.0
0.5,6.1,0.1,4.813559322033898,0.6,5.789351975119098e-37,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.5,6.1,0.15,4.813559322033898,0.6,5.336583577078655e-17,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.5,6.1,0.2,4.813559322033898,0.6,5.18662670472008e-10,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982921286777,14.752073554289868,1.3068137297397158,-0.14911229499182835,-0.14911229491448927,0.0
0.1,5.9,0.1,4.813559322033898,1.0,2.3385827438824595e-27,13.46975934358133,14.779382683845375,1.3096233402640447,102.68237204794055,88.45546252325356,88.45546252325356,14.779382683845375,1.3096233402640447,-0.1491412800818606,-0.1491412800818606,0.0
0.1,5.9,0.15,4.813559322033898,1.0,4.059041020802788e-13,13.46975934358133,14.779382683845375,1.3096233402640447,102.68237204794055,88.45546252325356,88.4554625232589,14.779382683844482,1.3096233402631512,-0.1491412800818606,-0.14914128008180014,0.0
0.1,5.9,0.2,4.813559322033898,1.0,3.910553080141003e-08,13.46975934358133,14.779382683845375,1.3096233402640447,102.68237204794055,88.45546252325356,88.45546303914779,14.779382597648345,1.3096232540670147,-0.1491412800818606,-0.14914127424961224,0.0
0.1,6.0,0.1,4.813559322033898,1.0,2.7130236913906743e-32,13.46975934358133,14.779382683845375,1.3096233402640447,102.68237204794055,88.45546252325356,88.45546252325356,14.779382683845375,1.3096233402640447,-0.1491412800818606,-0.1491412800818606,0.0
0.1,6.0,0.15,4.813559322033898,1.0,2.5993709470234666e-15,13.46975934358133,14.779382683845375,1.3096233402640447,102.68237204794055,88.45546252325356,88.45546252325363,14.779382683845363,1.3096233402640323,-0.1491412800818606,-0.1491412800818598,0.0
0.1,6.0,0.2,4.813559322033898,1.0,2.282250950171656e-09,13.46975934358133,14.779382683845375,1.3096233402640447,102.68237204794055,88.45546252325356,88.45546255336181,14.779382678814805,1.309623335233475,-0.1491412800818606,-0.14914127974148306,0.0
