D,eta,mu_full,chi2_full,mu_base,chi2_base,mu_parent,chi2_parent,mu_cf,chi2_cf,case,abs_delta_base,abs_delta_parent,abs_delta_cf,abs_improvement_vs_parent,acceptance_flip_vs_base,drift_grid_D
4.161616161616162,1.15,2.686740609834163,10.34813373122746,3.550455108886185,28.90285734584183,3.5504551088844023,28.90285734579391,3.5504551088844023,28.90285734579391,D100E41_monitor,0.8637144990520218,0.8637144990502392,0.8637144990502392,0.0,0.0,7.232323232323233
4.161616161616162,1.245,2.698029087704042,10.530496953286162,3.5699426230866,29.429068671799712,3.5699426230848075,29.429068671751097,3.5699426230848075,29.429068671751097,D100E41_monitor,0.871913535382558,0.8719135353807657,0.8719135353807657,0.0,0.0,7.232323232323233
4.161616161616162,1.34,2.7093368323242504,10.71476837800564,3.5895654266245236,29.963729734183943,3.5895654266227215,29.963729734134628,3.5895654266227215,29.963729734134628,D100E41_monitor,0.8802285943002732,0.8802285942984711,0.8802285942984711,0.0,0.0,7.232323232323233
4.161616161616162,1.435,2.720663693416409,10.900953694426688,3.6093252163756695,30.50698694820874,3.6093252163738576,30.506986948158705,3.6093252163738576,30.506986948158705,D100E41_monitor,0.8886615229592607,0.8886615229574488,0.8886615229574488,0.0,0.0,7.232323232323233
4.161616161616162,1.53,2.732009519853192,11.089058506122072,3.629223719578283,31.058989949565216,3.6292237195764607,31.05898994951444,3.6292237195764607,31.05898994951444,D100E41_monitor,0.8972141997250906,0.8972141997232685,0.8972141997232685,0.0,0.0,7.232323232323233
4.161616161616162,1.625,2.7433741596663936,11.279088330371184,3.6492626944974167,31.61989168036112,3.649262694495585,31.619891680309617,3.649262694495585,31.619891680309617,D100E41_monitor,0.905888534831023,0.9058885348291912,0.9058885348291912,0.0,0.0,7.232323232323233
4.161616161616162,1.72,2.754757460055095,11.471048597343328,3.669443931106868,32.18984847773622,3.669443931105026,32.18984847768397,3.669443931105026,32.18984847768397,D100E41_monitor,0.9146864710517728,0.9146864710499312,0.9146864710499312,0.0,0.0,7.232323232323233
4.161616161616162,1.815,2.766159267393837,11.664944649287907,3.689769251789315,32.76902016524874,3.6897692517874625,32.76902016519572,3.6897692517874625,32.76902016519572,D100E41_monitor,0.9236099843954779,0.9236099843936256,0.9236099843936256,0.0,0.0,7.232323232323233
4.161616161616162,1.91,2.777579427240935,11.86078173973414,3.710240512055385,33.35757014713705,3.7102405120535225,33.35757014708326,3.7102405120535225,33.35757014708326,D100E41_monitor,0.9326610848144501,0.9326610848125876,0.9326610848125876,0.0,0.0,7.232323232323233
4.161616161616162,2.005,2.7890177843468575,12.058565032699084,3.730791409397429,33.953678713255314,3.730791409395555,33.953678713200745,3.730791409395555,33.953678713200745,D100E41_monitor,0.9417736250505713,0.9417736250486977,0.9417736250486977,0.0,0.0,7.232323232323233
4.161616161616162,2.1,2.800474182662649,12.25829960190384,3.750251140064364,34.52300263358651,3.7502511400624807,34.52300263353119,3.7502511400624807,34.52300263353119,D100E41_monitor,0.9497769574017152,0.9497769573998318,0.9497769573998318,0.0,0.0,7.232323232323233
4.161616161616162,2.1950000000000003,2.811948465348441,12.459990429998856,3.769836663258084,35.10078631576382,3.769836663256191,35.100786315707744,3.769836663256191,35.100786315707744,D100E41_monitor,0.9578881979096434,0.9578881979077503,0.9578881979077503,0.0,0.0,7.232323232323233
4.161616161616162,2.29,2.8234404747820703,12.663642407798786,3.789549476393903,35.68716687583985,3.789549476392001,35.68716687578303,3.789549476392001,35.68716687578303,D100E41_monitor,0.9661090016118328,0.9661090016099307,0.9661090016099307,0.0,0.0,7.232323232323233
4.161616161616162,2.385,2.8349500525677014,12.869260333525306,3.8093911023929583,36.282284276814714,3.8093911023910456,36.28228427675711,3.8093911023910456,36.28228427675711,D100E41_monitor,0.9744410498252569,0.9744410498233442,0.9744410498233442,0.0,0.0,7.232323232323233
4.161616161616162,2.4800000000000004,2.8464770395445775,13.076848912060283,3.829363090209369,36.8862814004476,3.8293630902074463,36.886281400389215,3.8293630902074463,36.886281400389215,D100E41_monitor,0.9828860506647916,0.9828860506628687,0.9828860506628687,0.0,0.0,7.232323232323233
4.161616161616162,2.575,2.85802127579582,13.28641275420794,3.8494670153703794,37.49930412117172,3.8494670153684463,37.49930412111254,3.8494670153684463,37.49930412111254,D100E41_monitor,0.9914457395745595,0.9914457395726264,0.9914457395726264,0.0,0.0,7.232323232323233
4.161616161616162,2.6700000000000004,2.869582600657286,13.497956375966451,3.869704480530417,38.121501382200094,3.869704480528474,38.12150138214013,3.869704480528474,38.12150138214013,D100E41_monitor,1.0001218798731308,1.000121879871188,1.000121879871188,0.0,0.0,7.232323232323233
4.161616161616162,2.765,2.8811608527264982,13.711484197809298,3.8900771160391794,38.75302527388748,3.8900771160372263,38.75302527382669,3.8900771160372263,38.75302527382669,D100E41_monitor,1.0089162633126811,1.008916263310728,1.008916263310728,0.0,0.0,7.232323232323233
4.161616161616162,2.8600000000000003,2.892755869871668,13.927000543976998,3.910586580524153,39.39403111442475,3.9105865805221898,39.39403111436313,3.9105865805221898,39.39403111436313,D100E41_monitor,1.0178307106524849,1.0178307106505216,1.0178307106505216,0.0,0.0,7.232323232323233
4.161616161616162,2.955,2.9043674892407356,14.144509641777969,3.9312345614881656,40.04467753295117,3.931234561486192,40.04467753288872,3.931234561486192,40.04467753288872,D100E41_monitor,1.02686707224743,1.0268670722454565,1.0268670722454565,0.0,0.0,7.232323232323233
