combo_id,peak,center_D,width_D,region,D,slice_p95_abs_delta_base,slice_p95_abs_delta_runtime,slice_p95_abs_delta_guard,slice_mean_abs_improvement_vs_base,slice_mean_abs_improvement_vs_runtime,slice_improved_fraction_vs_base,slice_improved_fraction_vs_runtime
180,0.99,6.39,0.015,D60_hotspot,6.711864406779661,7.462467784829663,1.7268649543238617,1.7268649543238617,5.735517205664442,0.0,1.0,0.0
180,0.99,6.39,0.015,D21_guard,4.0,0.9136772062233662,0.7688606834098684,0.7688606834098684,0.12898721105220606,0.0,1.0,0.0
180,0.99,6.39,0.015,D21_guard,6.4,2.1022273869561374,44.13924402166741,7.482312973946549,-5.37985183222366,36.65603707024562,0.0,1.0
180,0.99,6.39,0.015,D21_guard,8.0,0.3226590996076344,1.3897781615027076,1.3897781615027076,-1.0671190542193356,0.0,0.0,0.0
181,0.99,6.39,0.02,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
181,0.99,6.39,0.02,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
181,0.99,6.39,0.02,D60_hotspot,6.169491525423728,25.887561191706766,22.8165345114201,22.8165345114201,3.0700596061515544,0.0,1.0,0.0
181,0.99,6.39,0.02,D60_hotspot,6.4406779661016955,31.28630580743782,6.846329347405117,7.822468161642561,23.463268904417255,-0.9761151535497629,1.0,0.0
181,0.99,6.39,0.02,D60_hotspot,6.711864406779661,7.462467784829663,1.7268649543238617,1.7268649543238617,5.735517205664442,0.0,1.0,0.0
181,0.99,6.39,0.02,D21_guard,4.0,0.9136772062233662,0.7688606834098684,0.7688606834098684,0.12898721105220606,0.0,1.0,0.0
181,0.99,6.39,0.02,D21_guard,6.4,2.1022273869561374,44.13924402166741,3.7394475465274652,-1.6370776846059552,40.39881121786332,0.0,1.0
181,0.99,6.39,0.02,D21_guard,8.0,0.3226590996076344,1.3897781615027076,1.3897781615027076,-1.0671190542193356,0.0,0.0,0.0
182,0.99,6.39,0.03,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
182,0.99,6.39,0.03,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
182,0.99,6.39,0.03,D60_hotspot,6.169491525423728,25.887561191706766,22.8165345114201,22.816534511425743,3.0700596061459127,-5.6417093219351955e-12,1.0,0.0
182,0.99,6.39,0.03,D60_hotspot,6.4406779661016955,31.28630580743782,6.846329347405117,12.655052668332125,18.630801535035456,-5.808582522931561,1.0,0.0
182,0.99,6.39,0.03,D60_hotspot,6.711864406779661,7.462467784829663,1.7268649543238617,1.7268649543238617,5.735517205664442,0.0,1.0,0.0
182,0.99,6.39,0.03,D21_guard,4.0,0.9136772062233662,0.7688606834098684,0.7688606834098684,0.12898721105220606,0.0,1.0,0.0
182,0.99,6.39,0.03,D21_guard,6.4,2.1022273869561374,44.13924402166741,0.834196824743394,1.268102184855489,43.30399108732476,1.0,1.0
182,0.99,6.39,0.03,D21_guard,8.0,0.3226590996076344,1.3897781615027076,1.3897781615027076,-1.0671190542193356,0.0,0.0,0.0
183,0.99,6.395,0.003,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
183,0.99,6.395,0.003,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
183,0.99,6.395,0.003,D60_hotspot,6.169491525423728,25.887561191706766,22.8165345114201,22.8165345114201,3.0700596061515544,0.0,1.0,0.0
183,0.99,6.395,0.003,D60_hotspot,6.4406779661016955,31.28630580743782,6.846329347405117,6.846329347405117,24.439384057967015,0.0,1.0,0.0
183,0.99,6.395,0.003,D60_hotspot,6.711864406779661,7.462467784829663,1.7268649543238617,1.7268649543238617,5.735517205664442,0.0,1.0,0.0
183,0.99,6.395,0.003,D21_guard,4.0,0.9136772062233662,0.7688606834098684,0.7688606834098684,0.12898721105220606,0.0,1.0,0.0
183,0.99,6.395,0.003,D21_guard,6.4,2.1022273869561374,44.13924402166741,32.72415751459664,-30.621080782866397,11.414808119602872,0.0,1.0
183,0.99,6.395,0.003,D21_guard,8.0,0.3226590996076344,1.3897781615027076,1.3897781615027076,-1.0671190542193356,0.0,0.0,0.0
184,0.99,6.395,0.005,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
184,0.99,6.395,0.005,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
184,0.99,6.395,0.005,D60_hotspot,6.169491525423728,25.887561191706766,22.8165345114201,22.8165345114201,3.0700596061515544,0.0,1.0,0.0
184,0.99,6.395,0.005,D60_hotspot,6.4406779661016955,31.28630580743782,6.846329347405117,6.846329347405117,24.439384057967015,0.0,1.0,0.0
184,0.99,6.395,0.005,D60_hotspot,6.711864406779661,7.462467784829663,1.7268649543238617,1.7268649543238617,5.735517205664442,0.0,1.0,0.0
184,0.99,6.395,0.005,D21_guard,4.0,0.9136772062233662,0.7688606834098684,0.7688606834098684,0.12898721105220606,0.0,1.0,0.0
184,0.99,6.395,0.005,D21_guard,6.4,2.1022273869561374,44.13924402166741,16.37289703897028,-14.270219076535223,27.765669825934054,0.0,1.0
184,0.99,6.395,0.005,D21_guard,8.0,0.3226590996076344,1.3897781615027076,1.3897781615027076,-1.0671190542193356,0.0,0.0,0.0
185,0.99,6.395,0.0075,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
185,0.99,6.395,0.0075,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
185,0.99,6.395,0.0075,D60_hotspot,6.169491525423728,25.887561191706766,22.8165345114201,22.8165345114201,3.0700596061515544,0.0,1.0,0.0
185,0.99,6.395,0.0075,D60_hotspot,6.4406779661016955,31.28630580743782,6.846329347405117,6.84632956076431,24.439383844612994,-2.1335402540974732e-07,1.0,0.0
185,0.99,6.395,0.0075,D60_hotspot,6.711864406779661,7.462467784829663,1.7268649543238617,1.7268649543238617,5.735517205664442,0.0,1.0,0.0
185,0.99,6.395,0.0075,D21_guard,4.0,0.9136772062233662,0.7688606834098684,0.7688606834098684,0.12898721105220606,0.0,1.0,0.0
185,0.99,6.395,0.0075,D21_guard,6.4,2.1022273869561374,44.13924402166741,7.482312973947984,-5.379851832225102,36.65603707024417,0.0,1.0
185,0.99,6.395,0.0075,D21_guard,8.0,0.3226590996076344,1.3897781615027076,1.3897781615027076,-1.0671190542193356,0.0,0.0,0.0
186,0.99,6.395,0.01,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
186,0.99,6.395,0.01,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
186,0.99,6.395,0.01,D60_hotspot,6.169491525423728,25.887561191706766,22.8165345114201,22.8165345114201,3.0700596061515544,0.0,1.0,0.0
186,0.99,6.395,0.01,D60_hotspot,6.4406779661016955,31.28630580743782,6.846329347405117,6.847042216251481,24.43867120639992,-0.0007128515670935425,1.0,0.0
186,0.99,6.395,0.01,D60_hotspot,6.711864406779661,7.462467784829663,1.7268649543238617,1.7268649543238617,5.735517205664442,0.0,1.0,0.0
186,0.99,6.395,0.01,D21_guard,4.0,0.9136772062233662,0.7688606834098684,0.7688606834098684,0.12898721105220606,0.0,1.0,0.0
186,0.99,6.395,0.01,D21_guard,6.4,2.1022273869561374,44.13924402166741,3.7394475465283605,-1.6370776846068482,40.39881121786242,0.0,1.0
186,0.99,6.395,0.01,D21_guard,8.0,0.3226590996076344,1.3897781615027076,1.3897781615027076,-1.0671190542193356,0.0,0.0,0.0
187,0.99,6.395,0.015,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
187,0.99,6.395,0.015,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
187,0.99,6.395,0.015,D60_hotspot,6.169491525423728,25.887561191706766,22.8165345114201,22.8165345114201,3.0700596061515544,0.0,1.0,0.0
187,0.99,6.395,0.015,D60_hotspot,6.4406779661016955,31.28630580743782,6.846329347405117,7.080795321151392,24.20492376745564,-0.2344602905113748,1.0,0.0
187,0.99,6.395,0.015,D60_hotspot,6.711864406779661,7.462467784829663,1.7268649543238617,1.7268649543238617,5.735517205664442,0.0,1.0,0.0
187,0.99,6.395,0.015,D21_guard,4.0,0.9136772062233662,0.7688606834098684,0.7688606834098684,0.12898721105220606,0.0,1.0,0.0
187,0.99,6.395,0.015,D21_guard,6.4,2.1022273869561374,44.13924402166741,0.8341968247438274,1.2681021848550533,43.30399108732433,1.0,1.0
187,0.99,6.395,0.015,D21_guard,8.0,0.3226590996076344,1.3897781615027076,1.3897781615027076,-1.0671190542193356,0.0,0.0,0.0
188,0.99,6.395,0.02,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
188,0.99,6.395,0.02,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
188,0.99,6.395,0.02,D60_hotspot,6.169491525423728,25.887561191706766,22.8165345114201,22.8165345114201,3.0700596061515544,0.0,1.0,0.0
188,0.99,6.395,0.02,D60_hotspot,6.4406779661016955,31.28630580743782,6.846329347405117,8.628931359206824,22.65682525476314,-1.782558803203869,1.0,0.0
188,0.99,6.395,0.02,D60_hotspot,6.711864406779661,7.462467784829663,1.7268649543238617,1.7268649543238617,5.735517205664442,0.0,1.0,0.0
188,0.99,6.395,0.02,D21_guard,4.0,0.9136772062233662,0.7688606834098684,0.7688606834098684,0.12898721105220606,0.0,1.0,0.0
188,0.99,6.395,0.02,D21_guard,6.4,2.1022273869561374,44.13924402166741,0.23143409456067587,1.8708389202499491,43.906727822719226,1.0,1.0
188,0.99,6.395,0.02,D21_guard,8.0,0.3226590996076344,1.3897781615027076,1.3897781615027076,-1.0671190542193356,0.0,0.0,0.0
189,0.99,6.395,0.03,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
189,0.99,6.395,0.03,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
189,0.99,6.395,0.03,D60_hotspot,6.169491525423728,25.887561191706766,22.8165345114201,22.816534511421736,3.07005960614992,-1.6342482922482304e-12,1.0,0.0
189,0.99,6.395,0.03,D60_hotspot,6.4406779661016955,31.28630580743782,6.846329347405117,14.43773047169811,16.848166942104424,-7.5912171158625945,1.0,0.0
189,0.99,6.395,0.03,D60_hotspot,6.711864406779661,7.462467784829663,1.7268649543238617,1.7268649543238617,5.735517205664442,0.0,1.0,0.0
189,0.99,6.395,0.03,D21_guard,4.0,0.9136772062233662,0.7688606834098684,0.7688606834098684,0.12898721105220606,0.0,1.0,0.0
189,0.99,6.395,0.03,D21_guard,6.4,2.1022273869561374,44.13924402166741,1.008442987428353,1.0938110764651112,43.12969997893438,1.0,1.0
189,0.99,6.395,0.03,D21_guard,8.0,0.3226590996076344,1.3897781615027076,1.3897781615027076,-1.0671190542193356,0.0,0.0,0.0
190,0.99,6.4,0.003,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
190,0.99,6.4,0.003,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
