D,eta,winner_baseline,winner_direct,winner_mismatch,R3_baseline,R3_direct,delta_R3,abs_delta_R3,mu_mumu_baseline,mu_mumu_direct,delta_mu_mumu,abs_delta_mu_mumu,chi2_mumu_baseline,chi2_mumu_direct,delta_chi2_mumu,abs_delta_chi2_mumu,underflow_fallback_baseline,underflow_fallback_direct
6.2,0.77,2,2,0,0.9471004505640622,0.9471004309326732,-1.9631389069907357e-08,1.9631389069907357e-08,68.3048100781027,68.30477737728815,-3.2700814557529156e-05,3.2700814557529156e-05,27976.5850724187,27976.557724403036,-0.02734801566475653,0.02734801566475653,0,0
6.240677966,0.77,2,2,0,0.9472301286764632,0.9472301032655789,-2.5410884285648194e-08,2.5410884285648194e-08,64.30001010387853,64.29997151950674,-3.858437179360408e-05,3.858437179360408e-05,24727.570444175137,24727.540107217246,-0.03033695789054036,0.03033695789054036,0,0
6.369491525,0.77,2,2,0,0.947619760805104,0.9476197495942815,-1.1210822492557782e-08,1.1210822492557782e-08,51.69062333448276,51.690609190297565,-1.4144185193742942e-05,1.4144185193742942e-05,15807.167471067634,15807.15857957026,-0.008891497374861501,0.008891497374861501,0,0
6.4,0.77,2,2,0,0.9477076920926895,0.9477076818671817,-1.0225507773853337e-08,1.0225507773853337e-08,48.74315281745145,48.74314064840841,-1.2169043039023109e-05,1.2169043039023109e-05,14008.58824185351,14008.58104034363,-0.007201509879450896,0.007201509879450896,0,0
6.440677966,0.77,2,2,0,0.9478225242166112,0.9478225242166112,0.0,0.0,44.85142655892766,44.851424944197134,-1.614730528842756e-06,1.614730528842756e-06,11800.165437536778,11800.164560507481,-0.0008770292970439186,0.0008770292970439186,0,0
6.6,0.77,2,2,0,0.9482478906374148,0.9482478829680994,-7.669315404967847e-09,7.669315404967847e-09,30.250980470446343,30.25097510325561,-5.367190734517635e-06,5.367190734517635e-06,5202.369213162977,5202.367277554219,-0.0019356087577762082,0.0019356087577762082,0,0
6.640677966,0.77,2,2,0,0.9483507570974307,0.9483507518616406,-5.235790023760956e-09,5.235790023760956e-09,26.75321593363215,26.753212507061445,-3.4265707036240656e-06,3.4265707036240656e-06,4017.409738608619,4017.408652676356,-0.00108593226332232,0.00108593226332232,0,0
20.0,0.77,2,2,0,0.9273399658726671,0.9273399658726671,0.0,0.0,7.407618517495128e-08,7.40761913561178e-08,6.181166512253036e-15,6.181166512253036e-15,12.24999870366679,12.249998703666682,-1.0835776720341528e-13,1.0835776720341528e-13,0,0
4.0,0.96,2,2,0,0.9042235933833039,0.9042235933833039,0.0,0.0,1.4764466989349914,1.4764466138891619,-8.50458294898715e-08,8.50458294898715e-08,0.036525611112857646,0.03652552984449132,-8.12683663281577e-08,8.12683663281577e-08,0,0
5.4,0.96,2,2,0,0.9399328985939774,0.9399326820006608,-2.1659331661538772e-07,2.1659331661538772e-07,29.10237952647802,29.10222736678773,-0.00015215969029114262,0.00015215969029114262,4796.386446431429,4796.333756757519,-0.05268967391020851,0.05268967391020851,0,0
