label,eta,mu_candidate,mu_full,chi2_candidate,chi2_full,abs_delta_mu_mumu,acceptance_mismatch
candidate_tail_beta0p3,2.1,3.5374535849100233,2.318770678332956,28.55442392277944,5.2758722460274985,1.2186829065770675,0.0
candidate_tail_beta0p3,2.1950000000000003,3.537453589650323,2.3187706769573166,28.554424049431567,5.275872230228787,1.2186829126930063,0.0
candidate_tail_beta0p3,2.29,3.537453594223316,2.318770675474484,28.554424171613572,5.275872213198999,1.218682918748832,0.0
candidate_tail_beta0p3,2.385,3.5374535990655254,2.3187706741590324,28.554424300988547,5.275872198091518,1.218682924906493,0.0
candidate_tail_beta0p3,2.4800000000000004,3.5374536037457065,2.318770672740227,28.554424426034426,5.275872181797056,1.2186829310054796,0.0
candidate_tail_beta0p3,2.575,3.53745360853377,2.318770671394753,28.554424553962725,5.275872166344781,1.2186829371390173,0.0
candidate_tail_beta0p3,2.6700000000000004,3.53745361317259,2.3187706699533273,28.5544246779035,5.275872149790536,1.218682943219263,0.0
candidate_tail_beta0p3,2.765,3.5374536178607636,2.3187706685427605,28.554424803162917,5.275872133590694,1.2186829493180031,0.0
candidate_tail_beta0p3,2.8600000000000003,3.5374536225908537,2.318770667155682,28.554424929542268,5.275872117660608,1.2186829554351717,0.0
candidate_tail_beta0p3,2.955,3.5374536272453225,2.318770665727306,28.55442505390116,5.275872101256231,1.2186829615180166,0.0
candidate_tail_beta0p3,3.0500000000000003,3.5374536319412173,2.31877066432208,28.554425179366877,5.27587208511773,1.2186829676191375,0.0
candidate_tail_beta0p3,3.145,3.537453636676821,2.318770662941594,28.55442530589354,5.275872069263349,1.218682973735227,0.0
candidate_tail_beta0p3,3.24,3.5374536414447255,2.318770661578554,28.554425433283235,5.275872053609336,1.2186829798661716,0.0
candidate_tail_beta0p3,3.3350000000000004,3.5374536461453374,2.3187706601790308,28.554425558874982,5.275872037536327,1.2186829859663066,0.0
candidate_tail_beta0p3,3.43,3.5374536508347028,2.3187706587654406,28.554425684166247,5.275872021301762,1.2186829920692621,0.0
candidate_tail_beta0p3,3.5250000000000004,3.5374536556023704,2.318770657405126,28.5544258115496,5.275872005679049,1.2186829981972442,0.0
candidate_tail_beta0p3,3.62,3.53745366030615,2.318770656009532,28.55442593722599,5.275871989651159,1.2186830042966181,0.0
candidate_tail_beta0p3,3.715,3.5374536648650867,2.318770654515399,28.55442605903244,5.275871972491592,1.2186830103496877,0.0
candidate_tail_beta0p3,3.81,3.537453669635744,2.3187706531592545,28.55442618649567,5.275871956916769,1.2186830164764895,0.0
candidate_tail_beta0p3,3.905,3.537453674431493,2.318770651816402,28.55442631462932,5.275871941494602,1.218683022615091,0.0
candidate_tail_beta0p3,4.0,3.5374536791289963,2.318770650410769,28.554426440138013,5.2758719253514235,1.2186830287182273,0.0
