D,level,dr,dz,mode_n,lambda_n,window_E_lo,window_E_hi,Nps_lambda_n,g_raw_n,g_hat_to_g3
6.0,fine,0.06,0.03,5,1.4382880086583458,0.7194764944777152,1.4382880086583458,56.623350204558015,30.111866324315532,2.971248733314879
6.0,fine,0.06,0.03,6,1.769131288777925,0.7194764944777152,1.769131288777925,70.02250304940095,43.51101916915847,4.293392485181346
6.0,fine,0.06,0.03,7,2.166109564691609,0.7194764944777152,2.166109564691609,86.10012322390517,59.58863934366269,5.879830471578699
6.0,fine,0.06,0.03,8,2.62105755975917,0.7194764944777152,2.62105755975917,104.52551702414138,78.0140331438989,7.697931927002986
6.0,fine,0.06,0.03,9,3.1362387829019607,0.7194764944777152,3.1362387829019607,125.39035656142441,98.87887268118193,9.756742476248462
6.0,fine,0.06,0.03,10,3.4038773485733884,0.7194764944777152,3.4038773485733884,136.22971847111722,109.71823459087474,10.826302230441094
6.0,fine,0.06,0.03,11,3.4887609216156896,0.7194764944777152,3.4887609216156896,139.66750317933042,113.15601929908794,11.165521106802785
6.0,fine,0.06,0.03,12,3.6297024685753687,0.7194764944777152,3.6297024685753687,145.3756358311974,118.86415195095492,11.728763575030584
6.0,fine,0.06,0.03,13,3.7132750204997382,0.7194764944777152,3.7132750204997382,148.7603241841344,122.24884030389191,12.062743238496637
6.0,fine,0.06,0.03,14,3.851339041367642,0.7194764944777152,3.851339041367642,154.3519170292845,127.84043314904201,12.614486294852757
6.0,fine,0.06,0.03,15,4.122987212163916,0.7194764944777152,4.122987212163916,165.3536679465336,138.8421840662911,13.700069570397709
6.0,fine,0.06,0.03,16,4.350619468294848,0.7194764944777152,4.350619468294848,174.57277431983638,148.0612904395939,14.60975274443105
6.0,fine,0.06,0.03,17,4.4537604674103335,0.7194764944777152,4.4537604674103335,178.74998478401352,152.23850090377104,15.021933482974433
6.0,fine,0.06,0.03,18,4.850827956201229,0.7194764944777152,4.850827956201229,194.83121808004478,168.3197341998023,16.608727989377716
6.0,fine,0.06,0.03,19,5.048463000762384,0.7194764944777152,5.048463000762384,202.83543738477155,176.32395350452907,17.39853378268849
6.0,fine,0.06,0.03,20,5.305762883704107,0.7194764944777152,5.305762883704107,213.25608264391133,186.74459876366885,18.426777223100565
6.0,fine,0.06,0.03,21,5.806263283876031,0.7194764944777152,5.806263283876031,233.52634885087423,207.01486497063175,20.426919032403145
6.0,fine,0.06,0.03,22,5.821666351698424,0.7194764944777152,5.821666351698424,234.15017309768118,207.6386892174387,20.48847406798855
6.0,fine,0.06,0.03,23,6.397921236244968,0.7194764944777152,6.397921236244968,257.4884959218162,230.97701204157372,22.791352321433415
6.0,fine,0.06,0.03,24,6.6258219464358294,0.7194764944777152,6.6258219464358294,266.7184746845461,240.20699080430362,23.702108314167713
6.0,fine,0.06,0.03,25,7.03505998444768,0.7194764944777152,7.03505998444768,283.29261522402606,256.7811313437836,25.337539793349936
6.0,fine,0.06,0.03,26,7.50583335355679,0.7194764944777152,7.50583335355679,302.35893667294494,275.8474527927024,27.21888394000379
6.0,fine,0.06,0.03,27,7.733554707836876,0.7194764944777152,7.733554707836876,311.58165152128845,285.07016764104594,28.128923175557148
6.0,fine,0.06,0.03,28,8.223387006361428,0.7194764944777152,8.223387006361428,331.41985961153284,304.90837573129033,30.086432219484383
6.0,fine,0.06,0.03,29,8.308428245849079,0.7194764944777152,8.308428245849079,334.86402981078265,308.35254593054015,30.42628117576041
6.0,fine,0.06,0.03,30,8.445474862628565,0.7194764944777152,8.445474862628565,340.4144177903518,313.9029339101093,30.973958396298013
6.0,fine,0.06,0.03,31,8.450512631546115,0.7194764944777152,8.450512631546115,340.61844743151266,314.10696355127016,30.9940907523044
6.0,fine,0.06,0.03,32,8.491224378921167,0.7194764944777152,8.491224378921167,342.2672732002023,315.7557893199598,31.156786462490917
6.0,fine,0.06,0.03,33,8.670654423363489,0.7194764944777152,8.670654423363489,349.5341900001163,323.0227061198738,31.873839902629687
6.0,fine,0.06,0.03,34,8.942686979938106,0.7194764944777152,8.942686979938106,360.5515085413883,334.04002466114576,32.960959292962755
6.0,fine,0.06,0.03,35,9.274423533134222,0.7194764944777152,9.274423533134222,373.986838945831,347.4753550655885,34.28667281785417
6.0,fine,0.06,0.03,36,9.31029601960234,0.7194764944777152,9.31029601960234,375.4396746477898,348.9281907675473,34.43002946644801
6.0,fine,0.06,0.03,37,9.44611932750701,0.7194764944777152,9.44611932750701,380.9405186179289,354.4290347376864,34.97281799713568
6.0,fine,0.06,0.03,38,9.670420129920505,0.7194764944777152,9.670420129920505,390.0247011156754,363.5132172354329,35.86918773552797
6.0,fine,0.06,0.03,39,10.125416811681959,0.7194764944777152,10.125416811681959,408.45206672701426,381.94058284677175,37.6874837568147
6.0,fine,0.06,0.03,40,10.191011642596205,0.7194764944777152,10.191011642596205,411.10865737904135,384.59717349879884,37.94961933900535
6.0,mid,0.08,0.04,1,0.6986535462850263,0.6986535462850263,0.6986535462850263,27.39362652188553,1.0,0.09635084134571867
6.0,mid,0.08,0.04,2,0.7832297356858491,0.6986535462850263,0.7832297356858491,30.910913425735426,4.517286903849897,0.4352443937859341
