D,level,dr,dz,mode_n,lambda_n,window_E_lo,window_E_hi,Nps_lambda_n,g_raw_n,g_hat_to_g3,grid_index
4.0,fine,0.06,0.03,20,6.217454004501939,0.7359089334327868,6.217454004501939,222.12480359783413,198.21228779439042,17.390606331036462,0
4.0,fine,0.06,0.03,21,6.481037218274297,0.7359089334327868,6.481037218274297,231.6078686713291,207.6953528678854,18.222624634946175,0
4.0,fine,0.06,0.03,22,7.178452372392495,0.7359089334327868,7.178452372392495,256.69912237861655,232.78660657517284,20.424062903133827,0
4.0,fine,0.06,0.03,23,7.211403896124237,0.7359089334327868,7.211403896124237,257.88463582367535,233.97212002023164,20.52807662424356,0
4.0,fine,0.06,0.03,24,8.018880164458638,0.7359089334327868,8.018880164458638,286.9356132676762,263.02309746423254,23.076930269404592,0
4.0,fine,0.06,0.03,25,8.215450818363028,0.7359089334327868,8.215450818363028,294.00773396852145,270.09521816507777,23.69741887988646,0
4.0,fine,0.06,0.03,26,8.239246419675254,0.7359089334327868,8.239246419675254,294.8638402147321,270.9513244112884,23.77253131045804,0
4.0,fine,0.06,0.03,27,8.340145232338443,0.7359089334327868,8.340145232338443,298.49392724732195,274.58141144387827,24.091025260725424,0
4.0,fine,0.06,0.03,28,8.529835028340264,0.7359089334327868,8.529835028340264,305.3184918829774,281.40597607953373,24.689793976227612,0
4.0,fine,0.06,0.03,29,8.805261702114734,0.7359089334327868,8.805261702114734,315.22765503869846,291.3151392352548,25.559196965460618,0
4.0,fine,0.06,0.03,30,8.901576627765667,0.7359089334327868,8.901576627765667,318.69282527630486,294.7803094728612,25.863221565261146,0
4.0,fine,0.06,0.03,31,9.146926315906729,0.7359089334327868,9.146926315906729,327.5198936813999,303.6073778779562,26.63768450798937,0
4.0,fine,0.06,0.03,32,9.329048425150509,0.7359089334327868,9.329048425150509,334.072191866718,310.15967606327433,27.21256530661389,0
4.0,fine,0.06,0.03,33,9.571101965541878,0.7359089334327868,9.571101965541878,342.7806731161485,318.8681573127048,27.976623735257608,0
4.0,fine,0.06,0.03,34,9.863511027288666,0.7359089334327868,9.863511027288666,353.3008201351435,329.3883043316998,28.899632784735655,0
4.0,fine,0.06,0.03,35,10.070869112074584,0.7359089334327868,10.070869112074584,360.76104563052894,336.84852982708526,29.554172652948008,0
4.0,fine,0.06,0.03,36,10.520242052860105,0.7359089334327868,10.520242052860105,376.92836060763995,353.01584480419626,30.97264883989591,0
4.0,fine,0.06,0.03,37,10.647917330303965,0.7359089334327868,10.647917330303965,381.5217979018765,357.6092820984328,31.375664518586994,0
4.0,fine,0.06,0.03,38,10.90016272779699,0.7359089334327868,10.90016272779699,390.5969566901818,366.6844408867381,32.17189423590288,0
4.0,fine,0.06,0.03,39,11.30033125411661,0.7359089334327868,11.30033125411661,404.99401984584586,381.0815040424022,33.43505334903991,0
4.0,fine,0.06,0.03,40,11.786530446005813,0.7359089334327868,11.786530446005813,422.4862512720397,398.573735468596,34.96977409702843,0
4.2025316455696204,fine,0.06,0.03,1,0.7340412983580411,0.7340412983580411,0.7340412983580411,25.184890255947245,1.0,0.08893954140452605,1
4.2025316455696204,fine,0.06,0.03,2,0.8316963792353205,0.7340412983580411,0.8316963792353205,28.744417953924078,4.559527697976833,0.4055223024792939,1
4.2025316455696204,fine,0.06,0.03,3,1.0150726547913123,0.7340412983580411,1.0150726547913123,35.42848319793998,11.243592941992738,1.0,1
4.2025316455696204,fine,0.06,0.03,4,1.2853743381353062,0.7340412983580411,1.2853743381353062,45.28097955582855,21.096089299881307,1.8762765077603725,1
4.2025316455696204,fine,0.06,0.03,5,1.616989999112653,0.7340412983580411,1.616989999112653,57.36837039845286,33.183480142505616,2.951323506080646,1
4.2025316455696204,fine,0.06,0.03,6,2.0303763855089065,0.7340412983580411,2.0303763855089065,72.43630418259629,48.25141392664904,4.291458626756127,1
4.2025316455696204,fine,0.06,0.03,7,2.5181911752253114,0.7340412983580411,2.5181911752253114,90.21715326775923,66.03226301181198,5.872879190173606,1
4.2025316455696204,fine,0.06,0.03,8,3.078774842880269,0.7340412983580411,3.078774842880269,110.65042795378243,86.46553769783517,7.69020527014122,1
4.2025316455696204,fine,0.06,0.03,9,3.418212512033508,0.7340412983580411,3.418212512033508,123.02293099441802,98.83804073847077,8.790610016601454,1
4.2025316455696204,fine,0.06,0.03,10,3.5163369711069175,0.7340412983580411,3.5163369711069175,126.59956752764376,102.41467727169652,9.108714429637226,1
4.2025316455696204,fine,0.06,0.03,11,3.6990245513812186,0.7340412983580411,3.6990245513812186,133.25852982864205,109.07363957269482,9.700959482918043,1
4.2025316455696204,fine,0.06,0.03,12,3.716704123114302,0.7340412983580411,3.716704123114302,133.90295021831295,109.71805996236571,9.758273936847099,1
4.2025316455696204,fine,0.06,0.03,13,3.970111590226252,0.7340412983580411,3.970111590226252,143.13965239454353,118.9547621385963,10.579781992491233,1
4.2025316455696204,fine,0.06,0.03,14,4.301522692298351,0.7340412983580411,4.301522692298351,155.21958706507155,131.0346968091243,11.65416584228463,1
4.2025316455696204,fine,0.06,0.03,15,4.427538404870093,0.7340412983580411,4.427538404870093,159.81285978831153,135.6279695323643,12.062689411835512,1
4.2025316455696204,fine,0.06,0.03,16,4.714985796733634,0.7340412983580411,4.714985796733634,170.2903172217376,146.10542696579037,12.994549671049871,1
4.2025316455696204,fine,0.06,0.03,17,5.202750810859692,0.7340412983580411,5.202750810859692,188.06935198663243,163.8844617306852,14.575808869654741,1
4.2025316455696204,fine,0.06,0.03,18,5.213936475757306,0.7340412983580411,5.213936475757306,188.47706947215042,164.29217921620318,14.612071075839317,1
