preset,D,z,rel_error
physical_gap,12.0,-65.6,2.817111216220109e-12
physical_gap,12.0,-65.2,3.4896919566113927e-12
physical_gap,12.0,-64.8,1.538779793970888e-12
physical_gap,12.0,-64.4,5.267208185203946e-12
physical_gap,12.0,-64.0,8.543882232137187e-12
physical_gap,12.0,-63.6,7.860500959874198e-12
physical_gap,12.0,-63.2,7.310572488558516e-12
physical_gap,12.0,-62.8,2.3727681929128627e-12
physical_gap,12.0,-62.4,7.210305686638044e-12
physical_gap,12.0,-62.0,5.998176882068504e-12
physical_gap,12.0,-61.6,8.162622089059319e-12
physical_gap,12.0,-61.2,3.0616787024115792e-12
physical_gap,12.0,-60.8,5.306304143515601e-12
physical_gap,12.0,-60.4,2.9308422397607744e-12
physical_gap,12.0,-60.0,1.7434246501039646e-12
physical_gap,12.0,-59.6,5.049812824833208e-12
physical_gap,12.0,-59.2,4.2577761407198694e-12
physical_gap,12.0,-58.8,8.601495371479729e-12
physical_gap,12.0,-58.4,3.0835519687741408e-12
physical_gap,12.0,-58.0,3.874187793613118e-12
physical_gap,12.0,-57.6,3.838953912517737e-12
physical_gap,12.0,-57.2,8.650942056984123e-12
physical_gap,12.0,-56.8,5.7444119562821105e-12
physical_gap,12.0,-56.4,8.647876493961594e-12
physical_gap,12.0,-56.0,4.795137577616888e-13
physical_gap,12.0,-55.6,6.0580220214812884e-12
physical_gap,12.0,-55.2,3.42957621797877e-12
physical_gap,12.0,-54.8,1.4049379128291445e-12
physical_gap,12.0,-54.4,8.891937681234553e-12
physical_gap,12.0,-54.0,6.750783930239168e-13
physical_gap,12.0,-53.6,4.4242491423823126e-12
physical_gap,12.0,-53.2,3.0997328946647107e-12
physical_gap,12.0,-52.8,6.3045453136830144e-12
physical_gap,12.0,-52.4,4.3185218447072e-12
physical_gap,12.0,-52.0,8.22965786031274e-12
physical_gap,12.0,-51.6,5.531383436876605e-12
physical_gap,12.0,-51.2,4.858426955208556e-12
physical_gap,12.0,-50.8,5.6477283424424894e-12
physical_gap,12.0,-50.4,7.3904399574615e-12
physical_gap,12.0,-50.0,4.458082403007485e-12
physical_gap,12.0,-49.6,5.370888521912246e-12
physical_gap,12.0,-49.2,2.1901330626581513e-12
physical_gap,12.0,-48.8,6.433157110962552e-12
physical_gap,12.0,-48.4,3.7702248151327095e-12
physical_gap,12.0,-48.0,6.3876891073306875e-12
physical_gap,12.0,-47.6,1.40873428478856e-12
physical_gap,12.0,-47.2,6.240166613891565e-12
physical_gap,12.0,-46.8,4.4639348787212714e-12
physical_gap,12.0,-46.4,1.8145980444509464e-13
physical_gap,12.0,-46.0,8.332186819856447e-12
physical_gap,12.0,-45.6,6.710074440497771e-12
physical_gap,12.0,-45.2,5.174691260334752e-12
physical_gap,12.0,-44.8,6.669111204286738e-12
physical_gap,12.0,-44.4,3.898361767412129e-12
physical_gap,12.0,-44.0,5.710610661298515e-12
physical_gap,12.0,-43.6,1.9715397924279313e-13
physical_gap,12.0,-43.2,6.26255259276988e-12
physical_gap,12.0,-42.8,4.781192165629092e-12
physical_gap,12.0,-42.4,8.338067474460247e-12
physical_gap,12.0,-42.0,3.5097421238428175e-12
physical_gap,12.0,-41.6,1.416404742401641e-13
physical_gap,12.0,-41.2,1.5202640116500387e-12
physical_gap,12.0,-40.8,6.5259498205131845e-12
physical_gap,12.0,-40.4,2.4275521512291267e-12
physical_gap,12.0,-40.0,1.7623895889210816e-12
