z,U1D,U2D_axis,rel_error
-77.24,-1.0975861832437814e-09,-1.0975861330919656e-09,1.0919905379654131e-18
-77.22,-1.099065628039082e-09,-1.0990656162945811e-09,2.557212244774631e-19
-77.2,-1.1005474916135834e-09,-1.1005475419878508e-09,1.096834132440553e-18
-77.18,-1.1020317786248667e-09,-1.1020317991494721e-09,4.468965804722861e-19
-77.16,-1.103518493740848e-09,-1.1035184988017477e-09,1.1019450519419443e-19
-77.14,-1.105007641639803e-09,-1.1050076409446774e-09,1.5135454894180532e-20
-77.12,-1.1064992270103963e-09,-1.1064992255782613e-09,3.118287671049237e-20
-77.1,-1.1079932545517071e-09,-1.1079932527024994e-09,4.026409291303858e-20
-77.08,-1.1094897289732487e-09,-1.1094897223173916e-09,1.449226286622149e-19
-77.06,-1.110988654995004e-09,-1.110988634422938e-09,4.479299715814298e-19
-77.04,-1.1124900373474468e-09,-1.1124899890191386e-09,1.0522860310320357e-18
-77.02,-1.113993880771571e-09,-1.1139938971282959e-09,3.5614640255178242e-19
-77.0,-1.1155001900189103e-09,-1.1155001367058048e-09,1.1608235082952756e-18
-76.98,-1.1170089698515763e-09,-1.1170089297962704e-09,8.721521712036094e-19
-76.96,-1.1185202250422756e-09,-1.1185202763996926e-09,1.118240936993452e-18
-76.94,-1.1200339603743383e-09,-1.1200339544714666e-09,1.2852735111231602e-19
-76.92,-1.1215501806417483e-09,-1.1215501860561972e-09,1.1789257891924398e-19
-76.9,-1.1230688906491663e-09,-1.123068860131582e-09,6.644806952925755e-19
-76.88,-1.1245900952119616e-09,-1.1245900877199233e-09,1.6312938560088354e-19
-76.86,-1.126113799156231e-09,-1.1261137577989189e-09,9.005016637921689e-19
-76.84,-1.1276400073188352e-09,-1.127639981390871e-09,5.645476843396041e-19
