z,U
-73.52,-1.1755299629033357e-09
-73.5,-1.1770885128639961e-09
-73.48,-1.1786495497254715e-09
-73.46,-1.1802130781307491e-09
-73.44,-1.1817791027327443e-09
-73.42,-1.1833476281943394e-09
-73.4,-1.1849186591883939e-09
-73.38,-1.1864922003977783e-09
-73.36,-1.1880682565153885e-09
-73.34,-1.1896468322441826e-09
-73.32,-1.1912279322971969e-09
-73.3,-1.1928115613975668e-09
-73.28,-1.1943977242785616e-09
-73.26,-1.1959864256836028e-09
-73.24,-1.1975776703662889e-09
-73.22,-1.1991714630904196e-09
-73.2,-1.2007678086300226e-09
-73.18,-1.202366711769377e-09
-73.16,-1.2039681773030412e-09
-73.14,-1.2055722100358702e-09
-73.12,-1.207178814783049e-09
-73.1,-1.2087879963701144e-09
-73.08,-1.2103997596329755e-09
-73.06,-1.2120141094179491e-09
-73.04,-1.2136310505817745e-09
-73.02,-1.2152505879916475e-09
-73.0,-1.2168727265252356e-09
-72.98,-1.2184974710707158e-09
-72.96,-1.2201248265267903e-09
-72.94,-1.221754797802715e-09
-72.92,-1.2233873898183272e-09
-72.9,-1.2250226075040723e-09
-72.88,-1.226660455801022e-09
-72.86,-1.2283009396609077e-09
-72.84,-1.2299440640461456e-09
-72.82,-1.231589833929859e-09
-72.8,-1.2332382542959071e-09
-72.78,-1.234889330138909e-09
-72.76,-1.236543066464276e-09
-72.74,-1.238199468288229e-09
-72.72,-1.2398585406378305e-09
-72.7,-1.2415202885510092e-09
-72.68,-1.2431847170765888e-09
-72.66,-1.2448518312743127e-09
-72.64,-1.2465216362148685e-09
-72.62,-1.2481941369799185e-09
-72.6,-1.2498693386621256e-09
-72.58,-1.2515472463651765e-09
-72.56,-1.2532278652038162e-09
-72.54,-1.2549112003038678e-09
-72.52,-1.2565972568022626e-09
-72.5,-1.2582860398470667e-09
-72.48,-1.2599775545975092e-09
-72.46,-1.2616718062240078e-09
-72.44,-1.2633687999081976e-09
-72.42,-1.2650685408429584e-09
-72.4,-1.2667710342324419e-09
-72.38,-1.2684762852921007e-09
-72.36,-1.2701842992487107e-09
-72.34,-1.2718950813404052e-09
-72.32,-1.2736086368167024e-09
-72.3,-1.275324970938526e-09
-72.28,-1.2770440889782433e-09
-72.26,-1.2787659962196869e-09
-72.24,-1.2804906979581847e-09
-72.22,-1.2822181995005835e-09
-72.2,-1.2839485061652882e-09
-72.18,-1.2856816232822775e-09
-72.16,-1.2874175561931438e-09
-72.14,-1.289156310251112e-09
-72.12,-1.2908978908210738e-09
-72.1,-1.2926423032796151e-09
-72.08,-1.294389553015043e-09
-72.06,-1.2961396454274195e-09
-72.04,-1.2978925859285838e-09
-72.02,-1.2996483799421875e-09
-72.0,-1.3014070329037174e-09
-71.98,-1.3031685502605312e-09
-71.96,-1.3049329374718825e-09
-71.94,-1.30670020000895e-09
-71.92,-1.3084703433548696e-09
-71.9,-1.3102433730047625e-09
-71.88,-1.3120192944657652e-09
-71.86,-1.313798113257054e-09
-71.84,-1.3155798349098852e-09
-71.82,-1.3173644649676176e-09
-71.8,-1.3191520089857393e-09
-71.78,-1.3209424725319077e-09
-71.76,-1.322735861185972e-09
-71.74,-1.3245321805400062e-09
-71.72,-1.3263314361983353e-09
-71.7,-1.328133633777571e-09
-71.68,-1.3299387789066411e-09
-71.66,-1.3317468772268183e-09
-71.64,-1.333557934391746e-09
-71.62,-1.335371956067482e-09
-71.6,-1.337188947932517e-09
-71.58,-1.339008915677809e-09
-71.56,-1.3408318650068153e-09
-71.53999999999999,-1.3426578016355269e-09
-71.52,-1.34448673129249e-09
-71.5,-1.3463186597188458e-09
-71.48,-1.3481535926683591e-09
-71.46,-1.3499915359074493e-09
-71.44,-1.3518324952152201e-09
-71.42,-1.3536764763834928e-09
-71.4,-1.3555234852168413e-09
-71.38,-1.357373527532615e-09
-71.36,-1.35922660916098e-09
-71.34,-1.3610827359449448e-09
-71.32,-1.3629419137403952e-09
-71.3,-1.3648041484161228e-09
-71.28,-1.366669445853862e-09
-71.26,-1.36853781194832e-09
-71.24,-1.370409252607208e-09
-71.22,-1.3722837737512725e-09
-71.2,-1.374161381314333e-09
-71.18,-1.3760420812433094e-09
-71.16,-1.3779258794982584e-09
-71.14,-1.3798127820523993e-09
-71.12,-1.3817027948921576e-09
-71.1,-1.3835959240171905e-09
-71.08,-1.3854921754404193e-09
-71.06,-1.3873915551880673e-09
-71.03999999999999,-1.3892940692996895e-09
-71.02,-1.3911997238282063e-09
-71.0,-1.3931085248399367e-09
-70.98,-1.3950204784146363e-09
-70.96,-1.3969355906455244e-09
-70.94,-1.398853867639318e-09
-70.92,-1.4007753155162723e-09
-70.9,-1.4026999404102064e-09
-70.88,-1.404627748468545e-09
-70.86,-1.4065587458523418e-09
-70.84,-1.4084929387363276e-09
-70.82,-1.4104303333089337e-09
-70.8,-1.4123709357723277e-09
-70.78,-1.4143147523424522e-09
-70.76,-1.4162617892490573e-09
-70.74,-1.4182120527357347e-09
-70.72,-1.4201655490599511e-09
-70.7,-1.4221222844930834e-09
-70.68,-1.4240822653204595e-09
-70.66,-1.4260454978413856e-09
-70.64,-1.42801198836918e-09
-70.62,-1.4299817432312205e-09
-70.6,-1.4319547687689666e-09
-70.58,-1.4339310713379994e-09
-70.56,-1.435910657308059e-09
-70.53999999999999,-1.4378935330630822e-09
-70.52,-1.439879705001226e-09
-70.5,-1.44186917953492e-09
-70.48,-1.4438619630908899e-09
-70.46,-1.4458580621102033e-09
-70.44,-1.4478574830482918e-09
-70.42,-1.4498602323750016e-09
-70.4,-1.4518663165746259e-09
-70.38,-1.4538757421459346e-09
-70.36,-1.4558885156022153e-09
-70.34,-1.4579046434713144e-09
-70.32,-1.4599241322956678e-09
-70.3,-1.4619469886323383e-09
-70.28,-1.4639732190530525e-09
-70.26,-1.4660028301442439e-09
-70.24,-1.468035828507081e-09
-70.22,-1.4700722207575093e-09
-70.2,-1.4721120135262878e-09
-70.18,-1.4741552134590273e-09
-70.16,-1.4762018272162275e-09
-70.14,-1.4782518614733139e-09
-70.12,-1.4803053229206737e-09
-70.1,-1.4823622182637024e-09
-70.08,-1.4844225542228258e-09
-70.06,-1.4864863375335552e-09
-70.03999999999999,-1.4885535749465158e-09
-70.02,-1.4906242732274848e-09
-70.0,-1.4926984391574358e-09
-69.98,-1.4947760795325704e-09
-69.96,-1.4968572011643633e-09
-69.94,-1.4989418108795928e-09
-69.92,-1.5010299155203885e-09
-69.9,-1.5031215219442663e-09
-69.88,-1.5052166370241671e-09
-69.86,-1.5073152676484917e-09
-69.84,-1.5094174207211516e-09
-69.82,-1.5115231031615975e-09
-69.8,-1.5136323219048622e-09
-69.78,-1.5157450839016024e-09
-69.76,-1.5178613961181353e-09
-69.74,-1.519981265536484e-09
-69.72,-1.5221046991544053e-09
-69.7,-1.5242317039854444e-09
-69.68,-1.5263622870589665e-09
-69.66,-1.5284964554202e-09
-69.64,-1.5306342161302707e-09
-69.62,-1.5327755762662532e-09
-69.6,-1.5349205429212057e-09
-69.58,-1.5370691232042059e-09
-69.56,-1.5392213242404005e-09
-69.53999999999999,-1.5413771531710434e-09
-69.52,-1.543536617153531e-09
-69.5,-1.5456997233614537e-09
-69.48,-1.5478664789846273e-09
-69.46,-1.5500368912291436e-09
-69.44,-1.552210967317401e-09
-69.42,-1.5543887144881582e-09
-69.4,-1.556570139996566e-09
-69.38,-1.5587552511142183e-09
-69.36,-1.560944055129182e-09
-69.34,-1.563136559346052e-09
-69.32,-1.5653327710859884e-09
-69.3,-1.5675326976867515e-09
-69.28,-1.5697363465027596e-09
-69.26,-1.571943724905116e-09
-69.24,-1.5741548402816674e-09
-69.22,-1.5763697000370274e-09
-69.2,-1.5785883115926396e-09
-69.18,-1.5808106823868058e-09
-69.16,-1.5830368198747405e-09
-69.14,-1.585266731528601e-09
-69.12,-1.587500424837546e-09
-69.1,-1.5897379073077684e-09
-69.08,-1.59197918646254e-09
-69.06,-1.5942242698422628e-09
-69.03999999999999,-1.5964731650045082e-09
-69.02,-1.5987258795240539e-09
-69.0,-1.6009824209929425e-09
-68.98,-1.603242797020515e-09
-68.96,-1.6055070152334626e-09
-68.94,-1.6077750832758598e-09
-68.92,-1.6100470088092242e-09
-68.9,-1.612322799512554e-09
-68.88,-1.6146024630823682e-09
-68.86,-1.6168860072327582e-09
-68.84,-1.619173439695436e-09
-68.82,-1.6214647682197707e-09
-68.8,-1.6237600005728372e-09
-68.78,-1.6260591445394669e-09
-68.76,-1.6283622079222884e-09
-68.74,-1.6306691985417752e-09
-68.72,-1.632980124236289e-09
-68.7,-1.6352949928621305e-09
-68.68,-1.6376138122935815e-09
-68.66,-1.639936590422959e-09
-68.64,-1.6422633351606444e-09
-68.62,-1.6445940544351529e-09
-68.6,-1.646928756193165e-09
-68.58,-1.6492674483995776e-09
-68.56,-1.651610139037551e-09
-68.53999999999999,-1.6539568361085591e-09
-68.52,-1.6563075476324289e-09
-68.5,-1.6586622816474e-09
-68.48,-1.6610210462101602e-09
-68.46,-1.6633838493959035e-09
-68.44,-1.6657506992983661e-09
-68.42,-1.6681216040298884e-09
-68.4,-1.6704965717214557e-09
-68.38,-1.672875610522744e-09
-68.36,-1.6752587286021737e-09
-68.34,-1.6776459341469548e-09
-68.32,-1.6800372353631413e-09
-68.3,-1.6824326404756708e-09
-68.28,-1.6848321577284226e-09
-68.26,-1.6872357953842625e-09
-68.24,-1.6896435617250935e-09
-68.22,-1.6920554650518992e-09
-68.2,-1.6944715136848065e-09
-68.18,-1.6968917159631232e-09
-68.16,-1.6993160802453961e-09
-68.14,-1.701744614909449e-09
-68.12,-1.7041773283524526e-09
-68.1,-1.7066142289909575e-09
-68.08,-1.7090553252609493e-09
-68.06,-1.7115006256179038e-09
-68.03999999999999,-1.7139501385368363e-09
-68.02,-1.7164038725123453e-09
-68.0,-1.7188618360586741e-09
-67.98,-1.7213240377097565e-09
-67.96,-1.7237904860192696e-09
-67.94,-1.726261189560681e-09
-67.92,-1.7287361569273065e-09
-67.9,-1.7312153967323627e-09
-67.88,-1.733698917609012e-09
-67.86,-1.7361867282104203e-09
-67.84,-1.7386788372098049e-09
-67.82,-1.7411752533004963e-09
-67.8,-1.7436759851959758e-09
-67.78,-1.7461810416299428e-09
-67.76,-1.7486904313563602e-09
-67.74,-1.7512041631495105e-09
-67.72,-1.7537222458040419e-09
-67.7,-1.756244688135034e-09
-67.68,-1.758771498978038e-09
-67.66,-1.7613026871891457e-09
-67.64,-1.7638382616450239e-09
-67.62,-1.7663782312429853e-09
-67.6,-1.768922604901041e-09
-67.58,-1.7714713915579367e-09
-67.56,-1.774024600173234e-09
-67.53999999999999,-1.7765822397273482e-09
-67.52,-1.7791443192215998e-09
-67.5,-1.7817108476782853e-09
-67.48,-1.7842818341407185e-09
-67.46,-1.7868572876732963e-09
-67.44,-1.7894372173615374e-09
-67.42,-1.7920216323121607e-09
-67.4,-1.7946105416531227e-09
-67.38,-1.7972039545336839e-09
-67.36,-1.7998018801244562e-09
-67.34,-1.8024043276174669e-09
-67.32,-1.8050113062262184e-09
-67.3,-1.807622825185724e-09
-67.28,-1.8102388937525941e-09
-67.26,-1.81285952120507e-09
-67.24,-1.8154847168430951e-09
-67.22,-1.8181144899883589e-09
-67.2,-1.8207488499843665e-09
-67.18,-1.8233878061964935e-09
-67.16,-1.826031368012041e-09
-67.14,-1.8286795448402901e-09
-67.12,-1.8313323461125672e-09
-67.1,-1.8339897812823045e-09
-67.08,-1.8366518598250828e-09
-67.06,-1.8393185912387118e-09
-67.03999999999999,-1.8419899850432725e-09
-67.02,-1.844666050781177e-09
-67.0,-1.8473467980172405e-09
-66.98,-1.850032236338729e-09
-66.96,-1.852722375355422e-09
-66.94,-1.8554172246996705e-09
-66.92,-1.8581167940264594e-09
-66.9,-1.8608210930134708e-09
-66.88,-1.8635301313611365e-09
-66.86,-1.8662439187926993e-09
-66.84,-1.868962465054282e-09
-66.82,-1.8716857799149398e-09
-66.8,-1.8744138731667216e-09
-66.78,-1.8771467546247354e-09
-66.76,-1.8798844341272106e-09
-66.74,-1.8826269215355533e-09
-66.72,-1.8853742267344073e-09
-66.7,-1.8881263596317252e-09
-66.68,-1.890883330158823e-09
-66.66,-1.8936451482704465e-09
-66.64,-1.896411823944825e-09
-66.62,-1.899183367183746e-09
-66.6,-1.9019597880126105e-09
-66.58,-1.9047410964804963e-09
-66.56,-1.9075273026602235e-09
-66.53999999999999,-1.910318416648418e-09
-66.52,-1.9131144485655687e-09
-66.5,-1.915915408556102e-09
-66.48,-1.9187213067884378e-09
-66.46,-1.9215321534550548e-09
-66.44,-1.9243479587725544e-09
-66.42,-1.9271687329817284e-09
-66.4,-1.9299944863476227e-09
-66.38,-1.9328252291595993e-09
-66.36,-1.9356609717314014e-09
-66.34,-1.9385017244012205e-09
-66.32,-1.941347497531766e-09
-66.3,-1.9441983015103196e-09
-66.28,-1.9470541467488132e-09
-66.26,-1.949915043683889e-09
-66.24,-1.9527810027769635e-09
