D,eta,generic_offdiag_k11,generic_offdiag_k_bg,generic_offdiag_k22,generic_offdiag_e_part,generic_offdiag_e_tree,generic_offdiag_det_ratio_ref,generic_offdiag_q_inferred,generic_offdiag_q_geomean,generic_offdiag_q_residual,generic_offdiag_rho_inferred,generic_offdiag_rho_residual,generic_offdiag_schur_from_q,generic_offdiag_schur_from_det,generic_offdiag_positive_cone,generic_offdiag_positive_q
16.8,0.39,1.5202307488638929,1.3729068193667717,2.143821891994659,0.5202307488638929,0.7709150726278873,2.3738712011067515,-4.440892098500626e-16,0.40105372554366814,-0.4010537255436686,-1.107306032996092e-15,-1.000000000000001,1.5615203171497523,1.5615203171497525,1,1
17.6,0.39,1.53334510636259,1.2679119024066776,1.946628624197221,0.53334510636259,0.6787167217905434,2.3541489508478253,0.0,0.36199024217344583,-0.36199024217344583,0.0,-1.0,1.5353027450111023,1.5353027450111023,1,1
18.4,0.39,1.0,1.20297833384972,1.20297833384972,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1,1
19.200000000000003,0.39,1.0,1.2685122027208124,1.2685122027208124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1,1
20.0,0.39,1.0,1.3261537967964965,1.3261537967964965,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1,1
4.0,0.5800000000000001,1.399165018262556,1.052928468881864,1.9341389375072109,0.3991650182625559,0.8812104686253468,2.57014566686887,4.440892098500626e-16,0.351748392801992,-0.35174839280199155,1.262519513770889e-15,-0.9999999999999988,1.8369138974474972,1.836913897447497,1,1
4.8,0.5800000000000001,1.3864819309265684,1.3330127461264274,2.3626091336285877,0.38648193092656835,1.0295963875021603,2.4573770079370507,-4.440892098500626e-16,0.39792039991685424,-0.3979203999168547,-1.116025240080316e-15,-1.000000000000001,1.7723830027087453,1.7723830027087455,1,1
5.6,0.5800000000000001,1.3740167943150456,1.0489632309804584,2.163328996517532,0.37401679431504564,1.1143657655370736,2.833703112801653,-8.881784197001252e-16,0.41679151132060804,-0.41679151132060893,-2.1309897048668845e-15,-1.0000000000000022,2.0623496921769924,2.0623496921769933,1,1
6.4,0.5800000000000001,1.408757447724341,1.2368422574530327,2.31093189548469,0.40875744772434097,1.0740896380316574,2.6321404361230027,8.881784197001252e-16,0.4390421390689815,-0.4390421390689806,2.0229912818472676e-15,-0.999999999999998,1.8684127919784015,1.8684127919784015,1,1
7.2,0.5800000000000001,1.4653971286434333,1.5397550802947837,2.131691597403891,0.4653971286434333,0.5919365171091071,2.0287478092885736,8.881784197001252e-16,0.275485555401773,-0.2754855554017721,3.2240471497853676e-15,-0.9999999999999968,1.3844355019083823,1.384435501908382,1,1
8.0,0.5800000000000001,1.4813765138251926,1.5891268740470006,2.1471719254068047,0.48137651382519264,0.5580450513598041,2.0015834565443167,-1.3322676295501878e-15,0.2686297813809831,-0.2686297813809844,-4.959493406506201e-15,-1.0000000000000049,1.3511645674575001,1.3511645674575006,1,1
8.8,0.5800000000000001,1.489316794574241,1.1526414316992488,1.891253858186028,0.48931679457424093,0.7386124264867793,2.4436707343127324,-1.3322676295501878e-15,0.361415464961213,-0.36141546496121435,-3.686249645385723e-15,-1.0000000000000038,1.6407998239295467,1.6407998239295474,1,1
9.6,0.5800000000000001,1.4963861819629267,1.1066533286499558,1.991814852044094,0.4963861819629267,0.8851615233941381,2.6932772391001225,0.0,0.43938194901810407,-0.43938194901810407,0.0,-1.0,1.7998543902397843,1.7998543902397843,1,1
10.4,0.5800000000000001,1.5001900944194106,1.191089660939199,2.1083009063998626,0.5001900944194106,0.9172112454606636,2.655427412024183,0.0,0.45877997946951454,-0.45877997946951454,0.0,-1.0,1.7700606222519162,1.7700606222519164,1,1
11.2,0.5800000000000001,1.5018904005970815,1.263616892757297,2.1820845969915874,0.5018904005970815,0.9184677042342904,2.5935486683477555,0.0,0.4609701240136297,-0.4609701240136297,0.0,-1.0,1.7268561456393101,1.7268561456393101,1,1
12.0,0.5800000000000001,1.5025678316156819,1.324701506182844,2.2018192865527517,0.5025678316156819,0.8771177803699077,2.4974553252666944,8.881784197001252e-16,0.4408111809520644,-0.4408111809520635,2.014872712125488e-15,-0.999999999999998,1.6621248456924769,1.6621248456924766,1,1
12.8,0.5800000000000001,1.5279633895732954,1.114287005200122,1.9059510617543045,0.5279633895732954,0.7916640565541826,2.6135308328000324,-4.440892098500626e-16,0.41796963870169124,-0.4179696387016917,-1.0624915513708237e-15,-1.000000000000001,1.710466919976333,1.7104669199763332,1,1
13.6,0.5800000000000001,1.5316419342261165,1.1152775579450587,1.7973430290815122,0.5316419342261165,0.6820654711364535,2.468341565665978,-4.440892098500626e-16,0.3626146063438316,-0.362614606343832,-1.2246864910592617e-15,-1.0000000000000013,1.611565673744198,1.6115656737441981,1,1
14.4,0.5800000000000001,1.5288748624391366,1.195999582362392,1.8917035929440424,0.5288748624391366,0.6957040105816505,2.4182099334225384,0.0,0.3679403628947261,-0.3679403628947261,0.0,-1.0,1.5816925196641498,1.5816925196641498,1,1
