eta,D,xi_target,quartic_target
3.0500000000000003,18.8,0.10314824682398754,0.001219312534820911
3.0500000000000003,19.200000000000003,0.10148697541998947,0.0011885957800240098
3.0500000000000003,19.6,0.0,0.0
3.0500000000000003,20.0,0.0,0.0
4.0,4.0,0.12892685506258442,0.0016170964918195388
4.0,4.4,0.09731526271659117,0.001113169051651089
4.0,4.8,0.12149292327427763,0.001501846684845862
4.0,5.2,0.1399087119371718,0.0017436711519542437
4.0,5.6,0.14023510914933818,0.0017349896527242528
4.0,6.0,0.14230574474875554,0.0017463606725997675
4.0,6.4,0.13486133705594022,0.0017274499598828247
4.0,6.800000000000001,0.11600654323877055,0.0014509664511883414
4.0,7.2,0.08818997225009122,0.0009584076721301225
4.0,7.6,0.08642620760017802,0.000926321316654277
4.0,8.0,0.0844543266507993,0.0008908613158954339
4.0,8.4,0.10040767695339507,0.0011754530668058982
4.0,8.8,0.1283127510514423,0.0016843678975095476
4.0,9.2,0.1484792926503327,0.0020320795284707125
4.0,9.6,0.14741767427457422,0.002017242263190488
4.0,10.0,0.1475916073894287,0.002021786874968447
4.0,10.4,0.14505261660510804,0.001980873348992579
4.0,10.8,0.14294101295298065,0.0019458395262874414
4.0,11.2,0.140657518093121,0.0019070913853624877
4.0,11.6,0.1373745164739503,0.0018502431010665843
4.0,12.0,0.13324067642316678,0.0017771167430768176
4.0,12.4,0.13875786744862265,0.0018805500492064967
4.0,12.8,0.143522468741783,0.001970390467426629
4.0,13.2,0.13666100613897325,0.001848582422237168
4.0,13.6,0.1317203667333817,0.0017572896864681109
4.0,14.0,0.12575394057928202,0.0016459562424462988
4.0,14.4,0.12723021681216132,0.0016734134211805684
4.0,14.8,0.131991581237866,0.001761503411711681
4.0,15.2,0.13560077224876693,0.0018273387243426852
4.0,15.6,0.132510549197403,0.001770473252292498
4.0,16.0,0.12807221186494447,0.0016883353364619443
4.0,16.4,0.1261238170061629,0.001652039999324583
4.0,16.8,0.12393879974464363,0.0016111555411752532
4.0,17.200000000000003,0.12315793075499626,0.0015970875709590555
4.0,17.6,0.12289744210509042,0.0015924668641157916
4.0,18.0,0.10707160549955172,0.001292457640191751
4.0,18.4,0.10502599838695137,0.0012542352936231239
4.0,18.8,0.10314824682398754,0.001219312534820911
4.0,19.200000000000003,0.10148697541998947,0.0011885957800240098
4.0,19.6,0.0,0.0
4.0,20.0,0.0,0.0
