D,eta,C_uv_ee,C_uv_mumu,C_uv_tautau,C_match_ee,C_match_mumu,C_match_tautau,C_ir_ee,C_ir_mumu,C_ir_tautau,delta_C_match_mumu,abs_delta_C_match_mumu,delta_C_rge_mumu,abs_delta_C_rge_mumu,delta_C_mumu,abs_delta_C_mumu,rel_delta_C_mumu,mu_match,mu_low,log_ratio,finite_fac_diag,finite_fac_offdiag,kappa_diag,kappa_offdiag,mu_mumu_uv_tree,mu_mumu_uv_rge,delta_mu_mumu,abs_delta_mu_mumu,chi2_uv_tree,chi2_uv_rge
8.8,0.39,2.203850912315937e-05,5.8911572007886036e-05,6.891807906732307e-06,2.203850912315937e-05,5.8911572007886036e-05,6.891807906732307e-06,2.216051936887186e-05,5.923771999438653e-05,6.929962537401949e-06,0.0,0.0,3.261479865004918e-07,3.261479865004918e-07,3.261479865004918e-07,3.261479865004918e-07,0.005536229562111038,1.5482467554553723,1.0,0.43712316521321565,1.0,1.0,0.0,0.0,1.5837658787350437,1.583770999156378,5.120421334270375e-06,5.120421334270375e-06,0.21106186367039265,0.21107362581833441
9.600000000000001,0.39,1.092375175244456e-05,4.390709262012292e-05,3.8727558747297e-06,1.092375175244456e-05,4.390709262012292e-05,3.8727558747297e-06,1.098420660432638e-05,4.415008576396811e-05,3.8941887018468884e-06,0.0,0.0,2.429931438451867e-07,2.429931438451867e-07,2.429931438451867e-07,2.429931438451867e-07,0.005534257208682072,1.5480056645464257,1.0,0.4369674344285572,1.0,1.0,0.0,0.0,1.0000000045016861,1.0000000045016861,0.0,0.0,0.999999977491569,0.999999977491569
10.4,0.39,7.393924977609081e-06,3.0161262238123362e-05,2.074106726176187e-06,7.393924977609081e-06,3.0161262238123362e-05,2.074106726176187e-06,7.433317493458982e-06,3.0321951994155006e-05,2.085156917019711e-06,0.0,0.0,1.60689756031644e-07,1.60689756031644e-07,1.60689756031644e-07,1.60689756031644e-07,0.005327686711616952,1.5229622419775668,1.0,0.42065728173279693,1.0,1.0,0.0,0.0,0.494136821820134,0.4939376799504639,-0.00019914186967012748,0.00019914186967012748,5.128675609888296,5.130930798834674
11.2,0.39,4.5484001268541855e-06,1.6536009818647982e-05,7.882497961443068e-07,4.5484001268541855e-06,1.6536009818647982e-05,7.882497961443068e-07,4.571735104330847e-06,1.662084567431376e-05,7.922938095833206e-07,0.0,0.0,8.483585566577696e-08,8.483585566577696e-08,8.483585566577696e-08,8.483585566577696e-08,0.005130370421654316,1.499419168235305,1.0,0.40507781194222237,1.0,1.0,0.0,0.0,0.1509842901242708,0.1508633652710151,-0.00012092485325571056,0.00012092485325571056,9.75025152197732,9.75213957638783
12.0,0.39,2.5104965993081243e-06,8.248753787970803e-06,4.859945413114452e-07,2.5104965993081243e-06,8.248753787970803e-06,4.859945413114452e-07,2.5229182257353597e-06,8.289567600693216e-06,4.883991821460553e-07,0.0,0.0,4.0813812722412607e-08,4.0813812722412607e-08,4.0813812722412607e-08,4.0813812722412607e-08,0.004947876221245879,1.4779687035454037,1.0,0.3906686474340275,1.0,1.0,0.0,0.0,0.0376362558868832,0.03759241997884533,-4.3835908037866134e-05,4.3835908037866134e-05,11.600218570461934,11.600965088119365
12.8,0.39,6.983515495422483e-07,2.0544844793919163e-06,2.0486821487485844e-07,6.983515495422483e-07,2.0544844793919163e-06,2.0486821487485844e-07,7.023868311894455e-07,2.0663558979053798e-06,2.060520039680744e-07,0.0,0.0,1.1871418513463453e-08,1.1871418513463453e-08,1.1871418513463453e-08,1.1871418513463453e-08,0.00577829554447505,1.5781226258875372,1.0,0.4562359290923607,1.0,1.0,0.0,0.0,0.0023367745493400095,0.0023379087207684554,1.1341714284459486e-06,1.1341714284459486e-06,12.209140573607137,12.209120758743964
13.600000000000001,0.39,2.2308607568785155e-07,5.646392292233263e-07,8.932341636925492e-08,2.2308607568785155e-07,5.646392292233263e-07,8.932341636925492e-08,2.2438476987162757e-07,5.67926272938014e-07,8.984341207475144e-08,0.0,0.0,3.287043714687694e-09,3.287043714687694e-09,3.287043714687694e-09,3.287043714687694e-09,0.00582149369821345,1.5835144599575646,1.0,0.4596467185984162,1.0,1.0,0.0,0.0,0.00017653042841850365,0.00017663129301888746,1.0086460038380299e-07,1.0086460038380299e-07,12.246910912271375,12.246909147363503
14.4,0.39,1.1122352952993848e-07,2.8076330567315e-07,4.0614049165844645e-08,1.1122352952993848e-07,2.8076330567315e-07,4.0614049165844645e-08,1.1185076907395115e-07,2.823466563235941e-07,4.0843090069212445e-08,0.0,0.0,1.5833506504440853e-09,1.5833506504440853e-09,1.5833506504440853e-09,1.5833506504440853e-09,0.0056394500935508275,1.5609164733916419,1.0,0.4452731317042589,1.0,1.0,0.0,0.0,4.364861930951052e-05,4.365775222628263e-05,9.132916772111208e-09,9.132916772111208e-09,12.249236161069593,12.249236001248535
15.200000000000001,0.39,4.967906467417178e-08,1.4746213051809e-07,1.1722195801798306e-08,4.967906467417178e-08,1.4746213051809e-07,1.1722195801798306e-08,4.995071224231324e-08,1.4826846069783316e-07,1.1786293344771817e-08,0.0,0.0,8.063301797431642e-10,8.063301797431642e-10,8.063301797431642e-10,8.063301797431642e-10,0.005468049165641528,1.5399344597018174,1.0,0.4317398568847099,1.0,1.0,0.0,0.0,1.2040756467758798e-05,1.2039170906295493e-05,-1.5855614633047288e-09,1.5855614633047288e-09,12.249789287667937,12.249789315415024
16.0,0.39,2.014885349131409e-08,5.638859699236765e-08,5.185910129539417e-09,2.014885349131409e-08,5.638859699236765e-08,5.185910129539417e-09,2.0255724370202037e-08,5.6687685916828316e-08,5.213416546895457e-09,0.0,0.0,2.9908892446066885e-10,2.9908892446066885e-10,2.9908892446066885e-10,2.9908892446066885e-10,0.005304067496149112,1.520124718640573,1.0,0.4187923832293445,1.0,1.0,0.0,0.0,1.7606596685161319e-06,1.7598536591828945e-06,-8.060093332373135e-10,8.060093332373135e-10,12.249969188475172,12.249969202580317
