D,eta,C_uv_ee,C_uv_mumu,C_uv_tautau,C_match_ee,C_match_mumu,C_match_tautau,C_ir_ee,C_ir_mumu,C_ir_tautau,delta_C_match_mumu,abs_delta_C_match_mumu,delta_C_rge_mumu,abs_delta_C_rge_mumu,delta_C_mumu,abs_delta_C_mumu,rel_delta_C_mumu,mu_match,mu_low,log_ratio,finite_fac_diag,finite_fac_offdiag,kappa_diag,kappa_offdiag,finite_match_mode,kappa_diag_eff,kappa_offdiag_eff,shell_spread,coeff_cv,offdiag_mix,mu_mumu_uv_tree,mu_mumu_uv_rge,delta_mu_mumu,abs_delta_mu_mumu,chi2_uv_tree,chi2_uv_rge
10.4,0.39,7.422066720531848e-06,2.9967975391542694e-05,2.1099882180731836e-06,7.424389319091712e-06,2.997735331538888e-05,2.1106484998762387e-06,7.463944139408908e-06,3.0137063262296724e-05,2.1218933738419236e-06,9.377923846184993e-09,9.377923846184993e-09,1.5970994690784463e-07,1.5970994690784463e-07,1.6908787075402962e-07,1.6908787075402962e-07,0.005642285424518473,1.5229622419775668,1.0,0.42065728173279693,1.0003129315118442,1.0,0.0,0.0,input_tied,0.04941616362460523,0.0,0.12533762689732517,0.5770575795275351,1.8818072713823108e-28,0.49525459895960533,0.4950793552930063,-0.00017524366659904533,0.00017524366659904533,5.116026504398401,5.118008582605756
11.2,0.39,4.558509357281854e-06,1.6473383521677937e-05,7.956065756958455e-07,4.5600474385369044e-06,1.6478941786543947e-05,7.958750203703131e-07,4.583442171036914e-06,1.6563484862065794e-05,7.999581540341545e-07,5.558264866010516e-09,5.558264866010516e-09,8.454307552184712e-08,8.454307552184712e-08,9.010134038785764e-08,9.010134038785764e-08,0.005469510272087695,1.499419168235305,1.0,0.40507781194222237,1.0003374088182124,1.0,0.0,0.0,input_tied,0.05328146491513478,0.0,0.1353663151635882,0.574437919825029,2.5787377706660896e-28,0.1521116714309366,0.15200486197496083,-0.0001068094559757704,0.0001068094559757704,9.732658003618067,9.734324153338353
12.0,0.39,2.51049659930808e-06,8.248753787970822e-06,4.859945413114452e-07,2.511401115297368e-06,8.25172576160145e-06,4.861696420598167e-07,2.523827217157758e-06,8.292554279281518e-06,4.885751492712561e-07,2.97197363062756e-09,2.97197363062756e-09,4.082851768006888e-08,4.082851768006888e-08,4.380049131069644e-08,4.380049131069644e-08,0.005309952562115602,1.4779687035454037,1.0,0.3906686474340275,1.000360293652474,1.0,0.0,0.0,input_tied,0.05689529309027496,0.0,0.14464355018632655,0.5733931590308378,3.6558280252297734e-28,0.03820530122599985,0.038166324254389546,-3.8976971610302225e-05,3.8976971610302225e-05,11.590530010056062,11.591193502467503
12.8,0.39,6.987844538077155e-07,2.0493996179638756e-06,2.0546948193091949e-07,6.989552203588203e-07,2.0499004432222056e-06,2.0551969385906905e-07,7.029939901944072e-07,2.061745373819894e-06,2.0670724739039677e-07,5.008252583299738e-10,5.008252583299738e-10,1.1844930597688228e-08,1.1844930597688228e-08,1.2345755856018201e-08,1.2345755856018201e-08,0.006024084199002626,1.5781226258875372,1.0,0.4562359290923607,1.0002443765744562,1.0,0.0,0.0,input_tied,0.038590401836418806,0.0,0.10063809092004923,0.5338288508305074,6.464043983609658e-28,0.0023602904960522697,0.002361230975119047,9.40479066777189e-07,9.40479066777189e-07,12.208729734889243,12.208713304258652
13.600000000000001,0.39,2.2326970559833704e-07,5.62447153419074e-07,8.964636729611575e-08,2.233226815786042e-07,5.625806072130896e-07,8.966763800175033e-08,2.246227531620822e-07,5.658556666727178e-07,9.018963759131121e-08,1.3345379401569337e-10,1.3345379401569337e-10,3.2750594596281188e-09,3.2750594596281188e-09,3.408513253643812e-09,3.408513253643812e-09,0.006060148465369087,1.5835144599575646,1.0,0.4596467185984162,1.0002372734810807,1.0,0.0,0.0,input_tied,0.03746872629016286,0.0,0.09808481357269962,0.5280133560081189,1.1763521087855689e-27,0.0001778032087379348,0.0001778868192344341,8.361049649930675e-08,8.361049649930675e-08,12.246888641434467,12.24688717843665
14.4,0.39,1.1131341964120475e-07,2.7940829939367144e-07,4.07869702735668e-08,1.113424262015047e-07,2.794811088869993e-07,4.079759872893639e-08,1.1197033625736296e-07,2.810572286526578e-07,4.1027674750904935e-08,7.280949332786908e-11,7.280949332786908e-11,1.5761197656584873e-09,1.5761197656584873e-09,1.6489292589863564e-09,1.6489292589863564e-09,0.00590150422362044,1.5609164733916419,1.0,0.4452731317042589,1.0002605845763561,1.0,0.0,0.0,input_tied,0.04114986690657334,0.0,0.10740742647090296,0.532477530041965,1.7068915022087403e-27,4.388000394344511e-05,4.388679464833972e-05,6.79070489460553e-09,6.79070489460553e-09,12.249232111965078,12.249231993131469
15.200000000000001,0.39,4.9709616392691525e-08,1.4671605106442872e-07,1.1770674642156241e-08,4.9723665641287736e-08,1.4675751688983714e-07,1.177400134524094e-08,4.999555708971022e-08,1.4755999420761824e-07,1.1838382163473048e-08,4.146582540842061e-11,4.146582540842061e-11,8.024773177811053e-10,8.024773177811053e-10,8.439431431895259e-10,8.439431431895259e-10,0.00575222095378588,1.5399344597018174,1.0,0.4317398568847099,1.0002826263732398,1.0,0.0,0.0,input_tied,0.044630567955080934,0.0,0.11619019864791928,0.5364658456371497,2.4990014045148525e-27,1.2098907640248965e-05,1.2097188611144906e-05,-1.7190291040594961e-09,1.7190291040594961e-09,12.24978827003119,12.249788300113941
16.0,0.39,2.015482472120821e-08,5.614789054568101e-08,5.199793552793773e-09,2.0160957863670673e-08,5.6164976430398285e-08,5.201375857531017e-09,2.02678929449666e-08,5.646287925630474e-08,5.2289643061522015e-09,1.7085884717274383e-11,1.7085884717274383e-11,2.9790282590645227e-10,2.9790282590645227e-10,3.1498871062372666e-10,3.1498871062372666e-10,0.005609982985335076,1.520124718640573,1.0,0.4187923832293445,1.0003043014537363,1.0,0.0,0.0,input_tied,0.04805335947285111,0.0,0.12459912372608362,0.5426548128377121,4.0658337962802256e-27,1.7719761214311387e-06,1.7712232704158102e-06,-7.528510153285657e-10,7.528510153285657e-10,12.249968990437496,12.249969003612371
16.8,0.39,9.525971967553443e-09,2.465308211878383e-08,2.2010619034430794e-09,9.52906550130925e-09,2.4661088140844248e-08,2.2017766923717172e-09,9.578107767600988e-09,2.4788008839571853e-08,2.2131083511631693e-09,8.006022060418304e-12,8.006022060418304e-12,1.2692069872760558e-10,1.2692069872760558e-10,1.3492672078802389e-10,1.3492672078802389e-10,0.0054730163205524585,1.5013415333766713,1.0,0.40635906399495303,1.0003247473083423,1.0,0.0,0.0,input_tied,0.05128203941852091,0.0,0.13268580337603814,0.5459691425520503,6.177732446708047e-27,3.416122381270675e-07,3.413740879113628e-07,-2.381502157046891e-10,2.381502157046891e-10,12.249994021786561,12.249994025954187
17.6,0.39,3.484410888318046e-09,7.139226485334225e-09,8.222198924376402e-10,3.485311409687385e-09,7.141071567965596e-09,8.224323893581148e-10,3.504935527408181e-09,7.181279518598895e-09,8.270631118758501e-10,1.8450826313710803e-12,1.8450826313710803e-12,4.020795063329938e-11,4.020795063329938e-11,4.205303326467046e-11,4.205303326467046e-11,0.005890418710074266,1.559816346703205,1.0,0.44456808785883606,1.000258442932881,1.0,0.0,0.0,input_tied,0.04081167212466809,0.0,0.10702376707827714,0.5253311760113416,1.0452097502090277e-26,5.6207073804593766e-08,5.5558085031658675e-08,-6.489887729350915e-10,6.489887729350915e-10,12.249999016376224,12.249999027733528
