D,eta,coeff_l1,coeff_l2,tree_diag_susceptibility_parented,coeff_participation_access_parented,tree_diag_compressibility_parented,stationarity_s_part,stationarity_s_schur,stationarity_response_action,stationarity_response_weight,stationarity_score_alpha,stationarity_score_beta,stationarity_cross_xi,stationarity_lambda_quartic_density,eymh_parented_prefactor_diag
4.0,0.5800000000000001,0.5356450572479634,0.3828319392326664,0.8369138974474974,0.8454063990812368,0.7378287946052653,0.33587564316797797,0.6080869338484299,0.943962577016408,0.6237651843856867,-0.16793782158398898,-0.30404346692421497,0.1299796954955477,0.00164336222834576,0.0433252408187335
4.8,0.5800000000000001,0.5496746608125175,0.3964528123674694,0.7723830027087453,0.8492643482179081,0.751140556840512,0.32676955384061085,0.5723249703111746,0.8990945241517854,0.637916895425194,-0.16338477692030542,-0.2861624851555873,0.1214758961842552,0.001501234172260347,0.0392193376908345
5.6,0.5800000000000001,0.5468235269197911,0.3979744128181384,1.0623496921769922,0.8531079310826909,0.6963359975572991,0.31773841666217256,0.7238459600508301,1.0415843767130026,0.5940497622145092,-0.15886920833108628,-0.36192298002541506,0.1402181564168067,0.0017345793301445504,0.0448967538721383
6.4,0.5800000000000001,0.5249813542953385,0.3726556016746358,0.8684127919784018,0.8425232366357835,0.7315829644608279,0.34270807311871954,0.625089296110498,0.9677973692292176,0.616375647085138,-0.17135403655935977,-0.312544648055249,0.1348599001590933,0.0017274147326376457,0.0493701311782508
7.2,0.5800000000000001,0.5085809002029982,0.3470601178765843,0.3844355019083825,0.8260804264205999,0.8498917943607538,0.3821262833064535,0.32529247670651545,0.7074187600129689,0.7020789758969003,-0.19106314165322674,-0.16264623835325773,0.08818995535945838,0.0009584074706937831,0.0543924294753566
8.0,0.5800000000000001,0.5340456094429403,0.3605063293895042,0.3511645674575002,0.8216129437133111,0.8602919835728869,0.392971732431408,0.30096686314919596,0.6939385955806039,0.7068270290762831,-0.196485866215704,-0.15048343157459798,0.08445432275577985,0.0008908612589718808,0.0579949944055722
8.8,0.5800000000000001,0.4659139786380728,0.3128373898256255,0.6407998239295466,0.8194198051653918,0.7806784651728916,0.39831748767027503,0.4951838204683407,0.8935013081386157,0.6397033958287881,-0.19915874383513751,-0.24759191023417035,0.12831275155289246,0.0016843679039787608,0.0457081664657773
9.6,0.5800000000000001,0.4654103913734991,0.3110229143943203,0.7998543902397842,0.8174819183912112,0.7453861418589435,0.4030529892624549,0.5877057673187668,0.9907587565812217,0.6093396931890727,-0.20152649463122746,-0.2938528836593834,0.1474176743238172,0.0020172422641406306,0.0411393810761781
10.4,0.5800000000000001,0.4844721640985175,0.3229405166056728,0.7700606222519164,0.8164448486968443,0.7516331564479105,0.4055918296915858,0.5710137958590645,0.9766056255506503,0.6136670186916457,-0.2027959148457929,-0.28550689792953227,0.1450526169944307,0.001980873361634691,0.0443592616451587
11.2,0.5800000000000001,0.5036498001505556,0.3353439105478855,0.7268561456393101,0.815982564850183,0.7609776816437596,0.4067245817029342,0.546302498439377,0.9530270801423111,0.6209445204614209,-0.2033622908514671,-0.2731512492196885,0.14065751939166984,0.0019070914306402724,0.0459252717726018
12.0,0.5800000000000001,0.5221459156266853,0.3475023919986574,0.6621248456924772,0.8157986017016879,0.7756542550671517,0.40717553224224756,0.5080968113572327,0.9152723435994803,0.6327776566877467,-0.20358776612112378,-0.25404840567861636,0.13324068086102867,0.001777116777295576,0.0457444390761541
12.8,0.5800000000000001,0.4340747133918953,0.284087116454483,0.7104669199763329,0.8089906937597835,0.7646147300000984,0.42393573075394975,0.5367663858602256,0.9607021166141754,0.6185662008817291,-0.21196786537697487,-0.2683831929301128,0.14352251695019655,0.001970391224507845,0.0392926695816402
13.6,0.5800000000000001,0.4287141058671819,0.2799049152984935,0.611565673744198,0.8080186332269031,0.7877274793646933,0.4263403196051111,0.4772061746196338,0.9035464942247449,0.6364984812315331,-0.21317015980255555,-0.2386030873098169,0.1317216232219222,0.0017573121023403333,0.0396207147568535
14.4,0.5800000000000001,0.4446009015160165,0.2908026761632466,0.5816925196641498,0.8087495088801958,0.7951315197700586,0.4245320808501668,0.458495488674833,0.8830275695249998,0.6430622261091986,-0.2122660404250834,-0.2292477443374165,0.12721912480271705,0.0016732114002880195,0.0396859720081252
