D,eta,C_uv_ee,C_uv_mumu,C_uv_tautau,C_match_ee,C_match_mumu,C_match_tautau,C_ir_ee,C_ir_mumu,C_ir_tautau,delta_C_match_mumu,abs_delta_C_match_mumu,delta_C_rge_mumu,abs_delta_C_rge_mumu,delta_C_mumu,abs_delta_C_mumu,rel_delta_C_mumu,mu_match,mu_low,log_ratio,finite_fac_diag,finite_fac_offdiag,kappa_diag,kappa_offdiag,finite_match_mode,kappa_diag_eff,kappa_offdiag_eff,shell_spread,coeff_cv,offdiag_mix,gap_cv,gap_asym,g_col_norm_cv,c_tree_diag_cv,pkin_entropy,action_norm_diag,action_norm_offdiag,mu_mumu_uv_tree,mu_mumu_uv_rge,delta_mu_mumu,abs_delta_mu_mumu,chi2_uv_tree,chi2_uv_rge
20.0,0.2,0.0,0.0,0.0,1e-30,1e-30,1e-30,1.0055641423643005e-30,1.0055641423643005e-30,1.0055641423643005e-30,1e-30,1e-30,5.564142364300414e-33,5.564142364300414e-33,1.0055641423643005e-30,1.0055641423643005e-30,1.0055641423643005,1.5516627094173834,1.0,0.43932707173589636,1.0008103337191063,1.0,0.0,0.0,action_normalized,0.12796277184710375,0.0,0.11002090405486509,0.0,0.0,0.3261537967964966,0.9680363122799913,0.0,0.0,-0.0,1.1630768983982482,1.409016545507328,5.6207073804593766e-08,5.5421309149153085e-08,-7.85764655440681e-10,7.85764655440681e-10,12.249999016376224,12.249999030127107
4.0,0.39,0.00016435372048146063,0.0014798793343970764,0.0003418631110110614,0.00016452996823889025,0.0014814663104216522,0.000342229714252455,0.00016504586682330457,0.001486111581921944,0.0003433028064496832,1.586976024575866e-06,1.586976024575866e-06,4.6452715002918196e-06,4.6452715002918196e-06,6.2322475248676856e-06,6.2322475248676856e-06,0.004211321409800476,1.280917082806759,1.0,0.24757629233153006,1.0010723685287641,1.0,0.0,0.0,action_normalized,0.1693416504172998,0.0,0.07718149434815945,0.7288019674564653,2.8776779761078553e-29,0.052928468881864164,0.11177290657100736,0.09029178776792637,0.8803624715424814,0.7587925249630175,1.269127799268534,1.0767321020559757,2.4448817340068487,2.4448541059070115,-2.762809983725134e-05,2.762809983725134e-05,6.823611487882244,6.823250641442127
4.8,0.39,0.00019574823662416805,0.0015684082500680974,0.0001519655378412984,0.00019597529950537523,0.0015702275629891804,0.00015214181392664926,0.00019673900652446605,0.0015763466699095494,0.00015273470380351768,1.8193129210830519e-06,1.8193129210830519e-06,6.119106920369002e-06,6.119106920369002e-06,7.938419841452054e-06,7.938419841452054e-06,0.005061449938883822,1.3602809677586774,1.0,0.30769127235057525,1.0011599740826433,1.0,0.0,0.0,action_normalized,0.18317576497929294,0.0,0.07111786048012514,0.7487615630647682,2.993885844525977e-29,0.3330127461264275,0.9985580509745398,0.1957340473559828,1.029643348812886,0.8335845678317346,1.472850722105431,1.4163259993902102,13.751970835344054,13.751425240220625,-0.000545595123428555,0.000545595123428555,953.5698969824377,953.4856591547443
5.6,0.39,0.0001571487821813237,0.0013021843961999173,5.952962446598845e-05,0.00015741256960224095,0.0013043702220056554,5.9629549937176236e-05,0.00015812641301091957,0.0013102853537375633,5.989996138711752e-05,2.185825805738062e-06,2.185825805738062e-06,5.915131731907934e-06,5.915131731907934e-06,8.100957537645996e-06,8.100957537645996e-06,0.006221052533947197,1.4305484675437201,1.0,0.35805791447458585,1.0016785839333637,1.0,0.0,0.0,action_normalized,0.26507135002120813,0.0,0.1092096338293002,0.7675026961661312,3.3680490616590615e-29,0.04896323098045846,0.10296811348511037,0.28060102967778355,1.114373175876911,0.8789961199519978,1.3732251668789028,1.0711593535980681,57.98141445255387,57.97550224797815,-0.005912204575722058,0.005912204575722058,20009.102884072952,20004.921591318627
6.4,0.39,0.00010403240172801354,0.0006722762677837851,2.7226661152841032e-05,0.00010424917368029498,0.0006736770874959069,2.728339325163115e-05,0.00010476461413462286,0.000677007957293629,2.7418290863926424e-05,1.4008197121217819e-06,1.4008197121217819e-06,3.3308697977220848e-06,3.3308697977220848e-06,4.731689509843867e-06,4.731689509843867e-06,0.007038311088151715,1.4775528482269376,1.0,0.3903872383399466,1.0020836965087876,1.0,0.0,0.0,action_normalized,0.329044163738618,0.0,0.1316552460415761,0.7152920655698475,4.490444037240646e-29,0.23684225745303278,0.6206901777936342,0.28047183716500834,1.0740904721175029,0.9010334801607153,1.4570617060471442,1.309910589913548,59.89388950310497,59.89316723447204,-0.0007222686329342309,0.0007222686329342309,21384.594432509086,21384.066331999456
7.2,0.39,7.600594590530699e-05,0.00012096549319106766,1.75679713156894e-05,7.61640319317178e-05,0.00012121709132491925,1.760451123035419e-05,7.65500874050342e-05,0.00012183150892307676,1.769374387394153e-05,2.515981338515927e-07,2.515981338515927e-07,6.144175981575016e-07,6.144175981575016e-07,8.660157320090943e-07,8.660157320090943e-07,0.007159196471354053,1.4921401916441892,1.0,0.40021145959540433,1.0020799165713663,1.0,0.0,0.0,action_normalized,0.3284472599464735,0.0,0.14069871838435052,0.6301156162653222,8.300514929464497e-29,0.5397550802947837,2.3455123877977533,0.05673892634684577,0.5919365641942181,0.9103279149959648,1.4320464127826578,1.6204236024415644,3.532800267571452,3.533086947137512,0.00028667956605987754,0.00028667956605987754,28.430231133455354,28.437874525302693
8.0,0.39,6.31393068273821e-05,8.591083025389693e-05,1.3492972088047451e-05,6.328041726286507e-05,8.610283291086265e-05,1.352312761656013e-05,6.358690992126144e-05,8.651986376014871e-05,1.3588625593854051e-05,1.9200265696571277e-07,1.9200265696571277e-07,4.1703084928606333e-07,4.1703084928606333e-07,6.090335062517761e-07,6.090335062517761e-07,0.00708913537969388,1.4658274448318904,1.0,0.38241989178356733,1.0022349063138871,1.0,0.0,0.0,action_normalized,0.35292225906500185,0.0,0.1520636193182569,0.605861966287592,9.73259792018171e-29,0.5891268740470006,2.8676826827286432,0.04473497088292337,0.5580450533015735,0.9133806526848448,1.4452584430696245,1.665287061215118,2.326336305231986,2.32640125760022,6.495236823411688e-05,6.495236823411688e-05,5.363118439942793,5.363870563020432
8.8,0.39,2.2146857620247044e-05,5.848230796281681e-05,7.04775033011198e-06,2.2179890683200272e-05,5.856953703132446e-05,7.058262375853421e-06,2.2302683649684997e-05,5.889379143367644e-05,7.097338536675757e-06,8.722906850765287e-08,8.722906850765287e-08,3.242544023519803e-07,3.242544023519803e-07,4.1148347085963316e-07,4.1148347085963316e-07,0.007036033378184311,1.5482467554553723,1.0,0.43712316521321565,1.0014915462735006,1.0,0.0,0.0,action_normalized,0.2355355466459253,0.0,0.11517223325097901,0.5937428251074812,1.2483365522047047e-28,0.1526414316992487,0.36027589124483117,0.08885835383790645,0.738612427037752,0.9135092969048915,1.283188411068539,1.2087482232265034,1.5836854161367002,1.5836127870642138,-7.26290724863965e-05,7.26290724863965e-05,0.21087707563320476,0.21071034733430224
9.600000000000001,0.39,1.0975147121485077e-05,4.357983841062823e-05,3.956029580418546e-06,1.099184457447556e-05,4.3646140237395523e-05,3.9620482348581475e-06,1.1052676269548565e-05,4.3887689203635475e-05,3.983975228863057e-06,6.630182676729682e-08,6.630182676729682e-08,2.4154896623995183e-07,2.4154896623995183e-07,3.0785079300724865e-07,3.0785079300724865e-07,0.007064064582033195,1.5480056645464257,1.0,0.4369674344285572,1.0015213876229319,1.0,0.0,0.0,action_normalized,0.2402479036648268,0.0,0.11485685465158924,0.5829075347227113,1.5205403538262763e-28,0.1066533286499557,0.23877254389671365,0.18728807642891,0.8851615263329561,0.9126874956526076,1.3214390650154444,1.1497013156171452,1.000000004530878,1.0000000045343358,3.4579006324975126e-12,3.4579006324975126e-12,0.9999999773456102,0.9999999773283207
10.4,0.39,7.422066720531848e-06,2.9967975391542694e-05,2.1099882180731836e-06,7.434887965201738e-06,3.0019743552517766e-05,2.1136331159450477e-06,7.474498719016304e-06,3.0179679341328664e-05,2.124893891010102e-06,5.176816097507192e-08,5.176816097507192e-08,1.5993578881089827e-07,1.5993578881089827e-07,2.1170394978597018e-07,2.1170394978597018e-07,0.0070643394163262515,1.5229622419775668,1.0,0.42065728173279693,1.0017274493955197,1.0,0.0,0.0,action_normalized,0.2727878745068847,0.0,0.12533762689732517,0.5770575795275351,1.8818072713823108e-28,0.19108966093919896,0.472461907610346,0.220824975839357,0.9172112450982502,0.911543291725536,1.3800538857040012,1.2559774722814012,0.49525459895960533,0.49525486417447806,2.65214872730013e-07,2.65214872730013e-07,5.116026504398401,5.116023504999637
