q_ss,q_dd,q_sd,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)"
-0.0125,-0.025,-0.025,0.0002570949349869637,0.0008550322066013735,0.0024893800161387425,0.0018702569109443345,0.00024738020297809804,0.007102133728906282,0.02108819784084931,0.9954848287434439
0.0,0.025,0.025,0.00025739338653995474,0.0008652554088797158,0.002593948850363237,0.0019488188756144886,0.00025810670794668145,0.004932305610169483,0.021974028147922958,0.9950753331733476
-0.025,-0.025,-0.025,0.0002569349709169031,0.0008523676973154794,0.0027397266457409586,0.002058340896157418,0.0002722408024639078,0.009579622133909685,0.023208950485933647,0.9950165285662617
0.0125,-0.025,-0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,-0.025,-0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,-0.025,0.0,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,-0.025,0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,-0.025,0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,-0.0125,-0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,-0.0125,-0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,-0.0125,0.0,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,-0.0125,0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,-0.0125,0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,0.0,-0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,0.0,-0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,0.0,0.0,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,0.0,0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,0.0,0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,0.0125,-0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,0.0125,-0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,0.0125,0.0,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,0.0125,0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,0.0125,0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,0.025,-0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,0.025,-0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,0.025,0.0,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,0.025,0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.0125,0.025,0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,-0.025,-0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,-0.025,-0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,-0.025,0.0,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,-0.025,0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,-0.025,0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,-0.0125,-0.025,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,-0.0125,-0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,-0.0125,0.0,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
0.025,-0.0125,0.0125,6.712018140589542e+28,8.390022675736926e+28,1.0207497688907629e+68,1.0207497688907629e+68,999999999999997.9,1.9863082053735097e+68,2.5518744222269075e+69,-0.8705338866142933
