beta,gamma,best_center_D_eff,best_width_D_eff,best_implied_center_D,D,slice_corr_quartic,slice_p95_abs_xi_resid,slice_p95_abs_quartic_resid,slice_mean_quartic_gap
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,4.8,,0.005847653714450174,0.00014801071901667006,0.00014771157639435783
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,5.6,,0.0035161467053672624,8.591228883915989e-05,8.570712158978422e-05
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,6.4,,0.0030980734008251576,7.84552908463809e-05,7.843767739105644e-05
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,7.2,,0.027487768461001566,0.0006905574387502232,0.0006905573380324438
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,8.0,,0.03044586297980638,0.0007580898046545527,0.0007580897761930262
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,8.8,,0.0013564560728357433,3.542429470889449e-05,3.5424291571034506e-05
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,9.6,,0.014135260576320668,0.00036830305010145635,0.00036830304935859723
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,10.4,,0.012710168026721064,0.0003319369496444897,0.00033193693693881463
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,11.2,,0.009866196210316591,0.00025815666913963655,0.0002581566322188112
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,12.0,,0.004895083085334234,0.0001281791324390909,0.00012817894673397708
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,12.8,,0.012238298962629485,0.0003217072857490946,0.00032170546508618943
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,13.6,,0.004185981782635628,0.0001099164109567975,0.00010989767308533971
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,14.4,,0.0010930470166591322,2.862951689196311e-05,2.8582260957202765e-05
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,15.2,,0.0070671963282669115,0.0001855158670258047,0.0001852905256628616
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,16.0,0.785937169119181,0.0009845283262435722,2.5861183632346595e-05,2.473175868913046e-05
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,16.8,0.9881807997210466,0.006003274859151114,0.00015939392093500542,0.00015004150562638392
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,17.6,0.9708358017575922,0.0038359319624696048,9.842341605870815e-05,7.428298364538905e-05
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,18.4,1.0,0.005980045018399674,0.00013876283101141827,0.0001255102132775806
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,19.200000000000003,0.9999999999999998,0.011665389265334378,0.0002889496180756581,9.632335849211787e-05
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,20.0,,3.24171560850055e-05,2.627180021599023e-10,2.6271800215990236e-10
0.6,1.25,13.6,0.4,17.0,4.0,,0.001267546108753903,3.196423923103493e-05,1.9276976145218188e-05
0.6,1.25,13.6,0.4,17.0,4.8,,0.005866013475794241,0.00014848638189303518,0.00014818723927074247
0.6,1.25,13.6,0.4,17.0,5.6,,0.0034964321626040074,8.543667193689213e-05,8.523150468751515e-05
0.6,1.25,13.6,0.4,17.0,6.4,,0.003079073330041482,7.797969157377909e-05,7.796207811845094e-05
0.6,1.25,13.6,0.4,17.0,7.2,,0.027504449044291016,0.0006910330303988981,0.0006910329296811161
