p_part,p_tree,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)",part_anchor_leak,tree_anchor_leak,part_onset_residual,tree_onset_residual
-0.5,2.0,0.03288771806904083,0.11980197819140737,0.0032219653327389963,0.0025076784872837266,0.00037861555326212937,0.0032996281254358134,0.03039810994942732,0.9884103974663466,0.0,0.0,0.061001562081836436,0.03608351609907867
-1.0,0.0,0.03287498442663278,0.11980197819140737,0.008083238505853796,0.005831632964951705,0.0009204591570358689,0.012305978249263902,0.0750316230719563,0.9903709428712476,0.0,0.0,0.06273885042910332,0.0644980044279464
0.0,2.0,0.03289016345273214,0.11980197819140737,0.004780524705690237,0.003479258966402554,0.0005059777901542661,0.0033823992206105736,0.04217562065454017,0.9913397622273119,0.0,0.0,0.06462693444545098,0.02250759260210733
0.5,2.0,0.0328928535009639,0.11980197819140737,0.0065132268788659076,0.004740317101914471,0.0006896881299627289,0.0049015571945980494,0.057462183126682914,0.9934777842625123,0.0,0.0,0.06831280036935206,0.008434366076566974
2.0,-0.5,0.032884906471007835,0.11980197819140737,0.0051082988156618825,0.0037178124895573816,0.0005392487600114348,0.004443228734726545,0.04506736944230316,0.9867088261531928,0.0,0.0,0.06933643703413062,0.022990993307149876
0.75,2.0,0.03289430011631434,0.11980197819140737,0.007451684356495125,0.005423325096777898,0.0007892593260413472,0.006168185401346782,0.06574161457273112,0.9942258148706922,0.0,0.0,0.07017875849587618,0.007663747184638248
1.5,-0.5,0.03288240954024558,0.11980197819140737,0.006004609008025241,0.004370076634140574,0.0006337104383895564,0.005968106315090262,0.05297465155310248,0.9891032940347634,0.0,0.0,0.07170355169162193,0.00884529513776533
1.0,2.0,0.03289582030864489,0.11980197819140737,0.008442263070447709,0.00614422298543893,0.0008944083536770453,0.007656922102226961,0.07448044391880518,0.9947480750538573,0.0,0.0,0.07206025049173537,0.013507910865339534
1.25,-0.5,0.032881255103126936,0.11980197819140737,0.006417202629390939,0.004670223517299732,0.0006771802499095925,0.006942382690189728,0.05661468928006587,0.9899001625772093,0.0,0.0,0.07287244135026713,0.012897170355770371
1.25,2.0,0.03289741888649496,0.11980197819140737,0.009488445389735478,0.0069053692583169735,0.001005525524771289,0.009236399669972762,0.08371021121109967,0.9950366043550879,0.0,0.0,0.07395741568440156,0.020057970068348696
1.0,-0.5,0.0328801581749038,0.11980197819140737,0.006807843544136549,0.004954404349739594,0.000718328402161017,0.007912962036576342,0.060061052950604474,0.9904346620185221,0.0,0.0,0.07403166831992786,0.018436537743785508
0.75,-0.5,0.03287911521712158,0.11980197819140737,0.007177823074748346,0.005223620724729372,0.0007572923179497426,0.00882995140478411,0.06332513503983742,0.9907116095165485,0.0,0.0,0.07518131847861309,0.02379549619383725
1.5,2.0,0.03289910103147858,0.11980197819140737,0.010593419639564061,0.0077093020820826474,0.0011229550163515123,0.010908747669850588,0.09345866040763892,0.9950842530978943,0.0,0.0,0.0758703946199229,0.02911147282316978
0.5,-0.5,0.032878122940513815,0.11980197819140737,0.0075283522235762845,0.005478716358512603,0.0007942007811851948,0.009696854564841526,0.06641761941201975,0.990736871919949,0.0,0.0,0.07632147695974378,0.030712712212962234
0.0,-0.5,0.032876278404486696,0.11980197819140737,0.008175532510883876,0.005949698204430476,0.0008736894424266062,0.011293173185424407,0.07212725848532246,0.9900605809860364,0.0,0.0,0.07857365573787897,0.04436246126815435
