D,eta,C_tree_mumu,coeff_1,coeff_2,coeff_3,g_mu1_sq,g_mu2_sq,g_mu3_sq,mu_contrib_1,mu_contrib_2,mu_contrib_3,mu_share_1,mu_share_2,mu_share_3,y2_raw,p2_kin,m2_2,coeff2_kin_over_m2,C_tree_mumu_single_layer_pred,abs_single_layer_residual
5.6,0.5800000000000001,0.001302179565397,0.1006143390964511,0.37916398705598553,0.06704520076735444,5.860327639121613e-32,0.00343434400378527,5.860327639121613e-32,5.8963299229888664e-33,0.0013021795653970396,3.9290684312738486e-33,4.528046730015481e-30,1.0000000000000304,3.0173015578508024e-30,0.00343434400378527,0.5591712195938092,1.4747477046422257,0.37916398705598553,0.0013021795653970396,3.968179951296946e-17
6.4,0.5800000000000001,0.0006722757578882,0.12575255434758334,0.34686703183606293,0.05236176811169228,4.4024275081853346e-32,0.0019381367964826934,4.4024275081853346e-32,5.536165044843722e-33,0.0006722757578882074,2.3051888831213576e-33,8.234961591110044e-30,1.000000000000011,3.428933523294934e-30,0.0019381367964826932,0.5291953898895251,1.525643377199464,0.34686703183606293,0.0006722757578882074,7.48099499014998e-18
7.2,0.5800000000000001,0.000120965481726,0.15546127423957895,0.30682067147735004,0.04629895448606924,1.9855847179327196e-32,0.0003942546672087957,1.9855847179327196e-32,3.0868153036045555e-33,0.00012096548172608188,9.193049648380162e-34,2.5518149967744756e-29,1.000000000000677,7.599729705705154e-30,0.0003942546672087958,0.5022682870503503,1.6370092817798572,0.30682067147735004,0.00012096548172608191,8.191147413127986e-17
8.0,0.5800000000000001,8.591082932490227e-05,0.18204724710939807,0.30804498724753165,0.043953375086010577,1.6700015826228804e-32,0.0002788905285962925,1.6700015826228804e-32,3.0401919078483335e-33,8.591082932490229e-05,7.3402205955254745e-34,3.5387761144183226e-29,1.0000000000000002,8.543999229440362e-30,0.0002788905285962925,0.48003903762555483,1.5583406888546971,0.30804498724753165,8.591082932490229e-05,1.3552527156068805e-20
8.8,0.5800000000000001,5.848230792059077e-05,0.1553292502618054,0.2682273448976904,0.04235738347857696,1.4765927312580927e-32,0.00021803260940042338,1.4765927312580927e-32,2.2935804188835107e-33,5.848230792059078e-05,6.2544604559578366e-34,3.921836364593905e-29,1.0000000000000002,1.0694619754833122e-29,0.00021803260940042336,0.46226154764332694,1.7233945622495974,0.2682273448976904,5.848230792059077e-05,0.0
9.6,0.5800000000000001,4.3579838227844995e-05,0.16152502971880522,0.26255859636094836,0.04132676529374543,1.2883376121110573e-32,0.00016598138027800206,1.2883376121110573e-32,2.080987710840931e-33,4.3579838227845015e-05,5.324282611481811e-34,4.7751157311807094e-29,1.0000000000000004,1.2217306965770017e-29,0.00016598138027800206,0.44797458641726845,1.7061889902908467,0.26255859636094836,4.357983822784502e-05,2.710505431213761e-20
10.4,0.5800000000000001,2.9967975434604077e-05,0.17639310594272908,0.26744079980344027,0.04063825835234822,1.058558517133576e-32,0.00011205461341960352,1.058558517133576e-32,1.8672242465932107e-33,2.9967975434604077e-05,4.301797450035289e-34,6.230732038164724e-29,1.0,1.4354648212464813e-29,0.00011205461341960352,0.43655252378287807,1.6323333018138184,0.26744079980344027,2.9967975434604077e-05,0.0
11.2,0.5800000000000001,1.6473385567782725e-05,0.19039183884738808,0.273121922244519,0.040136039058648564,7.766281918616586e-33,6.0315134839430895e-05,7.766281918616586e-33,1.478636695492633e-33,1.647338556778272e-05,3.1170779442607138e-34,8.975912628333227e-29,0.9999999999999998,1.8921902431257573e-29,6.0315134839430895e-05,0.42749712009531826,1.5652244850290382,0.273121922244519,1.6473385567782725e-05,0.0
12.0,0.5800000000000001,8.248759932846803e-06,0.20336907558586384,0.2789492720308704,0.03982756800995114,5.437906249220823e-33,2.957082437531488e-05,5.437906249220823e-33,1.1059019670266309e-33,8.248759932846803e-06,2.1657858097258063e-34,1.3406887532547734e-28,1.0,2.625589576321144e-29,2.9570824375314875e-05,0.42011076660345265,1.5060471875221828,0.2789492720308704,8.248759932846801e-06,1.6940658945086007e-21
12.8,0.5800000000000001,2.0494095611429716e-06,0.1713522438550377,0.22310094880083173,0.03962152073602592,3.0308446065934072e-33,9.186019029316344e-06,3.0308446065934072e-33,5.193420241157193e-34,2.0494095611429716e-06,1.20086672427813e-34,2.5341055978390097e-28,1.0,5.859574128308435e-29,9.186019029316344e-06,0.41412533031433296,1.8562239763670116,0.22310094880083173,2.0494095611429716e-06,0.0
13.6,0.5800000000000001,5.624780701442199e-07,0.1719707785906954,0.21729366560813337,0.03944966166835313,1.608900787690989e-33,2.5885617446326847e-06,1.608900787690989e-33,2.766839211344025e-34,5.624780701442209e-07,6.347059173235636e-35,4.919017039428052e-28,1.0000000000000018,1.1284100678997572e-28,2.5885617446326847e-06,0.4093772873369516,1.883981689899885,0.21729366560813337,5.62478070144221e-07,1.0587911840678754e-21
