D,n,E,omega2,omega_real,omega_imag,S_z,z1,z2,has_bound,has_stable_bound,has_turning_points,is_physical_tunnel
18.0,1,-0.4815333770069206,0.5184666229930794,0.7200462644810258,0.0,12.74575962063224,-8.858409033578459,8.858409033578459,True,True,True,True
18.0,2,-0.481528045045763,0.5184719549542369,0.7200499669844009,0.0,12.745694158173855,-8.858408700459245,8.858408700459245,True,True,True,True
18.0,3,0.005886907717804084,1.005886907717804,1.0029391346027954,0.0,,,,False,False,False,False
18.5,1,-0.4817266732056627,0.5182733267943374,0.7199120271216042,0.0,13.107348697698509,-9.107439216866375,9.107439216866377,True,True,True,True
18.5,2,-0.48172292528890454,0.5182770747110954,0.7199146301549201,0.0,13.107301266178164,-9.107439038492004,9.107439038492005,True,True,True,True
18.5,3,0.005900943086069449,1.0059009430860695,1.0029461316970465,0.0,,,,False,False,False,False
19.0,1,-0.4819099360246091,0.5180900639753909,0.7197847344695433,0.0,13.450886347003166,-9.358408233464466,9.358408233464466,True,True,True,True
19.0,2,-0.48190730135392107,0.518092698646079,0.7197865646468257,0.0,13.450852131916088,-9.35840806888084,9.35840806888084,True,True,True,True
19.0,3,0.005915324219670422,1.0059153242196703,1.002953301116094,0.0,,,,False,False,False,False
19.5,1,-0.4820838908276593,0.5179161091723408,0.7196638862499221,0.0,13.81232142990689,-9.607438676632945,9.607438676632947,True,True,True,True
19.5,2,-0.4820820385994653,0.5179179614005347,0.7196651731190934,0.0,13.812296675432727,-9.607438588489543,9.607438588489545,True,True,True,True
19.5,3,0.005930051495216714,1.0059300514952167,1.0029606430439915,0.0,,,,False,False,False,False
20.0,1,-0.48224920366422824,0.5177507963357717,0.7195490228857042,0.0,14.15571153539295,-9.858407554033857,9.858407554033857,True,True,True,True
20.0,2,-0.4822479014188639,0.5177520985811361,0.7195499277889869,0.0,14.155693699982471,-9.858407472693528,9.858407472693528,True,True,True,True
20.0,3,0.005945125403290553,1.0059451254032905,1.0029681577215153,0.0,,,,False,False,False,False
