D,R_tail,parity,R0,R1,center_mode,center_anchors,tube_radius_min,slab_index,station,R,point_index,z_real,z_imag,dH_dR_abs,s24_interval_L_bound,dH_over_s24_L,H_minus_abs,H_plus_abs,dF_dE_abs_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,4.0,right,63.125,3.0,0.064,-0.064,4.8829631003615234e-05,0.0002640627626675,0.18491676187263126,0.0031542004688071366,0.0031389428274892386,121.82756296101948,0.38612935231982953,8.951597140894085e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,4.0,right,63.125,4.0,-0.064,-0.064,4.496148957775836e-05,0.0002640627626675,0.17026819352932596,0.002796140876414332,0.0027820945176722785,127.18687795284191,0.3574156815809667,1.3834498056389783e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,5.0,left,63.125,0.0,0.0,0.0,4.583936772751055e-05,0.0002640627626675,0.1735926991918589,0.00019289057179528617,0.0002072141907591932,2032.511349010656,0.4347488200575977,0.023002086579445847
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,5.0,left,63.125,1.0,0.064,0.064,4.597681146464455e-05,0.0002640627626675,0.17411319566680894,0.002980635956849127,0.0029662697716376974,124.66146180365432,0.3733934020002337,1.2855473572817243e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,5.0,left,63.125,2.0,-0.064,0.064,4.202515440283865e-05,0.0002640627626675,0.15914835540729189,0.002598788931737072,0.002585659293078551,130.74156966651756,0.34150277548251773,1.6557761471126712e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,5.0,left,63.125,3.0,0.064,-0.064,4.8829631003615234e-05,0.0002640627626675,0.18491676187263126,0.0031542004688071366,0.0031389428274892386,121.82756296101948,0.38612935231982953,8.951597140894085e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,5.0,left,63.125,4.0,-0.064,-0.064,4.496148957775836e-05,0.0002640627626675,0.17026819352932596,0.002796140876414332,0.0027820945176722785,127.18687795284191,0.3574156815809667,1.3834498056389783e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,5.0,mid,63.4375,0.0,0.0,0.0,4.9722757938568776e-05,0.0002640627626675,0.18829901435659144,0.0002072141907591932,0.00022243765157537026,1836.7984882824235,0.42116519439411915,0.021471567940846543
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,5.0,mid,63.4375,1.0,0.064,0.064,4.56082065167984e-05,0.0002640627626675,0.17271729666112334,0.0029662697716376974,0.0029520184827064432,124.05623912289754,0.3697795258363472,1.280568117953764e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,5.0,mid,63.4375,2.0,-0.064,0.064,4.155916652566478e-05,0.0002640627626675,0.15738366934377207,0.002585659293078551,0.0025726749998668517,130.08111084017807,0.33805315459990787,1.5495988253382073e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,5.0,mid,63.4375,3.0,0.064,-0.064,4.841557612260875e-05,0.0002640627626675,0.18334874494807968,0.0031389428274892386,0.0031238144613309356,121.24361433512998,0.38240975494698576,8.951597140894085e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,5.0,mid,63.4375,4.0,-0.064,-0.064,4.448872439541287e-05,0.0002640627626675,0.16847784195695836,0.0027820945176722785,0.002768195458220771,126.55534090838276,0.3538459158724547,6.934329531599543e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,5.0,right,63.75,0.0,0.0,0.0,5.384363402442659e-05,0.0002640627626675,0.20390468341886167,0.00022243765157537026,0.0002379382520459601,1669.2588454278334,0.40857314215073254,0.019935785837281
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,5.0,right,63.75,1.0,0.064,0.064,4.524407315425409e-05,0.0002640627626675,0.17133833145275423,0.0029520184827064432,0.002937880753873774,123.45729323538177,0.3662163107858437,1.2713873735590105e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,5.0,right,63.75,2.0,-0.064,0.064,4.110033286879448e-05,0.0002640627626675,0.1556460761585942,0.0025726749998668517,0.0025598338320775055,129.42696436866387,0.334656421813435,1.4868621276280792e-07
