D,ell,N_target,R,R_tail,n_half,h,parity,seed_E,seed_omega,E_dtn_real,E_dtn_imag,omega_dtn_real,omega_dtn_imag,Gamma_dtn,Gamma_dtn_narrow,rel_Gamma_exact_vs_narrow,S_seed,Gamma_geo_seed,Gamma_dtn_over_geo,root_candidate_count,root_success,root_nfev,guess_E_real,guess_E_imag,residual_abs,seed_dist,dtn_success,dtn_nfev,dtn_status,dtn_residual_abs,m_tail_real,m_tail_imag,m_R_real,m_R_imag,tail_mode,coulomb_order,whittaker_dps,coulomb_A,coulomb_B,coulomb_k_real,coulomb_k_imag,coulomb_next_term_abs,whittaker_kappa_real,whittaker_kappa_imag,whittaker_mu,whittaker_x_abs,whittaker_U_abs,whittaker_U_shift_abs
6.0,1.0,3.0,80.0,800.0,1200.0,0.06666666666666667,even,0.006672556445593471,1.0033307313371764,0.006592640145786632,-0.001565443571383564,1.0032912083668741,-0.0007801541358723475,0.001560308271744695,0.001560308271744695,0.0,11.661869046391255,7.448577889760137e-11,20947733.847151067,5.0,1.0,40.0,0.006672556445593471,-0.0001,2.0246545676757559e-07,0.0015674821179716674,1.0,1802.0,0.0,0.005228316211155603,0.009710876320433954,0.08052105606240365,0.015596661667460189,0.09764194069776841,whittaker,6.0,50.0,0.16,2.0064,0.08175754267137443,-0.00957369510037677,,0.11303144907382744,-0.9652671642422631,1.502131818450032,131.70586789939796,1.9491547797176415e-05,1.4896291363056734e-07
6.0,1.0,3.0,80.0,800.0,1200.0,0.06666666666666667,odd,0.006672556445593471,1.0033307313371764,0.006592640143795618,-0.0015654435342973981,1.0032912083658676,-0.0007801541173908761,0.0015603082347817523,0.0015603082347817523,0.0,11.661869046391255,7.448577889760137e-11,20947733.35090946,5.0,1.0,30.0,0.006672556445593471,-0.001,2.667811195701359e-07,0.0015674820810352424,1.0,1802.0,0.0,0.005228319698319047,0.009710876094903035,0.08052105602286713,0.015596666532554392,0.09764195778536182,whittaker,6.0,50.0,0.16,2.0064,0.0817575426331634,-0.009573694878045451,,0.11303144662412071,-0.9652671652876349,1.502131818450032,131.7058677973024,1.9491547609857698e-05,1.489629123204114e-07
6.0,1.0,3.0,100.0,800.0,1200.0,0.08333333333333333,even,0.0047954511020069385,1.0023948578788735,0.004891380492833471,-0.001309884676897399,1.002442919748639,-0.0006533462659529035,0.001306692531905807,0.001306692531905807,0.0,11.692617169470404,6.997785058507598e-11,18672944.667215638,5.0,1.0,41.0,0.0047954511020069385,-1e-05,8.799700926117861e-08,0.0013133926734967547,1.0,1706.0,0.0,0.002163710853822816,0.009462148870924447,0.06911989693115823,0.018472021456696644,0.07163762657858366,whittaker,6.0,50.0,0.16,2.0064,0.07055180504813077,-0.009283140778636276,,0.14666079956241293,-1.1146210518257782,1.502131818450032,113.85586844585353,2.302390112882758e-05,2.039962541012083e-07
6.0,1.0,3.0,100.0,800.0,1200.0,0.08333333333333333,odd,0.0047954511020069385,1.0023948578788735,0.004891380441855045,-0.0013098846845399567,1.0024429197232148,-0.0006533462697814405,0.001306692539562881,0.001306692539562881,0.0,11.692617169470404,6.997785058507598e-11,18672944.776637033,5.0,1.0,39.0,0.0047954511020069385,-0.0001,1.3291885058389643e-07,0.0013133926773954679,1.0,1706.0,0.0,0.002163709570575462,0.00946214897469018,0.06911989657655979,0.01847201932759934,0.07163761778065139,whittaker,6.0,50.0,0.16,2.0064,0.070551804700001,-0.009283140878605605,,0.14666080251076322,-1.1146210567299937,1.502131818450032,113.85586791447223,2.302390140331377e-05,2.0399625749754898e-07
6.0,1.0,3.0,120.0,800.0,1200.0,0.1,even,0.003689626838555341,1.0018431148830416,0.0034597665381007263,-0.0010622455538093199,1.0017285299205672,-0.000530206299451984,0.001060412598903968,0.001060412598903968,0.0,11.671823592173032,7.290923781707112e-11,14544283.147830147,5.0,1.0,56.0,0.003689626838555341,-0.0001,7.313576527725479e-08,0.0010868308857926124,1.0,1658.0,0.0,0.0010190267536477095,0.009170593883773545,0.05779647736994418,0.00851813788393711,0.05541640678692614,whittaker,6.0,50.0,0.16,2.0064,0.059493406450311474,-0.00892742252619625,,0.19733666284465412,-1.3150750124926933,1.502131818450032,96.25518462451458,2.7491993116493113e-05,2.8913407953833324e-07
6.0,1.0,3.0,120.0,800.0,1200.0,0.1,odd,0.003689626838555341,1.0018431148830416,0.003459766562300614,-0.0010622455933506339,1.0017285299326566,-0.000530206319182127,0.001060412638364254,0.001060412638364254,0.0,11.671823592173032,7.290923781707112e-11,14544283.689054923,5.0,1.0,55.0,0.003689626838555341,-0.0001,1.1673416847821647e-08,0.0010868309193212806,1.0,1658.0,0.0,0.001019026435997721,0.009170594185160216,0.057796477627047024,0.008518136429350284,0.05541640362805859,whittaker,6.0,50.0,0.16,2.0064,0.05949340669798409,-0.00892742282134793,,0.19733666747465253,-1.3150750053442326,1.502131818450032,96.2551850864821,2.7491993634880763e-05,2.8913408354254767e-07
12.0,1.0,3.0,60.0,400.0,1200.0,0.05,even,0.010547238830805607,1.0052597867371427,0.010864884282732787,-0.0032966013702414366,1.0054191026478732,-0.0016394165187231388,0.0032788330374462775,0.0032788330374462775,0.0,14.03688880883854,6.456417475571163e-13,5078409272.405697,5.0,1.0,40.0,0.010547238830805607,-1e-05,1.7563300594713465e-08,0.0033118694460089666,1.0,914.0,0.0,0.005915528220242808,0.015906801109006566,0.10346362260537345,0.03306325955381849,0.11343788011415136,whittaker,6.0,50.0,0.16,2.0064,0.10540133581920508,-0.01563832822714931,,0.11018728017739296,-0.7426552475615429,1.502131818450032,85.24411591081378,6.2262042891438e-05,7.356659615297368e-07
12.0,1.0,3.0,60.0,400.0,1200.0,0.05,odd,0.010547238830805607,1.0052597867371427,0.01086488427999497,-0.003296601373021768,1.005419102646514,-0.001639416520108028,0.003278833040216056,0.003278833040216056,0.0,14.03688880883854,6.456417475571163e-13,5078409276.695659,5.0,1.0,22.0,0.010547238830805607,-0.002,1.3694105049620163e-08,0.003311869448513893,1.0,914.0,0.0,0.005915528159840985,0.01590680112411882,0.10346362259446193,0.03306325915290652,0.11343788004469554,whittaker,6.0,50.0,0.16,2.0064,0.10540133580841196,-0.015638328241939937,,0.1101872802991983,-0.7426552476040565,1.502131818450032,85.24411590400935,6.22620429225506e-05,7.35665961955146e-07
12.0,1.0,3.0,80.0,400.0,1200.0,0.06666666666666667,even,0.006729144715632753,1.003358931148586,0.006675175634685166,-0.0024454331384992983,1.003332776677235,-0.0012186550640745071,0.0024373101281490142,0.0024373101281490142,0.0,14.07270157893736,5.998781429917855e-13,4063008723.727395,5.0,1.0,16.0,0.006729144715632753,-0.002,3.3050085357450314e-09,0.0024460285968420027,1.0,794.0,0.0,0.0017049367721535835,0.01513677408070742,0.08056523793815037,0.021241431856596497,0.07901013651743163,whittaker,6.0,50.0,0.16,2.0064,0.08301864836053542,-0.014728215809291494,,0.16574125199329465,-0.9342350014579348,1.502131818450032,67.4519862019095,8.579616198624419e-05,1.2866754027559352e-06
12.0,1.0,3.0,80.0,400.0,1200.0,0.06666666666666667,odd,0.006729144715632753,1.003358931148586,0.006675175638691525,-0.002445433139232684,1.003332776679232,-0.0012186550644375565,0.002437310128875113,0.002437310128875113,0.0,14.07270157893736,5.998781429917855e-13,4063008724.937806,5.0,1.0,19.0,0.006729144715632753,-0.002,2.6702909508332626e-09,0.0024460285974868133,1.0,794.0,0.0,0.0017049367884931033,0.015136774080602136,0.08056523796299843,0.021241431751952918,0.07901013667867757,whittaker,6.0,50.0,0.16,2.0064,0.08301864838468813,-0.01472821580942359,,0.16574125190119454,-0.9342350012022125,1.502131818450032,67.45198622095305,8.579616195095025e-05,1.286675401855383e-06
