method,D,ell,eta_cap,Nz,zmax,z_cap_frac,z_cap_start,cap_power,N_target,seed_E,seed_omega_real,seed_bound,E_cap_real,E_cap_imag,omega_cap_real,omega_cap_imag,Gamma_cap,Gamma_cap_narrow,Gamma_cap_over_eta,rel_Gamma_exact_vs_narrow,S_seed,Gamma_wkb_seed,rel_Gamma_cap_vs_wkb,candidate_overlap,candidate_seed_dist,candidate_interior_weight,R,n_half,h,parity,seed_omega,E_siegert_real,E_siegert_imag,omega_siegert_real,omega_siegert_imag,Gamma_siegert,Gamma_siegert_narrow,q_R_real,q_R_imag,U_R,Gamma_geo_seed,Gamma_siegert_over_geo,root_success,root_nfev,guess_E_imag,residual_abs
CAP,12.0,1.0,7.5e-05,1201.0,80.0,0.85,68.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287383599654,-5.216503752559366e-07,1.0033587286509411,-2.5995207913191624e-07,5.199041582638325e-07,5.199041582638325e-07,0.0069320554435177,0.0,14.039315646234174,6.413005366883295e-13,810701.8273336758,0.999998906051904,5.216504433366551e-07,0.9357346933950804,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,5e-05,1201.0,80.0,0.875,70.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287381445452,-2.0481263333879178e-07,1.0033587285435632,-1.020635130349092e-07,2.041270260698184e-07,2.041270260698184e-07,0.0040825405213963,0.0,14.039315646234174,6.413005366883295e-13,318300.6610650735,0.9999990936492432,2.048126397113733e-07,0.9615576739850552,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,5.53e-05,1201.0,80.0,0.875,70.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287381559582,-2.26522769287981e-07,1.0033587285492516,-1.128822438289387e-07,2.257644876578774e-07,2.257644876578774e-07,0.004082540463976,0.0,14.039315646234174,6.413005366883295e-13,352040.6321865614,0.9999990571610572,2.2652277791150426e-07,0.9615576744471972,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,6.12e-05,1201.0,80.0,0.875,70.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287381700146,-2.506906553413797e-07,1.0033587285562575,-1.2492573603366205e-07,2.498514720673241e-07,2.498514720673241e-07,0.0040825403932569,0.0,14.039315646234174,6.413005366883295e-13,389600.2209151655,0.9999989486300044,2.5069066703231993e-07,0.961557675016374,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,6.78e-05,1201.0,80.0,0.875,70.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.006728738187426,-2.7772591613725464e-07,1.003358728564936,-1.3839811636186938e-07,2.767962327237387e-07,2.767962327237387e-07,0.0040825403056598,0.0,14.039315646234174,6.413005366883295e-13,431616.0295960019,0.9999991549045364,2.777259320357633e-07,0.9615576757213886,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,7.5e-05,1201.0,80.0,0.875,70.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287382084521,-3.072189258228263e-07,1.0033587285754162,-1.5309525749530298e-07,3.061905149906059e-07,3.061905149906059e-07,0.0040825401998747,0.0,14.039315646234174,6.413005366883295e-13,477451.45399570547,0.9999990856487682,3.0721894734607724e-07,0.9615576765727814,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,5e-05,1201.0,80.0,0.9,72.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287381112501,-1.0639586367623897e-07,1.0033587285269676,-5.301985254687467e-08,1.0603970509374937e-07,1.0603970509374937e-07,0.0021207941018749,0.0,14.039315646234174,6.413005366883295e-13,165350.03126739527,0.999999526486438,1.0639586516466006e-07,0.9798182125882072,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,5.53e-05,1201.0,80.0,0.9,72.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287381152301,-1.1767382447249806e-07,1.0033587285289511,-5.863995654127738e-08,1.1727991308255477e-07,1.1727991308255477e-07,0.0021207940882921,0.0,14.039315646234174,6.413005366883295e-13,182877.2394104755,0.9999990484890074,1.1767382648749125e-07,0.9798182127003956,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,6.12e-05,1201.0,80.0,0.9,72.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287381201323,-1.3022853527893602e-07,1.0033587285313943,-6.489629858981253e-08,1.2979259717962506e-07,1.2979259717962506e-07,0.0021207940715625,0.0,14.039315646234174,6.413005366883295e-13,202388.65937853864,0.9999989432969154,1.3022853801167978e-07,0.9798182128385704,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,6.78e-05,1201.0,80.0,0.9,72.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287381262043,-1.4427278767429273e-07,1.003358728534421,-7.18949183234934e-08,1.4378983664698677e-07,1.4378983664698677e-07,0.0021207940508405,0.0,14.039315646234174,6.413005366883295e-13,224214.99300308753,0.9999985183562246,1.442727913916343e-07,0.9798182130097284,,,,,,,,,,,,,,,,,,,,
