tube_kind,D,R_tail,parity,R0,R1,pad_factor,n_contour,center_real,center_imag,half_re,half_im,half_re_over_box,half_im_over_box,root_gap_abs,delta_F_abs_max,rouche_ratio_from_R0,rouche_ratio_from_R1,rouche_ratio_symmetric,R0_argument_index_round,R1_argument_index_round,R0_argument_index_error,R1_argument_index_error,R0_zero_count_abs,R1_zero_count_abs,R0_boundary_F_abs_min,R1_boundary_F_abs_min,direct_endpoint_index_ok,rouche_pass_from_R0,symmetric_rouche_pass,large_tube_status
segment,6.0,800.0,even,100.0,120.0,96.0,24.0,0.004175573515467049,-0.0011860651153532999,0.010315806977366351,0.009723819561544,103.15806977366351,97.23819561544,0.0014528742721478672,1.9873306638706594,1.0474780532948538,1.9771099731153472,1.9771099731153472,-1.0,0.0,0.0,0.0,1.0,0.0,1.8972527945759712,1.0051695104947589,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,800.0,odd,60.0,80.0,96.0,24.0,0.00831315202554045,-0.0017850700555579499,0.01132051188174485,0.00981962652126065,113.20511881744851,98.1962652126065,0.0034689462054441032,4.623687706829155,1.0272489883337452,2.2037236581058726,2.2037236581058726,-1.0,-1.0,0.0,0.0,1.0,1.0,4.50103894901764,2.098125003024776,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,6.0,800.0,odd,80.0,100.0,96.0,24.0,0.0057420102928253,-0.0014376641094186,0.0104506298509703,0.0097277794248787,104.506298509703,97.277794248787,0.0017203473193330302,3.9085661530155886,1.5763924638010687,1.5924174382967082,1.5924174382967082,0.0,0.0,0.0,0.0,0.0,0.0,2.4794372231335573,2.4544859023876895,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,800.0,odd,100.0,120.0,96.0,24.0,0.0041755735020778005,-0.0011860651389452499,0.0103158069397772,0.009723819545594651,103.158069397772,97.23819545594651,0.0014528741926326115,1.9873304097432205,1.0474780109285728,1.9771096815957379,1.9771096815957379,-1.0,0.0,0.0,0.0,1.0,0.0,1.897252628703378,1.0051695301695318,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,12.0,400.0,even,60.0,80.0,96.0,24.0,0.008770029958708899,-0.0028710172543703,0.011694854324023802,0.010025584115871101,116.94854324023801,100.25584115871101,0.004275294833605279,5.408527267733911,1.6486351158969066,3.916840194904771,3.916840194904771,-1.0,-1.0,0.0,0.0,1.0,1.0,3.2806090417354183,1.3808394007929157,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,12.0,400.0,even,80.0,100.0,96.0,24.0,0.005579052133979,-0.00217692756475715,0.0106961235007061,0.00986850557374205,106.96123500706099,98.6850557374205,0.002257061781990686,15.477296336501551,9.260169241317074,13.369065977964699,13.369065977964699,0.0,0.0,0.0,0.0,0.0,0.0,1.6713837439865424,1.1576946633378653,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,12.0,400.0,even,100.0,120.0,96.0,24.0,0.0040231080526733996,-0.0017801294516848,0.010059820580599501,0.0097282925393303,100.59820580599501,97.282925393303,0.0009547647710104889,2.547831422871665,2.509741490963345,4.302602220247565,4.302602220247565,0.0,0.0,0.0,0.0,0.0,0.0,1.0151768347638463,0.5921605792145636,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,12.0,400.0,odd,60.0,80.0,96.0,24.0,0.0087700299593432,-0.00287101725612715,0.0116948543206517,0.01002558411689455,116.948543206517,100.2558411689455,0.004275294827403607,5.408527115629061,1.648635070385365,3.916840070244097,3.916840070244097,-1.0,-1.0,1.1102230246251565e-16,0.0,1.0,1.0,3.2806090400374837,1.38083940590712,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,12.0,400.0,odd,80.0,100.0,96.0,24.0,0.00557905213601235,-0.00217692756527135,0.01069612350267915,0.009868505573961251,106.9612350267915,98.68505573961251,0.002257061785927775,15.477296430506232,9.26016921126496,13.369065963388804,13.369065963388804,0.0,0.0,0.0,0.0,0.0,0.0,1.6713837595622076,1.1576946716315724,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,12.0,400.0,odd,100.0,120.0,96.0,24.0,0.00402310805242905,-0.0017801294519040499,0.010059820580904152,0.00972829253940605,100.59820580904152,97.2829253940605,0.0009547647716380886,2.547831422381717,2.5097414868033736,4.3026022028119675,4.3026022028119675,0.0,0.0,0.0,0.0,0.0,0.0,1.0151768362513138,0.5921605815003257,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,12.0,800.0,even,60.0,80.0,96.0,24.0,0.0087313692100017,-0.001677782932289,0.0117144883670963,0.009845210424960301,117.144883670963,98.45210424960301,0.004257318032327295,4.989586901412283,0.9432098612534533,2.059814099701225,2.059814099701225,-1.0,-1.0,0.0,0.0,1.0,1.0,5.290007140915073,2.422348163426991,1.0,1.0,0.0,large_tube_rouche_pass
