D,R_tail,parity,R0,R1,center_mode,tube_radius_min,slab_index,R_left,R_right,delta_R,node_upper_beta,sampled_direct_dH_dR_abs_max,direct_guard_factor,direct_L_bound,s24_interval_L_bound,direct_L_over_s24_L,five_percent_reserve,direct_remainder_bound,direct_remainder_over_reserve,beta_direct,beta_s24_interval,direct_contribution,s24_interval_contribution,dF_dE_abs_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max,special_interval_pass
6.0,400.0,even,60.0,80.0,cubic_path,0.064,28.0,77.5,78.125,0.625,0.0025605069458411,3.765667723578011e-05,2.0,7.531335447156022e-05,0.0002640627626675,0.28521005275701283,0.000128025347292055,2.3535423272362568e-05,0.18383409043736393,0.002584042369113463,0.0026430265591746937,0.0016150264806959144,0.0016518915994841836,99.14446604051837,0.25735940882437874,0.02380259290899021,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,29.0,78.125,78.75,0.625,0.0025393147173086,3.367952402198979e-05,2.0,6.735904804397958e-05,0.0002640627626675,0.2550872654801241,0.00012696573586543002,2.1049702513743617e-05,0.16579041873198003,0.002560364419822344,0.0026218343306421937,0.001600227762388965,0.0016386464566513711,98.38825696973346,0.2532553281191371,0.0245916060650579,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,30.0,78.75,79.375,0.625,0.002518409762964,3.322891883061008e-05,2.0,6.645783766122016e-05,0.0002640627626675,0.2516744011532664,0.0001259204881482,2.07680742691313e-05,0.16493006479365507,0.002539177837233131,0.0026009293762975934,0.0015869861482707068,0.001625580860185996,97.64389950845997,0.24924391784077157,0.024849173232489356,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,31.0,79.375,80.0,0.625,0.0024977847648906,3.278232488002957e-05,2.0,6.556464976005914e-05,0.0002640627626675,0.24829191779159035,0.00012488923824453,2.048895305001848e-05,0.16405699432565699,0.0025182737179406185,0.0025803043782241936,0.0015739210737128865,0.001612690236390121,96.91114270086052,0.24532225637811025,0.024849173232489356,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,0.0,60.0,60.625,0.625,0.0034716515091858,6.576458175321041e-05,2.0,0.00013152916350642083,0.0003204050593795,0.41050900931821005,0.00017358257545929,4.110286359575651e-05,0.236791414616361,0.0035127543727815564,0.0035717780902418937,0.0021954714829884726,0.0022323613064011835,125.93547631629048,1.1196894764223617,0.02325156519429668,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,1.0,60.625,61.25,0.625,0.0034316008767634,7.250993238191822e-05,2.0,0.00014501986476383644,0.0003204050593795,0.45261415361131785,0.00017158004383817003,4.5318707738698886e-05,0.2641257498537671,0.003476919584502099,0.003531727457819494,0.0021730747403138117,0.0022073296611371837,124.72503726778618,0.9248340483637508,0.019455580172153267,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,2.0,61.25,61.875,0.625,0.0033923399859774,9.1136842962439e-05,2.0,0.000182273685924878,0.0003204050593795,0.5688851676620564,0.00016961699929887,5.696052685152438e-05,0.33581850337511454,0.003449300512828924,0.0034924665670334936,0.0021558128205180775,0.0021827916043959334,123.53857805332783,0.7440944834539617,0.014939224514060443,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,3.0,61.875,62.5,0.625,0.0033538412072543,0.00012233927982422307,2.0,0.00024467855964844615,0.0003204050593795,0.7636538577833114,0.000167692060362715,7.646204989013942e-05,0.4559670250622083,0.0034303032571444394,0.0034539677883103936,0.0021439395357152747,0.002158729867693996,122.37540417930788,0.6324772697097397,0.011408647141552038,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,4.0,62.5,63.125,0.625,0.0033160813684902,0.0001424025640298106,2.0,0.0002848051280596212,0.0003204050593795,0.888890857751054,0.00016580406842451,8.900160251863162e-05,0.5367878084315749,0.0034050829710088317,0.0034162079495462937,0.00212817685688052,0.0021351299684664337,121.23482671281756,0.6072127975241156,0.014159369554318695,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,5.0,63.125,63.75,0.625,0.0032790438424901,0.0001424025640298106,2.0,0.0002848051280596212,0.0003204050593795,0.888890857751054,0.000163952192124505,8.900160251863162e-05,0.5428509455429785,0.0033680454450087318,0.0033791704235461937,0.0021050284031304575,0.002111981514716371,120.11602246162285,0.6581491972431521,0.01840118755665007,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,6.0,63.75,64.375,0.625,0.0032427104778622,0.00012344818943724076,2.0,0.0002468963788744815,0.0003204050593795,0.7705757810211354,0.00016213552389311,7.715511839827548e-05,0.4758680673159635,0.0033198655962604754,0.003342837058918294,0.002074915997662797,0.0020892731618239336,119.0183103520143,0.7124537592209169,0.021790020890951247,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,7.0,64.375,65.0,0.625,0.0032070683041252,9.119305689240502e-05,2.0,0.00018238611378481004,0.0003204050593795,0.5692360605604075,0.00016035341520626,5.6995660557753135e-05,0.3554377715276007,0.003264063964682953,0.0033071948851812936,0.002040039977926846,0.0020669968032383085,117.94099541799345,0.7315581909856268,0.02369883764954622,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,8.0,65.0,65.625,0.625,0.0031721032017718,6.801645774551991e-05,2.0,0.00013603291549103982,0.0003204050593795,0.4245654414898524,0.00015860516008859,4.2510286090949946e-05,0.26802587045216897,0.00321461348786275,0.003272229782827894,0.0020091334299142186,0.0020451436142674335,116.88337802491418,0.7315581909856268,0.023788045571540965,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,9.0,65.625,66.25,0.625,0.0031378022754504,5.531322746165772e-05,2.0,0.00011062645492331544,0.0003204050593795,0.3452706244325725,0.00015689011377252002,3.4570767163536076e-05,0.2203501950012053,0.0031723730426139363,0.003237928856506494,0.0019827331516337103,0.0020237055353165587,115.8448314241633,0.7168064973121805,0.023788045571540965,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,10.0,66.25,66.875,0.625,0.0031041520589918,5.345234879461184e-05,2.0,0.00010690469758922368,0.0003204050593795,0.33365483615101615,0.00015520760294959,3.34077179966324e-05,0.21524537046991774,0.003137559776988432,0.0032042786400478937,0.00196097486061777,0.0020026741500299336,114.82474629461132,0.6403247848364116,0.022110123823402942,1.0
