D,ell,N_target,theta,R0,L,Nz,h,exterior_length,seed_E,seed_omega,seed_bound,S_seed,Gamma_geo_seed,Gamma_ecs_over_geo,Z_left_imag,Z_right_imag,J_exterior_real,J_exterior_imag,V_imag_abs_max,candidate_count,candidate_index,E_ecs_real,E_ecs_imag,omega_ecs_real,omega_ecs_imag,Gamma_ecs,Gamma_ecs_narrow,candidate_overlap,candidate_interior_weight,candidate_seed_dist,eig_residual_abs
18.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,50.0,0.00486517250424846,1.0024296346897614,0.0,15.550778200268041,3.1175941209530283e-14,9258975997.81385,-3.983753484970004,3.9837534849700047,0.9968017063026194,0.0799146939691727,8.280159406558847e-05,12.0,1.0,0.004861301442450506,-0.00028935806878456727,1.0024277142383926,-0.0001443286456841483,0.0002886572913682966,0.0002886572913682966,0.9778652827636505,0.1456217173902279,0.0002893839613561504,3.624060566397181e-14
18.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,70.0,0.00372643412267111,1.0018614844990654,0.0,15.578180335920445,2.949661400167002e-14,8475242842.768071,-5.582041373746712,5.582041373746712,0.9968017063026194,0.0799146939691727,8.280155136764206e-05,12.0,0.0,0.0037212314468779263,-0.00025045567385873906,1.0018588957885979,-0.00012499548335177316,0.0002499909667035463,0.0002499909667035463,0.8808083832011858,0.048796786328487336,0.0002505097052080898,3.92256535053467e-14
18.0,1.0,3.0,0.08,60.0,100.0,1335.0,0.1499250374812533,40.0,0.00486517250424846,1.0024296346897614,0.0,15.550778200268041,3.1175941209530283e-14,7403051509.634035,-3.184606545278277,3.1846065452782777,0.9968017063026194,0.0799146939691727,6.531130996354776e-05,12.0,0.0,0.004864567882509611,-0.0002313577832022629,1.0024293397538475,-0.00011539854931773755,0.0002307970986354751,0.0002307970986354751,0.9844724846573775,0.342993739279333,0.00023135857324878276,3.944885359256727e-14
18.0,1.0,3.0,0.08,60.0,120.0,1601.0,0.15000000000000568,60.0,0.00372643412267111,1.0018614844990654,0.0,15.578180335920445,2.949661400167002e-14,7263612100.974088,-4.7828944340549855,4.7828944340549855,0.9968017063026194,0.0799146939691727,6.606621471280308e-05,12.0,0.0,0.0037238548193238965,-0.00021465051453709993,1.001860202970105,-0.00010712598120014605,0.0002142519624002921,0.0002142519624002921,0.8734336729176702,0.1344572898154411,0.00021466601080934704,3.401208116026968e-14
18.0,1.0,3.0,0.12,50.0,100.0,1335.0,0.1499250374812533,50.0,0.00486517250424846,1.0024296346897614,0.0,15.550778200268041,3.1175941209530283e-14,13897036283.264278,-5.967662507281213,5.967662507281215,0.9928086358538663,0.11971220728891936,0.00012428698839289898,12.0,1.0,0.004856451611011733,-0.00043430395866275024,1.0024253082090917,-0.0002166265930768782,0.0004332531861537564,0.0004332531861537564,0.9755312213066347,0.1463217981413147,0.00043439150830671433,3.984567284480794e-14
18.0,1.0,3.0,0.12,50.0,120.0,1601.0,0.15000000000000568,70.0,0.00372643412267111,1.0018614844990654,0.0,15.578180335920445,2.949661400167002e-14,12717223407.982578,-8.361897679131017,8.361897679131017,0.9928086358538663,0.11971220728891936,0.00012428692477393016,12.0,0.0,0.0037147149807356034,-0.00037581111350211324,1.0018556533545924,-0.00018755751501913236,0.0003751150300382647,0.0003751150300382647,0.8908658781605354,0.04917166072943722,0.0003759937915968863,3.5546775258796514e-14
18.0,1.0,3.0,0.12,60.0,100.0,1335.0,0.1499250374812533,40.0,0.00486517250424846,1.0024296346897614,0.0,15.550778200268041,3.1175941209530283e-14,11113128942.76859,-4.77054043439202,4.7705404343920215,0.9928086358538663,0.11971220728891936,9.803098197845245e-05,12.0,0.0,0.004863811232552338,-0.00034730380122883337,1.0024289706715264,-0.0001732311272868415,0.000346462254573683,0.000346462254573683,0.9714081779795002,0.3437984592766427,0.000347306468999107,4.4200483073975436e-14
18.0,1.0,3.0,0.12,60.0,120.0,1601.0,0.15000000000000568,60.0,0.00372643412267111,1.0018614844990654,0.0,15.578180335920445,2.949661400167002e-14,10902478231.84468,-7.1647756062418235,7.1647756062418235,0.9928086358538663,0.11971220728891936,9.916645356387985e-05,12.0,0.0,0.0037206232647166585,-0.0003221838913163252,1.001858597367481,-0.00016079309603316623,0.00032158619206633246,0.00032158619206633246,0.8772051407924552,0.13517948451753656,0.00032223628891528725,3.718425356878958e-14
18.0,1.0,3.0,0.16,50.0,100.0,1335.0,0.1499250374812533,50.0,0.00486517250424846,1.0024296346897614,0.0,15.550778200268041,3.1175941209530283e-14,18545410328.049534,-7.942024542614212,7.942024542614214,0.9872272833756269,0.15931820661424598,0.00016587421229403174,12.0,0.0,0.004849641236089409,-0.0005795709105979995,1.0024219295318746,-0.000289085311046944,0.000578170622093888,0.000578170622093888,0.9745815484488277,0.14730489560163482,0.0005797789757330139,4.043352140833023e-14
18.0,1.0,3.0,0.16,50.0,120.0,1601.0,0.15000000000000568,70.0,0.00372643412267111,1.0018614844990654,0.0,15.578180335920445,2.949661400167002e-14,16964432248.77205,-11.12837673200508,11.12837673200508,0.9872272833756269,0.15931820661424598,0.00016587412827715197,12.0,0.0,0.003705567363955626,-0.0005013195887021592,1.0018511016924232,-0.00025019665489975606,0.0005003933097995121,0.0005003933097995121,0.8623169415328216,0.04970042006318034,0.0005017536762553837,3.790754239107755e-14
