D,branch_id,anchor_theta,anchor_R0,anchor_L,anchor_candidate_index,anchor_E_real,anchor_E_imag,anchor_Gamma,n_cases,Gamma_min,Gamma_max,Gamma_candidate,E_abs_span,Gamma_theta_rel_span_max,Gamma_R0_rel_span_max,Gamma_L_rel_span_max,E_theta_abs_span_max,E_R0_abs_span_max,E_L_abs_span_max,seed_overlap_min,seed_overlap_median,interior_weight_min,eig_residual_abs_max,branch_pick_dist_max,branch_stability_score,branch_pass,branch_status,fail_reasons
6.0,11.0,0.12,50.0,120.0,0.0,0.0036787817946430834,-0.00036686316003254764,0.0003661902053150096,12.0,0.0002091346479862323,0.0005585653183309982,0.0003504255446198792,0.001155724230596856,0.6686507951691837,0.22281250330381697,0.13376565369617072,0.00028058121408238763,0.00011277728615924251,0.00111406655387644,0.00037551850546397415,0.9966930935394251,0.0528469959573829,4.703456341001068e-14,0.0011254236649820967,4.457671967794558,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,12.0,0.12,50.0,120.0,2.0,0.007082226058521502,-0.0008019779320179219,0.0007991529702677315,12.0,0.0002229328044166019,0.0010660251806712847,0.0004944249332137487,0.002417675357567762,0.6686507951472286,0.22281250329610439,0.6870635285211787,0.000536683196462504,0.0001544933098548529,0.0023375829205977082,5.057598135235696e-05,0.0004475967449892686,0.15571052919522657,6.362127094022139e-14,0.0023592221594069323,9.350331682390832,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,13.0,0.12,60.0,100.0,0.0,0.004794611477272394,-0.00033546221369419403,0.00033466088392474885,12.0,0.0002091346479862323,0.0005585653183309982,0.0003504255447282071,0.0011557242318610069,0.6686507939663009,0.22281250329610439,0.1337656531230487,0.00028058121363766666,0.00011277728615924251,0.0011140665535414485,0.00037551850546397415,0.0015121301648177707,0.0528469959573829,4.703456341001068e-14,0.001134778115325111,4.45767195977534,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,14.0,0.12,60.0,100.0,3.0,0.00956644541283386,-0.0007579369910060942,0.0007543373623008615,12.0,0.000502474139180534,0.0018763787457900874,0.000975284680578011,0.002467514076558067,0.6687732301608751,0.2231127242083325,0.46066974799057214,0.0009471499274107298,0.00027260663465382965,0.002181628715540861,1.8457821574245162e-05,0.02239597555517879,0.4315226380574882,7.702222031093219e-14,0.002337597742842183,8.726514862163445,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;R0_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,15.0,0.12,60.0,120.0,0.0,0.003684387881487353,-0.0003144937010670617,0.00031391593486014124,12.0,0.0002091346479862323,0.0005585653183309982,0.0003504255446198792,0.001155724230596856,0.6686507951691837,0.22281250330381697,0.13376565369617072,0.00028058121408238763,0.00011277728615924251,0.00111406655387644,0.00037551850546397415,0.9973931800564533,0.0528469959573829,4.703456341001068e-14,0.0011246300351875798,4.457671967794558,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,16.0,0.12,60.0,120.0,2.0,0.007095843589812776,-0.0006872645413583702,0.0006848390410571283,12.0,0.0002229328044166019,0.0010660251806712847,0.0004944249332137487,0.002417675357567762,0.6686507951472286,0.22281250329610439,0.6870635285211787,0.000536683196462504,0.0001544933098548529,0.0023375829205977082,5.057598135235696e-05,0.0006029643969199655,0.15571052919522657,7.014356341183617e-14,0.002347091747767088,9.350331682390832,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,17.0,0.16,50.0,100.0,0.0,0.004781916391741147,-0.0005598992536246692,0.0005585653183309982,12.0,0.0002091346479862323,0.0005585653183309982,0.0003504255450289087,0.0011557242318610069,0.6686507951472286,0.22281250329610439,0.1337656531230487,0.00028058121363766666,0.00011277728552703844,0.001114066555077418,0.00026455536639121286,0.0009089104260077347,0.0528469959573829,4.728427845089696e-14,0.0011493332709043133,4.45767196764819,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,18.0,0.16,50.0,100.0,3.0,0.009532011080189322,-0.0012653109257666404,0.0012593229719201598,12.0,0.000502474139180534,0.0018763787457900874,0.0009752846918775913,0.002467514076558067,0.6687732378507942,0.2231127242083325,0.46066974799057214,0.0009471499274107298,0.00027260663465382965,0.0021816286885713355,1.8457821574245162e-05,0.011254896807443938,0.4315226380574882,7.702222031093219e-14,0.0022144824856603095,8.726514754285342,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;R0_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,19.0,0.16,50.0,120.0,0.0,0.0036703268825355657,-0.0004894281893136509,0.0004885324589969575,12.0,0.0002091346479862323,0.0005585653183309982,0.0003504255447282071,0.001155724230596856,0.6686507951691837,0.22281250330381697,0.13376565369617072,0.00028058121408238763,0.00011277728615924251,0.0011140665535414485,0.00037551850546397415,0.9962124879285421,0.0528469959573829,4.703456341001068e-14,0.001155724230596856,4.457671967794558,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,20.0,0.16,50.0,120.0,3.0,0.0070597412099518584,-0.001069781644529573,0.0010660251806712847,12.0,0.0002229328044166019,0.0010660251806712847,0.0004944249332137487,0.002417675357567762,0.6686507951472286,0.22281250329610439,0.6870635285211787,0.000536683196462504,0.00015449330675565081,0.0023375829274359813,5.057598135235696e-05,0.00027110364100076676,0.15571052919522657,6.517397244856805e-14,0.002417675357567762,9.350331709743925,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
