D,branch_id,anchor_R,anchor_R_tail,anchor_parity,anchor_E_real,anchor_E_imag,anchor_Gamma,n_cases,Gamma_min,Gamma_max,Gamma_candidate,Gamma_R_rel_span_max,Gamma_Rtail_rel_span_max,Gamma_R120_over_R80_min,Gamma_R120_over_R80_max,parity_Gamma_rel_split_max,parity_E_abs_split_max,E_abs_span,root_residual_abs_max,branch_pick_dist_max,branch_pick_dist_median,branch_stability_score,branch_pass,branch_status,fail_reasons
18.0,0.0,60.0,400.0,even,0.0109462077090673,-0.0031165297190722,0.0030996077137025,16.0,0.0009118771571909,0.0030996077137025,0.00166448205769865,0.7630418079788222,0.5216097044371749,0.6729154260311981,0.6741424038597593,3.6353006333355423e-09,1.0175348041204232e-11,0.007773391465130966,4.249456574798357e-07,0.007773391465130966,0.00549559204830986,10.432194088743497,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
18.0,1.0,60.0,400.0,odd,0.0109462077087188,-0.0031165297187208,0.0030996077133535,16.0,0.0009118771571909,0.0030996077137025,0.00166448205769865,0.7630418079788222,0.5216097044371749,0.6729154260311981,0.6741424038597593,3.6353006333355423e-09,1.0175348041204232e-11,0.007773391465130966,4.249456574798357e-07,0.007773391464697164,0.005495592047861601,10.432194088743497,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
18.0,2.0,80.0,400.0,even,0.0067287065139138,-0.0023012070142919,0.0022935022958442,16.0,0.0009118771571909,0.0030996077137025,0.00166448205769865,0.7630418079788222,0.5216097044371749,0.6729154260311981,0.6741424038597593,3.6353006333355423e-09,1.0175348041204232e-11,0.007773391465130966,4.249456574798357e-07,0.0042955869731681,0.0027400136621433856,10.432194088743497,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
18.0,3.0,80.0,400.0,odd,0.0067287065152877,-0.0023012070165422,0.0022935022980854,16.0,0.0009118771571909,0.0030996077137025,0.00166448205769865,0.7630418079788222,0.5216097044371749,0.6729154260311981,0.6741424038597593,3.6353006333355423e-09,1.0175348041204232e-11,0.007773391465130966,4.249456574798357e-07,0.004295586971392057,0.002740013663998759,10.432194088743497,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
18.0,4.0,100.0,400.0,even,0.004524921929761,-0.0017896671109677,0.0017856310401366,16.0,0.0009118771571909,0.0030996077137025,0.00166448205769865,0.7630418079788222,0.5216097044371749,0.6729154260311981,0.6741424038597593,3.6353006333355423e-09,1.0175348041204232e-11,0.007773391465130966,4.249456574798357e-07,0.006556941012416323,0.0017553898304027745,10.432194088743497,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
18.0,5.0,100.0,400.0,odd,0.0045249219297268,-0.0017896671109579,0.0017856310401268,16.0,0.0009118771571909,0.0030996077137025,0.00166448205769865,0.7630418079788222,0.5216097044371749,0.6729154260311981,0.6741424038597593,3.6353006333355423e-09,1.0175348041204232e-11,0.007773391465130966,4.249456574798357e-07,0.006556941012451799,0.0017553898304023322,10.432194088743497,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
18.0,6.0,120.0,400.0,even,0.0036009091880255,-0.0015461097382767,0.0015433330754413,16.0,0.0009118771571909,0.0030996077137025,0.00166448205769865,0.7630418079788222,0.5216097044371749,0.6729154260311981,0.6741424038597593,3.6353006333355423e-09,1.0175348041204232e-11,0.007773391465130966,4.249456574798357e-07,0.007511300105793977,0.0022164570099157685,10.432194088743497,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
18.0,7.0,120.0,400.0,odd,0.0036009091880774,-0.0015461097379247,0.0015433330750899,16.0,0.0009118771571909,0.0030996077137025,0.00166448205769865,0.7630418079788222,0.5216097044371749,0.6729154260311981,0.6741424038597593,3.6353006333355423e-09,1.0175348041204232e-11,0.007773391465130966,4.249456574798357e-07,0.007511300105816817,0.0022164570098016805,10.432194088743497,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
18.0,8.0,60.0,800.0,even,0.0108797509482882,-0.0018271234671916,0.0018172637755943,16.0,0.0009118771571909,0.0030996077137025,0.00166448205769865,0.7630418079788222,0.5216097044371749,0.6729154260311981,0.6741424038597593,3.6353006333355423e-09,1.0175348041204232e-11,0.007773391465130966,4.249456574798357e-07,0.007444493905739685,0.005130211571399808,10.432194088743497,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
18.0,9.0,60.0,800.0,odd,0.0108797509405857,-0.0018271234605426,0.001817263768988,16.0,0.0009118771571909,0.0030996077137025,0.00166448205769865,0.7630418079788222,0.5216097044371749,0.6729154260311981,0.6741424038597593,3.6353006333355423e-09,1.0175348041204232e-11,0.007773391465130966,4.249456574798357e-07,0.007444493897279389,0.005130211562994678,10.432194088743497,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
