D,R,R_tail,parity,ell,h,E0_real,E0_imag,Gamma_dtn,boundary_F_abs_min,m_rouche_budget,m400_real,m400_imag,m800_real,m800_imag,m400_dtn_success,m800_dtn_success,dtn_delta_400_800,residual_delta_400_800,dtn_delta_over_m_budget,residual_delta_over_boundary_gap,tail_l1_self,tail_l1_400,tail_l1_800,tail_l1_pair_max,tail_coeff_self_terminal,tail_coeff_400_terminal,tail_coeff_800_terminal,tail_completion_self,raw_tail_over_m_budget,pair_tail_over_m_budget,empirical_conditioning_lower_bound,allowed_conditioning_self,allowed_conditioning_pair,tail_conditioning_status
12.0,100.0,400.0,even,1.0,0.0833333333333333,0.0044829286332729,-0.0019084219910151,0.0019041578008704,0.077100340372954,0.0032125141822064154,0.016158643205344776,0.059743385706284576,-0.018369997994541743,-0.055371094799836935,1.0,1.0,0.12018140740274566,2.884353777665897,37.410389678094056,37.410389678094056,1.8001967022511972e-05,1.8001967022511972e-05,4.499880565376888e-06,1.8001967022511972e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.00560370040456845,0.00560370040456845,6676.015307241447,178.4535088965042,178.4535088965042,not_lifted_tail_conditioning
12.0,100.0,400.0,odd,1.0,0.0833333333333333,0.0044829286333332,-0.0019084219913101,0.0019041578011647,0.0771003414939211,0.003212514228913378,0.01615864319823666,0.05974338568926897,-0.018369997979799338,-0.05537109479427622,1.0,1.0,0.12018140737484344,2.8843537769962437,37.41038912549639,37.41038912549639,1.8001967022511972e-05,1.8001967022511972e-05,4.499880565376888e-06,1.8001967022511972e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.005603700323095869,0.005603700323095869,6676.015305691493,178.45351149105193,178.45351149105193,not_lifted_tail_conditioning
12.0,120.0,400.0,even,1.0,0.1,0.0035632874720739,-0.0016518369123545,0.0016489012108059,0.0375542748974702,0.0018777137448735101,0.016818421961532604,0.050897061615480875,-0.017574102232196343,-0.04915275280499726,1.0,1.0,0.10579608256447091,2.115921651289418,56.34303037580296,56.34303037580296,1.8001967022511972e-05,1.8001967022511972e-05,4.499880565376888e-06,1.8001967022511972e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.009587173269440306,0.009587173269440306,5876.917918590224,104.30603180893375,104.30603180893375,not_lifted_tail_conditioning
12.0,120.0,400.0,odd,1.0,0.1,0.0035632874715249,-0.001651836912498,0.0016489012109496,0.037554274458009,0.00187771372290045,0.016818422002876816,0.050897061615516624,-0.01757410228556432,-0.04915275281839523,1.0,1.0,0.10579608260796432,2.1159216521592863,56.34303105829368,56.34303105829369,1.8001967022511972e-05,1.8001967022511972e-05,4.499880565376888e-06,1.8001967022511972e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.009587173381629684,0.009587173381629684,5876.91792100626,104.30603058834157,104.30603058834157,not_lifted_tail_conditioning
12.0,60.0,800.0,even,1.0,0.05,0.010845857577098,-0.0019229933572493,0.0019126483040355,2.2409691156876943,0.05602422789219236,0.009200054723735827,0.08794714596654508,0.04450330613899879,0.16032085298238505,1.0,1.0,0.08052498387273299,3.2209993549093197,1.4373242952618202,1.4373242952618202,4.499880565376888e-06,1.8001967022511972e-05,4.499880565376888e-06,1.8001967022511972e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,8.032026026375635e-05,0.0003213246786221352,4473.121396791485,12450.158860494123,3112.1170159978888,not_lifted_tail_conditioning
12.0,60.0,800.0,odd,1.0,0.05,0.0108458575849235,-0.0019229933666953,0.0019126483134233,2.240968523929737,0.05602421309824343,0.009200054784992766,0.08794714602499967,0.04450337118071391,0.1603208685495472,1.0,1.0,0.0805250262998814,3.221001051995256,1.4373254321068931,1.4373254321068931,4.499880565376888e-06,1.8001967022511972e-05,4.499880565376888e-06,1.8001967022511972e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,8.032028147340414e-05,0.0003213247634722495,4473.123753597735,12450.155572862659,3112.1161942016424,not_lifted_tail_conditioning
12.0,80.0,800.0,even,1.0,0.0666666666666666,0.0066168808429054,-0.0014325725073287,0.001427855957028,0.9333867589512764,0.031112891965042515,0.009170084393350415,0.06633435613261322,0.012920351177604058,0.10484427808701643,1.0,1.0,0.03869209983817501,1.1607629951452516,1.2436034516382553,1.2436034516382553,4.499880565376888e-06,1.8001967022511972e-05,4.499880565376888e-06,1.8001967022511972e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.00014463073925859464,0.0005786015341402023,2149.3262258390673,6914.159501128149,1728.305130552398,not_lifted_tail_conditioning
12.0,80.0,800.0,odd,1.0,0.0666666666666666,0.0066168808042149,-0.0014325724702377,0.0014278559200866,0.9333870449725408,0.03111290149908466,0.009170084137557462,0.06633435577091006,0.012920365522550778,0.10484426150035943,1.0,1.0,0.038692085104808004,1.1607625531442414,1.243602597010964,1.2436025970109643,4.499880565376888e-06,1.8001967022511972e-05,4.499880565376888e-06,1.8001967022511972e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.00014463069493885917,0.0005786013568371817,2149.3254074081156,6914.161619860414,1728.3056601635305,not_lifted_tail_conditioning
12.0,100.0,800.0,even,1.0,0.0833333333333333,0.0049127578895462,-0.0011962515361338,0.0011933236604455,0.4559384641209359,0.01899743600503899,0.008905866822289837,0.056593578986079654,0.01876566325756561,0.07577644465419842,1.0,1.0,0.02156844734759937,0.5176427363423851,1.1353346494694563,1.1353346494694565,4.499880565376888e-06,1.8001967022511972e-05,4.499880565376888e-06,1.8001967022511972e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.0002368677838516373,0.0009475998244045684,1198.1161458982463,4221.764495531196,1055.2977894739033,not_lifted_tail_conditioning
12.0,100.0,800.0,odd,1.0,0.0833333333333333,0.0049127578899924,-0.0011962515309274,0.0011933236552516,0.4559383979475653,0.018997433247815214,0.008905866781804772,0.056593578985107654,0.01876566229361521,0.0757764463779498,1.0,1.0,0.021568448459406708,0.5176427630257612,1.1353348727722032,1.1353348727722032,4.499880565376888e-06,1.8001967022511972e-05,4.499880565376888e-06,1.8001967022511972e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.0002368678182298334,0.0009475999619360302,1198.1162076585713,4221.763882798539,1055.2976363115422,not_lifted_tail_conditioning
