D,ell,N_target,theta,R0,L,Nz,h,case_id,candidate_index,seed_E,seed_omega,S_seed,Gamma_geo_seed,E_real,E_imag,omega_real,omega_imag,Gamma,Gamma_narrow,Gamma_over_geo,seed_overlap,interior_weight,seed_dist,eig_residual_abs
6.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,130100.0,20.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.13900709244347562,-0.011148796791642114,1.067255533306755,-0.005223115010282022,0.010446230020564044,0.010446230020564044,119701716.5377821,0.003909033403281707,0.4843713233957423,0.13467398502269715,1.4246542110473368e-13
6.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,130100.0,21.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.13900711405560826,-0.011148800565452043,1.0672555434402624,-0.005223116728686299,0.010446233457372597,0.010446233457372597,119701755.91963395,1.0462997149161035e-06,0.4843712530425776,0.13467400687305672,2.8880170077213045e-13
6.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,130100.0,22.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.1636037107096481,-0.013177199465010243,1.0787219362400173,-0.006107783211927886,0.012215566423855772,0.012215566423855772,139976265.74738964,0.002976040978307534,0.49554333155949776,0.1593540957095296,1.0961565084236366e-10
6.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,130100.0,23.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.16360373887931268,-0.01317720426224722,1.078721949309151,-0.006107785361504109,0.012215570723008218,0.012215570723008218,139976315.01070535,7.975660216394037e-07,0.4955432126008529,0.1593541241794088,3.021834102433876e-10
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,0.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.0036848037222908807,-0.0002444764206692137,1.0018407151886042,-0.00012201361801471061,0.00024402723602942123,0.00024402723602942123,2823744.6989769465,0.9990126895837733,0.052846996183720144,0.0002445236786327661,3.5008545424285655e-14
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,1.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.00368480372266387,-0.00024447642081670747,1.0018407151887903,-0.00012201361808829935,0.0002440272361765987,0.0002440272361765987,2823744.7006800002,0.0018993412986203634,0.0528469959573829,0.00024452367877289864,3.795194647252162e-14
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,2.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.007098241569861192,-0.0005344811889509881,1.003542880241809,-0.00026629713561527235,0.0005325942712305447,0.0005325942712305447,6162878.679293901,0.053998510296777484,0.31901561689008884,0.003450280140682114,6.010042588460114e-14
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,3.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.007098241576653976,-0.0005344811913922596,1.0035428802451936,-0.0002662971368307007,0.0005325942736614014,0.0005325942736614014,6162878.707422396,5.057598135235696e-05,0.31901561421156516,0.0034502801477710766,5.17843463104488e-14
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,4.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.011687518361164174,-0.0009430170876391264,1.0058268927171656,-0.0004687770303554107,0.0009375540607108214,0.0009375540607108214,10848843.563582,0.013122339152628183,0.4405083067958933,0.008053310168283614,7.702222031093219e-14
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,5.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.011687518404066479,-0.0009430171018693338,1.0058268927384957,-0.00046877703741935454,0.0009375540748387091,0.0009375540748387091,10848843.7270619,1.2824354973191996e-05,0.4405083015857324,0.008053310212557084,5.821395820141939e-14
