D,eta,loop_trace_p1,loop_trace_p2,h_part_trace,h_part_fro2,h_part_det,h_part_neff,h_part_susceptibility,coeff_participation_access_parented,coeff_participation_parented_recon,coeff_participation_parented_residual,gap_cv,c_tree_diag_cv,h_tree_base,h_tree_load,h_tree_schur_ratio,h_tree_pressure_fraction,tree_diag_compressibility_parented,tree_diag_compressibility_parented_recon,tree_diag_compressibility_parented_residual,eymh_parented_prefactor_diag,mu_mumu_uv_rge,mu_mumu_uv_rge_const,abs_mu_diff_vs_const
20.0,0.2,0.5,0.5,1.0,0.5,0.25,2.0,1.0,1.0,0.8408964152537145,-0.1591035847462855,0.3261537967964966,0.0,1.3261537967964965,0.0,1.0,0.0,1.0,1.0,0.0,0.0622911350603241,5.5585827916252447e-08,5.5590071944080996e-08,4.244027828549087e-12
4.0,0.39,0.5832904602745828,0.4167095397254172,1.0,0.5138746015455037,0.24306269922724813,1.9460000494137086,0.9460000494137086,0.845228796150285,0.8466702272026335,0.0014414310523485074,0.0529284688818641,0.8803624715424814,1.052928468881864,0.8803624715424814,0.544630115863861,0.455369884136139,0.7379905933437506,0.7379905933437506,0.0,0.0433256378659887,2.444858357046273,2.444858483789307,1.2674303384585528e-07
4.8,0.39,0.5809700732816575,0.4190299267183424,0.9999999999999999,0.5131123055344738,0.24344384723276294,1.9488910891707585,0.9488910891707585,0.8492697193296965,0.8463560587848851,-0.0029136605448114583,0.3330127461264275,1.029643348812886,1.3330127461264274,1.029643348812886,0.5642009215736777,0.43579907842632215,0.7511330917844572,0.7511330917844572,0.0,0.0392191959549454,13.75152135651519,13.75152432659523,2.9700800414644846e-06
5.6,0.39,0.5787720819103782,0.4212279180896218,1.0,0.5124100817769907,0.24379495911150467,1.9515619141061642,0.9515619141061642,0.8531095169384951,0.8460663382961444,-0.0070431786423507114,0.0489632309804584,1.114373175876911,1.0489632309804584,1.114373175876911,0.484882160562473,0.5151178394375271,0.6963348049340008,0.6963348049340009,1.1102230246251565e-16,0.044896760436053,57.97446421045843,57.97439328206518,7.092839324940314e-05
6.4,0.39,0.5848480959256462,0.4151519040743538,1.0,0.5143983987644154,0.24280080061779236,1.9440184930629631,0.9440184930629631,0.8425234101369388,0.8468858995145851,0.0043624893776463836,0.2368422574530327,1.0740904721175029,1.2368422574530327,1.0740904721175029,0.5352134407144287,0.4647865592855713,0.7315828324355546,0.7315828324355546,0.0,0.0493701324354692,59.87809003340474,59.877309480955944,0.0007805524487949356
7.2,0.39,0.5943858264378511,0.4056141735621488,0.9999999999999999,0.5178173684647122,0.24109131576764378,1.9311828086510912,0.9311828086510912,0.8260804395106183,0.8482896209543823,0.022209181443764048,0.5397550802947837,0.5919365641942181,1.5397550802947837,0.5919365641942181,0.722316046167121,0.27768395383287914,0.8498917849744877,0.8498917849744878,1.1102230246251565e-16,0.0543924297365417,3.531492232104217,3.5313947890857684,9.744301844838432e-05
8.0,0.39,0.5969978776279854,0.4030021223720146,1.0,0.5188171765286672,0.24059141173566637,1.9274612430738307,0.9274612430738307,0.8216129447287176,0.8486987967834853,0.027085852054767656,0.5891268740470006,0.5580450533015735,1.5891268740470006,0.5580450533015735,0.7401022963304699,0.2598977036695301,0.8602919831838897,0.8602919831838897,0.0,0.0579949944510229,2.324652150822692,2.3245432673167357,0.00010888350595639196
8.8,0.39,0.5982833513705135,0.4017166486294865,1.0,0.5193192343132396,0.24034038284338016,1.9255978479642188,0.9255978479642188,0.8194198052293942,0.8489040431206424,0.02948423789124821,0.1526414316992487,0.738612427037752,1.1526414316992488,0.738612427037752,0.6094588658071501,0.39054113419284975,0.7806784650591755,0.7806784650591754,-1.1102230246251565e-16,0.0457081664626894,1.5837000387135487,1.583690534317875,9.504395673598509e-06
9.6,0.39,0.5994209517898995,0.4005790482101006,1.0,0.5197690513096191,0.24011547434519054,1.9239314027650984,0.9239314027650984,0.8174819188927818,0.8490878065334787,0.03160588764069694,0.1066533286499557,0.8851615263329561,1.1066533286499558,0.8851615263329561,0.5556004996556018,0.4443995003443983,0.7453861413090546,0.7453861413090545,-1.1102230246251565e-16,0.0411393810710699,1.0000000045309456,1.0000000045308777,6.794564910705958e-14
10.4,0.39,0.6000304129601661,0.3999695870398338,1.0,0.5200121670339627,0.2399939164830186,1.9230319277023544,0.9230319277023544,0.8164448484151952,0.8491870767761414,0.0327422283609462,0.1910896609391989,0.9172112450982502,1.191089660939199,0.9172112450982502,0.5649524019689635,0.4350475980310365,0.7516331565125128,0.7516331565125127,-1.1102230246251565e-16,0.0443592616336688,0.4950631218312705,0.4950549756550261,8.14617624439462e-06
11.2,0.39,0.6003022391526954,0.3996977608473046,1.0,0.520121078358089,0.2399394608209555,1.9226292523209907,0.9226292523209907,0.8159825587361267,0.849231536709897,0.033248977973770355,0.263616892757297,0.9184676256155258,1.263616892757297,0.9184676256155258,0.579087052823955,0.4209129471760451,0.7609776953524688,0.760977695352469,1.1102230246251565e-16,0.0459252722558148,0.1519945006166041,0.1519898356659645,4.664950639610144e-06
12.0,0.39,0.6004104567745778,0.3995895432254222,1.0,0.5201645196593587,0.23991774017032064,1.9224686848208565,0.9224686848208565,0.8157985587153559,0.8492492684310076,0.03345070971565167,0.324701506182844,0.8771172910146925,1.324701506182844,0.8771172910146925,0.6016396571184318,0.3983603428815681,0.7756543412618999,0.7756543412618999,0.0,0.0457444417491334,0.0381622598448225,0.0381608005830067,1.4592618158004722e-06
12.8,0.39,0.6044250015963314,0.3955749984036686,1.0,0.5218091619167876,0.2390954190416062,1.9164094327639825,0.9164094327639825,0.808990100690447,0.8499197573808298,0.04092965669038284,0.1142870052001219,0.791660154997012,1.114287005200122,0.791660154997012,0.5846368821079332,0.41536311789206676,0.7646155125995896,0.7646155125995896,0.0,0.0392926809931249,0.0023613959137479,0.0023614360888884,4.017514049995535e-08
